"icd_code","descr","icd_global","age_id","age_range","Number of cases/Number of all patients"
"A00","Cholera","A00__0-9",1,"0-9",0
"A01","Typhus abdominalis und Paratyphus","A01__0-9",1,"0-9",0.00012179388865332
"A02","Sonstige Salmonelleninfektionen","A02__0-9",1,"0-9",0.00622051009084922
"A03","Shigellose [Bakterielle Ruhr]","A03__0-9",1,"0-9",9.47285800636937e-05
"A04","Sonstige bakterielle Darminfektionen","A04__0-9",1,"0-9",0.00703246934853802
"A05","Sonstige bakteriell bedingte Lebensmittelvergiftungen","A05__0-9",1,"0-9",0.00018494627536245
"A06","Amöbiasis","A06__0-9",1,"0-9",4.05979628844402e-05
"A07","Sonstige Darmkrankheiten durch Protozoen","A07__0-9",1,"0-9",8.11959257688803e-05
"A08","Virusbedingte und sonstige näher bezeichnete Darminfektionen","A08__0-9",1,"0-9",0.122650956758659
"A09","Diarrhoe und Gastroenteritis, vermutlich infektiösen Ursprungs","A09__0-9",1,"0-9",0.106768131501313
"A15","Tuberkulose der Atmungsorgane, bakteriologisch oder histologisch gesichert","A15__0-9",1,"0-9",0.000279674855426143
"A16","Tuberkulose der Atmungsorgane, weder bakteriologisch noch histologisch gesichert","A16__0-9",1,"0-9",0.000780383064334239
"A17","Tuberkulose des Nervensystems","A17__0-9",1,"0-9",6.31523867091291e-05
"A18","Tuberkulose sonstiger Organe","A18__0-9",1,"0-9",0.000157880966772823
"A19","Miliartuberkulose","A19__0-9",1,"0-9",9.02176952987559e-06
"A20","Pest","A20__0-9",1,"0-9",0
"A21","Tularämie","A21__0-9",1,"0-9",1.80435390597512e-05
"A22","Anthrax [Milzbrand]","A22__0-9",1,"0-9",0
"A23","Brucellose","A23__0-9",1,"0-9",5.86415019441913e-05
"A24","Rotz [Malleus] und Melioidose [Pseudorotz]","A24__0-9",1,"0-9",2.2554423824689e-05
"A25","Rattenbißkrankheiten","A25__0-9",1,"0-9",0
"A26","Erysipeloid","A26__0-9",1,"0-9",0.000252609546836516
"A27","Leptospirose","A27__0-9",1,"0-9",4.51088476493779e-06
"A28","Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert","A28__0-9",1,"0-9",0.000108261234358507
"A30","Lepra [Aussatz]","A30__0-9",1,"0-9",0
"A31","Infektion durch sonstige Mykobakterien","A31__0-9",1,"0-9",0.000234566007776765
"A32","Listeriose","A32__0-9",1,"0-9",3.15761933545646e-05
"A33","Tetanus neonatorum","A33__0-9",1,"0-9",0
"A34","Tetanus während der Schwangerschaft, der Geburt und des Wochenbettes","A34__0-9",1,"0-9",0
"A35","Sonstiger Tetanus, Tetanus o.n.A.","A35__0-9",1,"0-9",0
"A36","Diphtherie","A36__0-9",1,"0-9",0
"A37","Keuchhusten","A37__0-9",1,"0-9",0.00203891991375188
"A38","Scharlach, Scarlatina","A38__0-9",1,"0-9",0.00269299820466786
"A39","Meningokokkeninfektion","A39__0-9",1,"0-9",0.000717230677625109
"A40","Streptokokkensepsis","A40__0-9",1,"0-9",0.000807448372923865
"A41","Sonstige Sepsis","A41__0-9",1,"0-9",0.00614382504984528
"A42","Aktinomykose","A42__0-9",1,"0-9",0
"A43","Nokardiose","A43__0-9",1,"0-9",0
"A44","Bartonellose","A44__0-9",1,"0-9",4.05979628844402e-05
"A46","Erysipel [Wundrose]","A46__0-9",1,"0-9",0.0017547341735608
"A48","Sonstige bakterielle Krankheiten, anderenorts nicht klassifiziert","A48__0-9",1,"0-9",0.000478153785083406
"A49","Bakterielle Infektion nicht näher bezeichneter Lokalisation","A49__0-9",1,"0-9",0.00534990933121622
"A50","Syphilis connata","A50__0-9",1,"0-9",8.57068105338181e-05
"A51","Frühsyphilis","A51__0-9",1,"0-9",9.02176952987559e-06
"A52","Spätsyphilis","A52__0-9",1,"0-9",9.02176952987559e-06
"A53","Sonstige und nicht näher bezeichnete Syphilis","A53__0-9",1,"0-9",1.80435390597512e-05
"A54","Gonokokkeninfektion","A54__0-9",1,"0-9",2.70653085896268e-05
"A55","Lymphogranuloma inguinale (venereum) durch Chlamydien, Durand-Nicolas-Favre-Krankheit, Esthiomene, Klimatischer oder tropischer Bubo","A55__0-9",1,"0-9",0
"A56","Sonstige durch Geschlechtsverkehr übertragene Chlamydienkrankheiten","A56__0-9",1,"0-9",1.35326542948134e-05
"A57","Ulcus molle (venereum), Weicher Schanker","A57__0-9",1,"0-9",0
"A58","Granuloma venereum (inguinale)","A58__0-9",1,"0-9",9.02176952987559e-06
"A59","Trichomoniasis","A59__0-9",1,"0-9",1.80435390597512e-05
"A60","Infektionen des Anogenitalbereiches durch Herpesviren [Herpes simplex]","A60__0-9",1,"0-9",9.47285800636937e-05
"A63","Sonstige vorwiegend durch Geschlechtsverkehr übertragene Krankheiten, anderenorts nicht klassifiziert","A63__0-9",1,"0-9",0.00038793608978465
"A64","Durch Geschlechtsverkehr übertragene Krankheiten, nicht näher bezeichnet, Geschlechtskrankheiten o.n.A.","A64__0-9",1,"0-9",4.51088476493779e-06
"A65","Nichtvenerische Syphilis, Bejel, Endemische Syphilis, Njovera","A65__0-9",1,"0-9",4.51088476493779e-06
"A66","Frambösie","A66__0-9",1,"0-9",1.35326542948134e-05
"A67","Pinta [Carate]","A67__0-9",1,"0-9",0
"A68","Rückfallfieber","A68__0-9",1,"0-9",0.000221033353481952
"A69","Sonstige Spirochäteninfektionen","A69__0-9",1,"0-9",0.00164196205443736
"A70","Infektionen durch Chlamydia psittaci, Ornithose, Papageienkrankheit, Psittakose","A70__0-9",1,"0-9",0
"A71","Trachom","A71__0-9",1,"0-9",4.51088476493779e-06
"A74","Sonstige Krankheiten durch Chlamydien","A74__0-9",1,"0-9",0.000135326542948134
"A75","Fleckfieber","A75__0-9",1,"0-9",0
"A77","Zeckenbißfieber [Rickettsiosen, durch Zecken übertragen]","A77__0-9",1,"0-9",0
"A78","Q-Fieber, Balkangrippe, Infektion durch Rickettsia (Coxiella) burneti, Query-Fieber","A78__0-9",1,"0-9",0
"A79","Sonstige Rickettsiosen","A79__0-9",1,"0-9",0
"A80","Akute Poliomyelitis [Spinale Kinderlähmung]","A80__0-9",1,"0-9",4.51088476493779e-06
"A81","Atypische Virus-Infektionen des Zentralnervensystems","A81__0-9",1,"0-9",9.02176952987559e-06
"A82","Tollwut [Rabies]","A82__0-9",1,"0-9",0
"A83","Virusenzephalitis, durch Moskitos [Stechmücken] übertragen","A83__0-9",1,"0-9",0
"A84","Virusenzephalitis, durch Zecken übertragen","A84__0-9",1,"0-9",5.86415019441913e-05
"A85","Sonstige Virusenzephalitis, anderenorts nicht klassifiziert","A85__0-9",1,"0-9",0.000103750349593569
"A86","Virusenzephalitis, nicht näher bezeichnet, Virusenzephalomyelitis o.n.A., Virusmeningoenzephalitis o.n.A.","A86__0-9",1,"0-9",8.11959257688803e-05
"A87","Virusmeningitis","A87__0-9",1,"0-9",0.000712719792860172
"A88","Sonstige Virusinfektionen des Zentralnervensystems, anderenorts nicht klassifiziert","A88__0-9",1,"0-9",8.11959257688803e-05
"A89","Virusinfektion des Zentralnervensystems, nicht näher bezeichnet","A89__0-9",1,"0-9",9.02176952987559e-06
"A90","Dengue-Fieber [Klassische Dengue]","A90__0-9",1,"0-9",4.51088476493779e-06
"A91","Hämorrhagisches Dengue-Fieber","A91__0-9",1,"0-9",0
"A92","Sonstige durch Moskitos [Stechmücken] übertragene Viruskrankheiten","A92__0-9",1,"0-9",0
