"icd_code","descr","icd_global","age_id","age_range","Number of cases/Number of all patients"
"A00","Cholera","A00__0-9",1,"0-9",3.40045838178987e-06
"A01","Typhus abdominalis und Paratyphus","A01__0-9",1,"0-9",0.000132617876889805
"A02","Sonstige Salmonelleninfektionen","A02__0-9",1,"0-9",0.00482184998537803
"A03","Shigellose [Bakterielle Ruhr]","A03__0-9",1,"0-9",7.82105427811669e-05
"A04","Sonstige bakterielle Darminfektionen","A04__0-9",1,"0-9",0.006375859465856
"A05","Sonstige bakteriell bedingte Lebensmittelvergiftungen","A05__0-9",1,"0-9",0.000146219710416964
"A06","Amöbiasis","A06__0-9",1,"0-9",4.76064173450581e-05
"A07","Sonstige Darmkrankheiten durch Protozoen","A07__0-9",1,"0-9",7.82105427811669e-05
"A08","Virusbedingte und sonstige näher bezeichnete Darminfektionen","A08__0-9",1,"0-9",0.105767857507192
"A09","Diarrhoe und Gastroenteritis, vermutlich infektiösen Ursprungs","A09__0-9",1,"0-9",0.0917103625568727
"A15","Tuberkulose der Atmungsorgane, bakteriologisch oder histologisch gesichert","A15__0-9",1,"0-9",0.000200627044525602
"A16","Tuberkulose der Atmungsorgane, weder bakteriologisch noch histologisch gesichert","A16__0-9",1,"0-9",0.000584878841667857
"A17","Tuberkulose des Nervensystems","A17__0-9",1,"0-9",4.76064173450581e-05
"A18","Tuberkulose sonstiger Organe","A18__0-9",1,"0-9",6.46087092540074e-05
"A19","Miliartuberkulose","A19__0-9",1,"0-9",1.70022919089493e-05
"A20","Pest","A20__0-9",1,"0-9",0
"A21","Tularämie","A21__0-9",1,"0-9",1.02013751453696e-05
"A22","Anthrax [Milzbrand]","A22__0-9",1,"0-9",3.40045838178987e-06
"A23","Brucellose","A23__0-9",1,"0-9",3.06041254361088e-05
"A24","Rotz [Malleus] und Melioidose [Pseudorotz]","A24__0-9",1,"0-9",1.02013751453696e-05
"A25","Rattenbißkrankheiten","A25__0-9",1,"0-9",0
"A26","Erysipeloid","A26__0-9",1,"0-9",0.000204027502907392
"A27","Leptospirose","A27__0-9",1,"0-9",0
"A28","Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert","A28__0-9",1,"0-9",8.16110011629568e-05
"A30","Lepra [Aussatz]","A30__0-9",1,"0-9",0
"A31","Infektion durch sonstige Mykobakterien","A31__0-9",1,"0-9",0.000108814668217276
"A32","Listeriose","A32__0-9",1,"0-9",3.40045838178987e-06
