"value","Cluster_2","Cluster_1","Cluster1","Cluster2","effect"
1,402,275,"F48-40-49, G25-40-49, G47-40-49, F48-50-59, G25-50-59, G47-50-59","F06-40-49, F48-40-49, F32-50-59, F40-50-59, F44-50-59, F48-50-59, D16-60-69, F11-60-69, F22-60-69, F23-60-69, F44-60-69, F51-60-69, F55-60-69, J00-60-69, J37-60-69, L28-60-69, N89-60-69","Diverge"
1,12,4,"A38__0-9, B97__0-9, E45__0-9, G47__0-9, H04__0-9, J10__0-9, J35-10-19, J36-10-19, B07-20-29, B34-20-29, G51-20-29, H53-20-29, H72-20-29, H74-20-29, J15-20-29","B97__0-9, J10__0-9, J20__0-9, J10-10-19, J98-10-19, L22-10-19","Diverge"
1,517,245,"G83-50-59, H10-50-59, M54-60-69, M70-60-69, M76-60-69, J04-70-79, J31-70-79, M76-70-79","H10-50-59, F13-60-69, F33-60-69, F41-60-69, F43-60-69, F45-60-69, F13-70-79, F33-70-79, F41-70-79, F43-70-79, F45-70-79, K59-70-79","Diverge"
1,325,176,"N80-30-39, N84-30-39, N85-30-39, N88-30-39, N99-30-39, N99-40-49","D21-30-39, D25-30-39, D27-30-39, K66-30-39, N70-30-39, N71-30-39, N73-30-39, N80-30-39, N83-30-39, N84-30-39, N85-30-39, N88-30-39, N92-30-39, N93-30-39, N94-30-39, N99-30-39, K66-40-49, N70-40-49, N73-40-49","Diverge"
1,127,71,"F41-10-19, F45-10-19, F41-20-29","F44-10-19, F45-10-19, F45-20-29, F45-30-39, F45-40-49","Diverge"
1,307,302,"I21-40-49, I25-40-49, I42-40-49, I50-40-49, I20-50-59, I21-50-59, I24-50-59","I42-40-49, I50-40-49, I42-50-59, I44-50-59, I44-60-69, I44-70-79","Diverge"
1,448,270,"E66-40-49, I89-40-49, K42-40-49, K43-40-49, M16-40-49, E65-50-59, K42-50-59, K43-50-59","M16-40-49, E66-50-59, I89-50-59, L30-50-59, M16-50-59, M87-50-59, E65-60-69, I89-60-69, K45-60-69, L27-60-69, N62-60-69, I89-70-79","Diverge"
1,525,474,"M51-50-59, M96-50-59, A69-60-69, G54-60-69, G57-60-69, M96-60-69, G57-70-79","M96-50-59, G55-60-69, M51-60-69, M96-60-69","Diverge"
1,381,362,"B02-50-59, D13-50-59, E78-50-59, E83-50-59, G51-50-59, G58-50-59, I07-50-59, I15-50-59, I71-50-59, I72-50-59, I72-60-69","D13-50-59, K80-50-59, K81-50-59, K82-50-59, K91-60-69","Diverge"
1,581,382,"D17-50-59, D17-60-69, D17-70-79","D17-50-59, N84-60-69, N88-60-69","Diverge"
1,500,484,"C38-60-69, C78-60-69, D61-60-69, D70-60-69, J90-60-69, J91-60-69, C80-70-79, D70-70-79","D61-60-69, D69-60-69, D70-60-69, D46-70-79, D61-70-79, D69-70-79","Diverge"
1,585,500,"D61-60-69, D69-60-69, D70-60-69, D46-70-79, D61-70-79, D69-70-79","C77-60-69, C80-60-69, D63-60-69, D70-60-69, C23-70-79, C77-70-79, C78-70-79, C79-70-79, C80-70-79, D48-70-79, D63-70-79, D70-70-79, M84-70-79","Diverge"
1,187,122,"F31-20-29, F31-30-39, F31-40-49","F31-20-29, F10-30-39, F31-30-39, K70-30-39, K71-30-39, K71-40-49","Diverge"
1,385,346,"G54-40-49, G55-40-49, M41-40-49, M42-40-49, M43-40-49, M47-40-49, M48-40-49, M50-40-49, M53-40-49, M62-40-49, M99-40-49, E55-50-59, M41-50-59, M42-50-59, M43-50-59, M47-50-59, M48-50-59, M62-50-59, M99-50-59","M47-40-49, D34-50-59, D44-50-59, E04-50-59, E21-50-59, E55-50-59, E83-50-59, J38-50-59, E07-60-69","Diverge"
1,21,4,"A38__0-9, B97__0-9, E45__0-9, G47__0-9, H04__0-9, J10__0-9, J35-10-19, J36-10-19, B07-20-29, B34-20-29, G51-20-29, H53-20-29, H72-20-29, H74-20-29, J15-20-29","E45__0-9, E66__0-9, G47__0-9, H65-10-19, H90-10-19, D27-20-29, D39-20-29, F81-20-29, F93-20-29, H65-20-29, H66-20-29, H90-20-29, I88-20-29, J00-20-29, N83-20-29","Diverge"
1,396,270,"E66-40-49, I89-40-49, K42-40-49, K43-40-49, M16-40-49, E65-50-59, K42-50-59, K43-50-59","M16-40-49, I89-50-59, M16-50-59, M87-50-59, I89-60-69, I89-70-79","Diverge"
1,83,64,"E66-10-19, E78-10-19, F17-10-19, I10-10-19, K76-10-19, K80-10-19, K76-20-29","I10-10-19, I10-20-29, N18-20-29","Diverge"
1,325,237,"N80-30-39, N84-30-39, N85-30-39, N88-30-39, N92-30-39, N93-30-39, N99-30-39, N99-40-49","D21-30-39, D25-30-39, D27-30-39, K66-30-39, N70-30-39, N71-30-39, N73-30-39, N80-30-39, N83-30-39, N84-30-39, N85-30-39, N88-30-39, N92-30-39, N93-30-39, N94-30-39, N99-30-39, K66-40-49, N70-40-49, N73-40-49","Diverge"
1,513,187,"F31-20-29, F10-30-39, F31-30-39, K70-30-39, K71-30-39, K71-40-49","F31-20-29, F31-30-39, F31-40-49, F31-50-59, F31-60-69, F31-70-79","Diverge"
1,209,189,"F17-30-39, J20-30-39, J44-30-39, J43-40-49, J44-40-49, J96-40-49","J44-30-39, J45-30-39, J43-40-49, J44-40-49, J45-40-49, J96-40-49, J06-50-59","Diverge"
1,500,490,"C38-60-69, C77-60-69, C78-60-69, C79-60-69, C80-60-69, D61-60-69, D63-60-69, D70-60-69, J90-60-69, J91-60-69, M84-60-69, C23-70-79, C77-70-79, C78-70-79, C79-70-79, C80-70-79, D48-70-79, D63-70-79, D70-70-79, M84-70-79","D61-60-69, D69-60-69, D70-60-69, D46-70-79, D61-70-79, D69-70-79","Diverge"
