"value","Cluster_2","Cluster_1","Cluster1","Cluster2","effect"
1,497,386,"N32-40-49, N35-40-49, N32-50-59, N35-50-59","N32-40-49, N40-40-49, N41-40-49, N21-50-59, N40-50-59, N41-50-59, N42-50-59, N41-60-69, N42-60-69","Diverge"
1,364,312,"D52-40-49, F54-40-49, F55-40-49, J41-40-49, L71-40-49, F17-50-59, J41-50-59, J42-50-59, J95-50-59, J13-60-69, J39-60-69, K04-60-69, K08-60-69, K12-60-69, L08-60-69, N62-60-69","L71-40-49, K70-50-59, D53-60-69, F05-60-69, G31-60-69, G31-70-79","Diverge"
1,383,382,"N25-40-49, N26-40-49, N18-50-59, N25-50-59, N26-50-59, A04-60-69, B02-60-69, N03-60-69, N26-60-69, N26-70-79","F54-40-49, N26-40-49, I25-50-59, I97-50-59, I13-60-69, I30-60-69, I33-60-69, K04-60-69","Diverge"
1,558,502,"A02-60-69, A18-60-69, A26-60-69, A40-60-69, A48-60-69, A69-60-69, A84-60-69, B07-60-69, B36-60-69, B44-60-69, B49-60-69, B86-60-69, B91-60-69, C00-60-69, C06-60-69, C11-60-69, C12-60-69, C14-60-69, C26-60-69, C39-60-69, C41-60-69, C45-60-69, C50-60-69, C60-60-69, C66-60-69, C69-60-69, C76-60-69, C84-60-69, C88-60-69, D01-60-69, D03-60-69, D04-60-69, D07-60-69, D11-60-69, D15-60-69, D31-60-69, D34-60-69, D51-60-69, D89-60-69, E07-60-69, E22-60-69, E23-60-69, E27-60-69, E41-60-69, E46-60-69, E74-60-69, E85-60-69, F52-60-69, G06-60-69, G24-60-69, G52-60-69, G90-60-69, G92-60-69, H21-60-69, H31-60-69, H55-60-69, H61-60-69, H70-60-69, J02-60-69, J10-60-69, J11-60-69, J12-60-69, J21-60-69, J61-60-69, J85-60-69, K11-60-69, K28-60-69, K41-60-69, L25-60-69, L58-60-69, L60-60-69, L80-60-69, L81-60-69, M12-60-69, M60-60-69, N11-60-69, N34-60-69, N36-60-69, N50-60-69, 000-70-79","B36-60-69, D34-60-69, E72-60-69, F09-60-69, G90-60-69, I10-60-69, I30-60-69, I33-60-69, I60-60-69, I78-60-69, J13-60-69, J30-60-69, K73-60-69, L08-60-69, L21-60-69, L23-60-69, L27-60-69, L29-60-69, L71-60-69, L85-60-69, N02-60-69, N04-60-69, C05-70-79, C74-70-79, D15-70-79, E26-70-79, E29-70-79, F55-70-79, G37-70-79, G96-70-79, H72-70-79, I68-70-79, J35-70-79, K09-70-79, L70-70-79, M14-70-79, N03-70-79, N49-70-79","Diverge"
1,131,92,"E87-10-19, F10-10-19, F12-10-19, F17-10-19, F20-10-19, F23-10-19, F60-10-19, F60-20-29, F63-20-29","F20-10-19, F23-10-19, F12-20-29, F15-20-29, F20-20-29, F23-20-29, F25-20-29, F31-20-29, F20-30-39, F23-30-39, F25-30-39, F20-40-49, F25-40-49","Diverge"
1,417,197,"K29-30-39, K31-30-39, K51-30-39, K58-30-39, K59-30-39, K59-40-49","K51-30-39, K51-40-49, D73-50-59, J04-50-59, K51-50-59, B96-60-69, K29-60-69, K51-60-69, A69-70-79, D16-70-79, D21-70-79, K51-70-79, L50-70-79, N10-70-79, N62-70-79","Diverge"
1,497,275,"C61-40-49, N32-40-49, N40-40-49, C61-50-59, D40-50-59, N32-50-59","N32-40-49, N40-40-49, N41-40-49, N21-50-59, N40-50-59, N41-50-59, N42-50-59, N41-60-69, N42-60-69","Diverge"
1,74,5,"A41__0-9, C91__0-9, N10__0-9, A41-10-19, C91-10-19","N10__0-9, N13__0-9, N28__0-9, N28-10-19","Diverge"
1,315,198,"G35-20-29, E78-30-39, E87-30-39, G35-30-39, G45-30-39, H81-30-39, M42-30-39, M47-30-39, M47-40-49","G35-20-29, G35-30-39, G35-40-49, N31-40-49, N31-50-59","Diverge"
1,210,193,"E10-30-39, E16-30-39, H36-30-39, E10-40-49, E16-40-49, H36-40-49","H33-30-39, H35-30-39, H36-30-39, H43-40-49, H33-40-49, H34-40-49, H35-40-49, H36-40-49, H43-50-59, H33-50-59, H35-50-59, H36-50-59, H43-60-69, H26-60-69, H33-60-69","Diverge"
1,302,125,"E11-20-29, E66-20-29, E78-20-29, E79-20-29, G47-20-29, G47-30-39","G47-20-29, G25-30-39, G47-30-39, E66-40-49, G25-40-49, G47-40-49, G25-50-59, H66-50-59, K46-50-59","Diverge"
1,540,437,"G20-50-59, F02-60-69, G20-60-69, G21-60-69, G21-70-79","F32-50-59, G20-50-59, G35-50-59, F48-60-69, F61-60-69, G35-60-69, K02-60-69, N47-60-69, N48-60-69, G35-70-79, N47-70-79, N48-70-79","Diverge"
1,126,125,"E11-20-29, E66-20-29, E78-20-29, E79-20-29, G47-20-29, G47-30-39","E78-20-29, E79-20-29, E79-30-39","Diverge"
1,572,558,"B36-60-69, D34-60-69, E72-60-69, F09-60-69, G90-60-69, I10-60-69, I30-60-69, I33-60-69, I60-60-69, I78-60-69, J13-60-69, J30-60-69, K73-60-69, L08-60-69, L21-60-69, L23-60-69, L27-60-69, L29-60-69, L71-60-69, L85-60-69, N02-60-69, N04-60-69, C05-70-79, C74-70-79, D15-70-79, E26-70-79, E29-70-79, F55-70-79, G37-70-79, G96-70-79, H72-70-79, I68-70-79, J35-70-79, K09-70-79, L70-70-79, M14-70-79, N03-70-79, N49-70-79","F09-60-69, J62-60-69, J92-60-69, J44-70-79, J47-70-79, J62-70-79, K20-70-79","Diverge"
1,344,312,"D52-40-49, F54-40-49, F55-40-49, J41-40-49, L71-40-49, F17-50-59, J41-50-59, J42-50-59, J95-50-59, J13-60-69, J39-60-69, K04-60-69, K08-60-69, K12-60-69, L08-60-69, N62-60-69","J41-40-49, J44-50-59, J47-50-59, J95-50-59, B90-60-69, G61-60-69, H10-60-69, J40-60-69, J47-60-69, J82-60-69, J95-60-69","Diverge"
1,618,602,"N30-50-59, N43-50-59, D29-60-69, D30-60-69, N10-60-69, N39-60-69, N43-60-69, N45-60-69, D30-70-79, H10-70-79, N02-70-79, N39-70-79, N40-70-79, N41-70-79, N42-70-79, N43-70-79, N45-70-79, N99-70-79","N30-50-59, K63-60-69, C71-70-79, D36-70-79, D43-70-79","Diverge"
1,589,366,"L97-40-49, L98-40-49, L97-50-59, L98-50-59","L98-40-49, M86-40-49, L97-50-59, L98-50-59, M86-50-59, L97-60-69, L98-60-69, M86-60-69, L97-70-79, L98-70-79, M86-70-79","Diverge"
1,257,253,"M25-30-39, M25-40-49, M66-40-49, M87-40-49","M19-30-39, M24-30-39, M25-30-39, M65-30-39, M67-30-39, M75-30-39, M19-40-49, M24-40-49, M65-40-49, M67-40-49, M75-40-49, M77-40-49, M66-50-59, M75-50-59, M76-50-59, M77-50-59","Diverge"
1,323,205,"G40-40-49, G41-40-49, G81-40-49, J69-40-49, F70-50-59, G41-50-59, F70-60-69","G81-40-49, G81-50-59","Diverge"
1,135,92,"E87-10-19, F10-10-19, F12-10-19, F17-10-19, F20-10-19, F23-10-19, F60-10-19, F60-20-29, F63-20-29","F20-10-19, F23-10-19, F20-20-29, F23-20-29, F25-20-29, F20-30-39, F23-30-39, F25-30-39","Diverge"
1,540,504,"G20-50-59, F02-60-69, G20-60-69, G21-60-69, F02-70-79, G20-70-79, G21-70-79","F32-50-59, G20-50-59, G35-50-59, F48-60-69, F61-60-69, G35-60-69, K02-60-69, N47-60-69, N48-60-69, G35-70-79, N47-70-79, N48-70-79","Diverge"
1,345,321,"F17-40-49, G58-40-49, J01-40-49, J37-40-49, J38-40-49, J42-40-49, J43-40-49, J93-40-49, J02-50-59, J37-50-59, J38-50-59, J37-60-69, J37-70-79","J43-40-49, J43-50-59, J93-60-69","Diverge"
1,188,187,"F70-10-19, F70-20-29, D53-30-39, F10-30-39, F34-30-39, F70-30-39, D53-40-49, F05-40-49, F34-40-49, F70-40-49, G31-40-49, H10-40-49, K72-40-49, L21-40-49, D53-50-59","F70-10-19, F70-20-29, D75-30-39, F70-30-39, D52-40-49, F10-40-49, F22-40-49, F23-40-49, F70-40-49, G31-40-49, L21-40-49, C09-50-59, C10-50-59, C13-50-59, E53-50-59, F22-50-59, F55-50-59, H10-50-59, I86-50-59, N62-50-59, F22-60-69, F22-70-79","Diverge"
1,201,132,"B94-20-29, B16-30-39, B17-30-39, B18-30-39, F11-30-39, F12-30-39, F13-30-39, F14-30-39, F19-30-39, K73-30-39, B17-40-49, B18-40-49, B94-40-49, F11-40-49, F12-40-49, F14-40-49, F19-40-49, K73-40-49, F12-50-59, K73-50-59","B94-20-29, F17-30-39, G45-30-39, J06-30-39, J15-30-39, J20-30-39, J93-30-39, L05-40-49","Diverge"
1,297,210,"H33-30-39, H35-30-39, H36-30-39, H43-40-49, H33-40-49, H34-40-49, H35-40-49, H36-40-49, H43-50-59, H33-50-59, H35-50-59, H36-50-59, H43-60-69, H26-60-69, H33-60-69","E10-30-39, E16-30-39, H36-30-39, E16-40-49","Diverge"
1,38,32,"E88__0-9, F79__0-9, G25__0-9, G41__0-9, I47__0-9, J69__0-9, G40-10-19, G41-10-19, J96-10-19, J96-20-29","G40__0-9, G41__0-9, G47__0-9, G81__0-9, G91__0-9, G41-10-19, G47-10-19, G81-10-19, G91-10-19","Diverge"
1,642,497,"N32-40-49, N40-40-49, N41-40-49, N21-50-59, N40-50-59, N41-50-59, N42-50-59, N41-60-69, N42-60-69","N41-40-49, D40-50-59, N41-50-59, N42-50-59, D40-60-69, N41-60-69, C61-70-79, C64-70-79, D40-70-79, N41-70-79, N42-70-79","Diverge"
1,57,12,"B97__0-9, J20__0-9, J30__0-9, J42__0-9, L30__0-9, D80-10-19","J30__0-9, J30-10-19, J30-20-29","Diverge"
1,624,125,"E11-20-29, E66-20-29, E78-20-29, E79-20-29, G47-20-29, G47-30-39","G47-20-29, G25-30-39, G47-30-39, G25-40-49, G47-40-49","Diverge"
1,466,340,"D12-40-49, I84-40-49, K60-40-49, K61-40-49, K60-50-59, K61-50-59, K64-50-59","K60-40-49, K61-40-49, I84-50-59, K60-50-59, K61-50-59, D21-60-69","Diverge"
1,382,332,"I12-40-49, I13-40-49, N25-40-49, D44-50-59, E72-50-59, G61-50-59, I10-50-59, I12-50-59, I13-50-59, I30-50-59, I62-50-59, I99-50-59, J22-50-59, J91-50-59, L23-50-59, L27-50-59, L73-50-59, M35-50-59, M46-50-59, M80-50-59, N05-50-59, C31-60-69, E26-60-69, L05-60-69, N05-60-69, N12-60-69","N25-40-49, N26-40-49, N18-50-59, N25-50-59, N26-50-59, A04-60-69, B02-60-69, N03-60-69, N26-60-69, N26-70-79","Diverge"
1,554,338,"G91-40-49, I60-40-49, I61-40-49, G91-50-59, I60-50-59, I61-50-59","G91-40-49, I60-40-49, D73-50-59, F52-50-59, G30-50-59, G91-50-59, G99-50-59, I60-50-59, L28-50-59, E11-60-69, E55-60-69, F00-60-69, F05-60-69, G30-60-69, G91-60-69, H49-60-69, A26-70-79, A48-70-79, C76-70-79, D34-70-79, G91-70-79, H59-70-79, H60-70-79, L08-70-79, L28-70-79, M00-70-79, N04-70-79","Diverge"
1,140,92,"E87-10-19, F10-10-19, F12-10-19, F17-10-19, F20-10-19, F23-10-19, F60-10-19, F60-20-29, F63-20-29","F20-10-19, F23-10-19, F20-20-29, F23-20-29, F25-20-29, F20-30-39, F23-30-39, F25-30-39, F20-40-49, F25-40-49","Diverge"
1,321,272,"C32-40-49, J37-40-49, J38-40-49, C32-50-59, J37-50-59, J38-50-59","F17-40-49, G58-40-49, J01-40-49, J37-40-49, J38-40-49, J42-40-49, J43-40-49, J93-40-49, J02-50-59, J37-50-59, J38-50-59, J37-60-69, J37-70-79","Diverge"
