symbol1,symbol2
TNMD,SPAG4
TNMD,BCL2L13
TNMD,BNIP3L
TNMD,CD33
TNMD,HHLA2
TNMD,FAM209A
TNMD,MYG1
TNMD,FCGR1A
TNMD,CREB3L1
TNMD,TMEM79
TNMD,GGT6
TNMD,ARL13B
TNMD,BNIP3
TNMD,AMIGO1
TNMD,TMEM106A
TNMD,KIR3DL3
TNMD,H1-4
TNMD,LMNA
SPAG4,SCD
SPAG4,ERMP1
SPAG4,GOSR2
SPAG4,TSPO2
SPAG4,IGFBP5
SPAG4,SEC22A
SPAG4,TMEM60
SPAG4,NRM
SPAG4,RUSF1
SPAG4,ASGR1
SPAG4,CSGALNACT1
SPAG4,BMP10
SPAG4,SUN5
SPAG4,PTPN9
SPAG4,TMEM187
SPAG4,TRARG1
SPAG4,PLN
SPAG4,ABHD16A
SPAG4,MS4A13
SPAG4,SCAMP4
SPAG4,PGA4
SPAG4,ODF1
SPAG4,PAXIP1
SPAG4,SEPTIN12
BCL2L13,DEFB127
BCL2L13,FXYD3
BCL2L13,ERMP1
BCL2L13,HMOX2
BCL2L13,TMEM97
BCL2L13,TMEM14C
BCL2L13,STX12
BCL2L13,PLP1
BCL2L13,FAM210B
BCL2L13,CRB3
BCL2L13,TMEM254
BCL2L13,ERG28
BCL2L13,CD53
BCL2L13,GALNT2
BCL2L13,AIG1
BCL2L13,TMEM86A
BCL2L13,SPOCK1
BCL2L13,FZD7
BCL2L13,CLDN19
BCL2L13,C4orf3
BCL2L13,SLC35A1
BCL2L13,SLC30A8
BCL2L13,STX8
BCL2L13,JAGN1
BCL2L13,LPAR3
BCL2L13,TMEM51
BCL2L13,MAL
BCL2L13,AGTRAP
BCL2L13,SLC35G5
BCL2L13,TMEM86B
BCL2L13,ADIPOQ
BCL2L13,GAST
BCL2L13,TRARG1
BCL2L13,TMEM72
BCL2L13,APOD
BCL2L13,PLN
BCL2L13,PLPP4
BCL2L13,LAT
BCL2L13,TM6SF2
BCL2L13,TMEM242
BCL2L13,TNF
BCL2L13,SMIM1
BCL2L13,AQP1
BCL2L13,STX7
BCL2L13,TMUB2
BCL2L13,GABARAPL2
BCL2L13,VAMP3
BCL2L13,C3orf52
BCL2L13,AQP5
BCL2L13,CLEC1A
BCL2L13,GABARAPL1
BCL2L13,SLC30A2
BCL2L13,CSGALNACT2
BCL2L13,NINJ2
BCL2L13,VAMP4
BCL2L13,PNLIPRP1
BCL2L13,BET1
BCL2L13,SLC29A1
BCL2L13,PLLP
BCL2L13,PGAP2
BCL2L13,ITM2B
BCL2L13,SDR42E1
BCL2L13,TMEM109
BCL2L13,NAT8
BCL2L13,BTN2A2
BCL2L13,SLC30A3
BCL2L13,CYBC1
BCL2L13,CLDN11
BCL2L13,TMEM128
BCL2L13,SYNGR2
BCL2L13,LHFPL5
BCL2L13,UPK1B
BCL2L13,PLPP6
BCL2L13,APP
BCL2L13,TOMM20
BCL2L13,TOMM22
BCL2L13,SOD1
BCL2L13,HSPD1
BCL2L13,SLC25A4
BCL2L13,MTNR1B
BCL2L13,SLC7A1
BCL2L13,COX14
BCL2L13,MGST3
BNIP3L,GABARAPL2
BNIP3L,CYB5B
BNIP3L,TMPRSS4
BNIP3L,GABARAPL1
BNIP3L,MALL
BNIP3L,SMCO4
BNIP3L,CLEC7A
BNIP3L,BNIP3
BNIP3L,TMEM11
BNIP3L,TMEM120B
BNIP3L,BCL2
BNIP3L,EWSR1
BNIP3L,FATE1
BNIP3L,LMNA
BNIP3L,BCL2L1
BNIP3L,DOK5
BNIP3L,BAD
BNIP3L,MAP1LC3A
BNIP3L,RINT1
BNIP3L,CREB3
BNIP3L,GBP2
BNIP3L,KLHL23
BNIP3L,STEAP3
BNIP3L,ROBO2
BNIP3L,BNIP2
BNIP3L,GNB5
BNIP3L,LDLRAD1
BNIP3L,FCER1G
BNIP3L,DUSP3
BNIP3L,CASK
BNIP3L,NR4A1
BNIP3L,GABARAP
BNIP3L,RHEB
BNIP3L,ECM1
BNIP3L,CAMK1D
BNIP3L,ATP13A2
BNIP3L,MAP1LC3B
BNIP3L,CEP192
BNIP3L,CLN8
BNIP3L,WIPI2
BNIP3L,PPTC7
BNIP3L,ADIPOQ
BNIP3L,HTR2B
BNIP3L,PRELID1
CD33,THSD7A
CD33,KRT31
CD33,SCD
CD33,EMD
CD33,CYB5B
CD33,C3orf52
CD33,UBIAD1
CD33,TMEM243
CD33,TMBIM1
CD33,CXCL9
CD33,BMP10
CD33,TMEM100
CD33,RPRM
CD33,GIMAP5
CD33,KRT35
CD33,KRT40
CD33,LCK
CD33,SRC
CD33,PTPN11
CD33,PTPN6
CD33,CBL
CD33,CALM1
CD33,PEX19
CD33,LAIR1
CD33,C1QA
CD33,TLR5
CD33,SLC39A11
CD33,LEP
CD33,C1QB
CD33,C1QC
CD33,TLR10
CD33,CD14
CD33,HERC3
CD33,SAAL1
CD33,COMMD3
HHLA2,ERMP1
HHLA2,AQP9
HHLA2,UNC93B1
HHLA2,BTNL8
HHLA2,C3orf52
HHLA2,NRM
HHLA2,TMEM140
HHLA2,SMCO4
HHLA2,NIPAL4
HHLA2,RPRM
HHLA2,BRICD5
HHLA2,FAM3C
HHLA2,PGA4
FAM209A,TRAF3IP3
FAM209A,HHATL
FAM209A,SLC7A14
FAM209A,CLCA4
FAM209A,VAMP3
FAM209A,VMP1
FAM209A,CTSA
FAM209A,TFRC
FAM209A,MGLL
FAM209A,SCARF1
FAM209A,FDFT1
FAM209A,CD59
FAM209A,FXYD3
FAM209A,COMT
FAM209A,ERMP1
FAM209A,STX1B
FAM209A,MARCHF2
FAM209A,TECR
FAM209A,BIK
FAM209A,HMOX1
FAM209A,TSPO
FAM209A,SYNGR1
FAM209A,CNIH1
FAM209A,CDS2
FAM209A,WFDC2
FAM209A,APMAP
FAM209A,PLP2
FAM209A,EMD
FAM209A,OLFM4
FAM209A,CYB5B
FAM209A,SLC38A7
FAM209A,FA2H
FAM209A,HMOX2
FAM209A,CDIPT
FAM209A,ATP13A1
FAM209A,BET1
FAM209A,C1GALT1
FAM209A,SLC1A1
FAM209A,GOSR2
FAM209A,MMD
FAM209A,TMEM97
FAM209A,PMP22
FAM209A,WFS1
FAM209A,HTATIP2
FAM209A,APOC3
FAM209A,CD81
FAM209A,TMEM14C
FAM209A,RHAG
FAM209A,SELENOK
FAM209A,CYB561D2
FAM209A,C3orf52
FAM209A,UPK1B
FAM209A,UNC50
FAM209A,IGFBP5
FAM209A,FAM20B
FAM209A,VAMP4
FAM209A,SERP1
FAM209A,UBIAD1
FAM209A,SEC22A
FAM209A,PLP1
FAM209A,PEDS1-UBE2V1
FAM209A,BTN2A2
FAM209A,INSIG2
FAM209A,GPR108
FAM209A,NAPB
FAM209A,OTOR
FAM209A,STATH
FAM209A,ADGRE2
FAM209A,EMC6
FAM209A,APOL2
FAM209A,TWSG1
FAM209A,CLN6
FAM209A,TMEM128
FAM209A,SEC61G
FAM209A,TMEM254
FAM209A,ERG28
FAM209A,TSPAN2
FAM209A,TMEM243
FAM209A,TMEM60
FAM209A,MIP
FAM209A,MMD2
FAM209A,CNPY3
FAM209A,TMEM14B
FAM209A,NRM
FAM209A,TMPRSS4
FAM209A,TMBIM6
FAM209A,BNIP2
FAM209A,RUSF1
FAM209A,CTRL
FAM209A,ASGR1
FAM209A,TMEM50B
FAM209A,CD53
FAM209A,SEMA6C
FAM209A,NAT8
FAM209A,THSD7B
FAM209A,NXPE3
FAM209A,AIG1
FAM209A,TMEM140
FAM209A,TMEM47
FAM209A,EBP
FAM209A,FATE1
FAM209A,TMEM236
FAM209A,PGAP2
FAM209A,TMEM218
FAM209A,TMEM86A
FAM209A,CMTM7
FAM209A,TSPAN7
FAM209A,MS4A1
FAM209A,SLC13A3
FAM209A,TSPAN33
FAM209A,FCER1G
FAM209A,ALG8
FAM209A,PGLYRP3
FAM209A,CLDND2
FAM209A,CXCL16
FAM209A,STX5
FAM209A,ZFPL1
FAM209A,BMP10
FAM209A,EOGT
FAM209A,TMEM79
FAM209A,CDS1
FAM209A,CLDN19
FAM209A,TEX264
FAM209A,C4orf3
FAM209A,SCRG1
FAM209A,SLC35A1
FAM209A,SLC30A8
FAM209A,TMEM65
FAM209A,AQP3
FAM209A,CLDN2
FAM209A,GJB2
FAM209A,GHITM
FAM209A,SMCO4
FAM209A,C2
FAM209A,TMEM100
FAM209A,STX3
FAM209A,B4GALNT2
FAM209A,VKORC1
FAM209A,AQP2
FAM209A,ENTPD3
FAM209A,SFTPC
FAM209A,SCGB1D1
FAM209A,TMUB2
FAM209A,TMEM208
FAM209A,VAMP5
FAM209A,SLC35G2
FAM209A,MFF
FAM209A,GKN1
FAM209A,TMEM42
FAM209A,GPR37L1
FAM209A,GYPA
FAM209A,STX8
FAM209A,TMEM43
FAM209A,C11orf24
FAM209A,JAGN1
FAM209A,CANT1
FAM209A,LPAR3
FAM209A,COL8A2
FAM209A,NINJ2
FAM209A,MAL
FAM209A,ORMDL3
FAM209A,GPR151
FAM209A,ARV1
FAM209A,TNFRSF10C
FAM209A,TRAM1L1
FAM209A,DOLK
FAM209A,SLC35E3
FAM209A,SLC35A4
FAM209A,BNIP3
FAM209A,DNAJC30
FAM209A,BDNF
FAM209A,RPRM
FAM209A,AGTRAP
FAM209A,TMEM11
FAM209A,THBD
FAM209A,CYBC1
FAM209A,TMEM107
FAM209A,MYADM
FAM209A,TMEM86B
FAM209A,ADIPOQ
FAM209A,YIPF6
FAM209A,CLEC4G
FAM209A,SNORC
FAM209A,PAQR7
FAM209A,GKN2
FAM209A,GAST
FAM209A,C14orf180
FAM209A,MYADML2
FAM209A,SLC52A2
FAM209A,PTCH1
FAM209A,DEFB128
FAM209A,ANKRD46
FAM209A,TMEM222
FAM209A,PNLIPRP1
FAM209A,TMEM203
FAM209A,TMEM72
FAM209A,COL4A5
FAM209A,APOD
FAM209A,TMEM120A
FAM209A,CLDN4
FAM209A,S100A2
FAM209A,FAM3C
FAM209A,LRP10
FAM209A,LHFPL5
FAM209A,TMEM229B
FAM209A,GET3
FAM209A,RTP2
FAM209A,PLN
FAM209A,UBE2J1
FAM209A,PLPP4
FAM209A,SYT15
FAM209A,NCR3
FAM209A,DEFB121
FAM209A,MS4A13
FAM209A,SLC35B4
FAM209A,CTXN3
FAM209A,PLPP6
FAM209A,HACD2
FAM209A,GIMAP1
FAM209A,TM6SF2
FAM209A,FIS1
FAM209A,TNF
FAM209A,SMIM1
FAM209A,AQP1
FAM209A,KIR2DL3
FAM209A,TMEM141
