Community_ID	Members of community
1	['K56-0-9', 'K59-0-9', 'K60-0-9', 'K56-10-19']
2	['A08-0-9', 'A38-10-19', 'H61-10-19', 'J38-10-19']
3	['A38-0-9', 'G47-0-9', 'H04-0-9', 'J35-10-19', 'J36-10-19', 'B07-20-29', 'B34-20-29', 'G51-20-29', 'H53-20-29', 'H72-20-29', 'H74-20-29', 'J15-20-29']
4	['A41-0-9', 'C91-0-9', 'C91-10-19']
5	['B00-0-9', 'B99-0-9', 'J31-0-9', 'J40-0-9', 'K52-0-9', 'B99-10-19', 'J31-10-19', 'K08-10-19']
6	['B27-0-9', 'J03-0-9']
7	['B00-0-9', 'B08-0-9', 'B37-0-9', 'B99-0-9', 'H10-0-9', 'H66-0-9', 'J02-0-9', 'K21-0-9']
8	['N10-0-9', 'N12-0-9', 'N10-10-19']
9	['J20-0-9', 'J98-10-19']
10	['C71-0-9', 'C71-10-19', 'C71-20-29']
11	['D50-0-9', 'J15-0-9', 'J15-10-19']
12	['D64-0-9', 'D69-0-9', 'D70-0-9']
13	['D68-0-9', 'H61-0-9', 'H74-0-9', 'J34-0-9', 'J35-0-9', 'J39-0-9', 'H72-10-19']
14	['E10-0-9', 'E16-0-9', 'E87-0-9']
15	['E66-0-9', 'G47-0-9', 'H90-10-19', 'F81-20-29', 'H66-20-29', 'H90-20-29', 'J00-20-29', 'N83-20-29']
16	['F41-0-9', 'K02-0-9', 'K04-0-9', 'K08-0-9', 'K10-0-9', 'K12-0-9', 'L03-0-9']
17	['F80-0-9', 'F82-0-9', 'F80-10-19', 'F82-10-19']
18	['F84-0-9', 'G40-0-9', 'G41-0-9', 'G81-0-9', 'G91-0-9', 'F84-10-19', 'G41-10-19', 'G81-10-19', 'F84-20-29', 'G81-20-29']
19	[]
20	['F98-0-9', 'J11-0-9', 'J38-0-9', 'L50-0-9', 'J11-10-19', 'J38-10-19']
21	['G80-0-9', 'G82-0-9', 'M62-0-9', 'G80-10-19', 'G82-10-19', 'M62-10-19', 'M62-20-29']
22	['G81-0-9', 'G81-10-19', 'G81-20-29']
23	['H50-0-9', 'H52-0-9', 'H53-0-9', 'H50-10-19', 'H52-10-19', 'H50-20-29']
24	['H66-0-9']
25	['H73-0-9', 'J00-0-9', 'J04-0-9', 'J12-0-9', 'J38-0-9', 'L50-0-9']
26	['H90-0-9', 'H91-0-9', 'H90-10-19', 'H90-20-29']
27	['J31-0-9', 'K52-0-9', 'J31-10-19', 'K08-10-19']
28	['J30-0-9', 'J45-0-9', 'J46-0-9']
29	['J31-0-9', 'J40-0-9', 'B99-10-19', 'K08-10-19']
30	['K90-0-9', 'K90-10-19', 'K90-20-29']
31	['L20-0-9', 'L20-10-19', 'L20-20-29', 'L20-30-39', 'L20-40-49', 'L20-50-59']
32	['N11-0-9', 'N30-0-9', 'N35-0-9', 'N39-0-9', 'N76-0-9']
33	['N13-0-9', 'N28-0-9']
34	['A02-10-19', 'A16-10-19', 'A38-10-19', 'A68-10-19', 'A69-10-19', 'B07-10-19', 'B35-10-19', 'C74-10-19', 'D10-10-19', 'D57-10-19', 'D59-10-19', 'D61-10-19', 'D70-10-19', 'D80-10-19', 'E30-10-19', 'F95-10-19', 'G03-10-19', 'G04-10-19', 'G47-10-19', 'G71-10-19', 'H04-10-19', 'H05-10-19', 'H10-10-19', 'H35-10-19', 'H49-10-19', 'H51-10-19', 'H60-10-19', 'H69-10-19', 'H73-10-19', 'I78-10-19', 'J02-10-19', 'J12-10-19', 'J13-10-19', 'J39-10-19', 'J40-10-19', 'J42-10-19', 'J46-10-19', 'K00-10-19', 'K10-10-19', 'K12-10-19', 'K13-10-19', 'K14-10-19', 'K40-10-19', 'K42-10-19', 'K43-10-19', 'L03-10-19', 'L95-10-19', 'M02-10-19', 'M12-10-19', 'M13-10-19', 'M60-10-19', 'N04-10-19', 'N11-10-19', 'N32-10-19', 'N35-10-19']
35	['B00-10-19', 'J31-20-29', 'J35-20-29', 'K07-30-39', 'K07-40-49']
36	['B27-10-19', 'J03-10-19', 'J36-10-19']
37	['N73-10-19', 'N83-10-19']
38	['D69-10-19', 'D69-20-29', 'D69-30-39']
39	['E10-0-9', 'E16-0-9', 'E06-10-19', 'E10-10-19', 'E14-10-19', 'E16-10-19', 'E06-20-29', 'E16-20-29']
40	['E66-10-19', 'E78-10-19', 'F17-10-19', 'I10-10-19', 'K76-10-19', 'K80-10-19', 'K76-20-29']
41	['E73-10-19', 'E74-10-19', 'E73-20-29', 'E74-20-29']
42	['E84-10-19', 'E84-20-29', 'K86-20-29', 'E84-30-39']
43	['E87-10-19', 'F10-10-19', 'F12-10-19']
44	['F11-10-19', 'F13-10-19', 'F19-10-19']
45	['F43-10-19', 'F70-10-19', 'F81-10-19', 'F90-10-19', 'F90-20-29']
46	['F32-10-19', 'F33-10-19', 'F41-10-19', 'F44-10-19', 'F45-10-19', 'L98-10-19']
47	['F41-10-19', 'F45-10-19', 'F41-20-29']
48	['F60-10-19', 'F91-10-19']
49	['J96-0-9', 'G40-10-19', 'G41-10-19', 'J96-10-19', 'G41-20-29', 'J96-20-29']
50	['H83-10-19', 'H91-10-19', 'H93-10-19']
51	['I10-10-19', 'I10-20-29', 'N18-20-29']
