,trj,genetic_proportion
0,26,1.0
1,44,1.0
2,48,1.0
3,51,1.0
4,86_205_297_390,1.0
5,107_256_348,1.0
6,117,1.0
7,121,1.0
8,138,1.0
9,142,1.0
10,149_404,1.0
11,171,1.0
12,210,1.0
13,218_400,1.0
14,283,1.0
15,296,1.0
16,298,1.0
17,318,1.0
18,342_420,1.0
19,378,1.0
20,436,1.0
21,65_103,0.7142857142857143
22,139,0.6666666666666666
23,140,0.6666666666666666
24,148_222,0.6666666666666666
25,200,0.6666666666666666
26,206,0.6666666666666666
27,292,0.6666666666666666
28,373_389,0.6666666666666666
29,132,0.6
30,202,0.6
31,203,0.5238095238095238
32,39,0.5
33,74,0.5
34,97,0.5
35,119,0.5
36,204,0.5
37,239,0.5
38,274,0.5
39,122,0.4
40,179,0.4
41,12,0.3333333333333333
42,14,0.3333333333333333
43,28,0.3333333333333333
44,43,0.3333333333333333
45,49,0.3333333333333333
46,50,0.3333333333333333
47,56,0.3333333333333333
48,66_108,0.3333333333333333
49,100,0.3333333333333333
50,120,0.3333333333333333
51,126,0.3333333333333333
52,130,0.3333333333333333
53,134,0.3333333333333333
54,137,0.3333333333333333
55,166,0.3333333333333333
56,168,0.3333333333333333
57,248_339,0.3333333333333333
58,284,0.3333333333333333
59,309,0.3333333333333333
60,310,0.3333333333333333
61,338,0.3333333333333333
62,359,0.3333333333333333
63,361,0.3333333333333333
64,363,0.3333333333333333
65,368,0.3333333333333333
66,376,0.3333333333333333
67,377,0.3333333333333333
68,385,0.3333333333333333
69,394,0.3333333333333333
70,395,0.3333333333333333
71,430,0.3333333333333333
72,156,0.3
73,40,0.26666666666666666
74,438,0.26666666666666666
75,75,0.2
76,115,0.2
77,128,0.2
78,351,0.2
79,367,0.2
80,417,0.2
81,45,0.16666666666666666
82,53,0.16666666666666666
83,71,0.16666666666666666
84,209,0.16666666666666666
85,213,0.16666666666666666
86,226,0.16666666666666666
87,262,0.16666666666666666
88,273,0.16666666666666666
89,403,0.16666666666666666
90,442,0.16666666666666666
91,208,0.14285714285714285
92,364,0.13333333333333333
93,325,0.11428571428571428
94,18,0.1
95,89,0.1
96,191,0.1
97,242,0.1
98,243,0.1
99,249,0.1
100,344,0.1
