"Trajectory","Disease.list","Drug","X","ICD_each","Disease.Name","result_pubmed_count"
"1","['K35', 'K37', 'K56', 'K65']","Disopyramide",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Disopyramide",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Disopyramide",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Disopyramide",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Amitriptyline",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Amitriptyline",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Amitriptyline",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Amitriptyline",NA,"K65","Peritonitis",2
"1","['K35', 'K37', 'K56', 'K65']","Methadone",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Methadone",NA,"K37","Appendicitis",1
"1","['K35', 'K37', 'K56', 'K65']","Methadone",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Methadone",NA,"K65","Peritonitis",2
"1","['K35', 'K37', 'K56', 'K65']","Clozapine",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Clozapine",NA,"K37","Appendicitis",8
"1","['K35', 'K37', 'K56', 'K65']","Clozapine",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Clozapine",NA,"K65","Peritonitis",3
"1","['K35', 'K37', 'K56', 'K65']","Zolpidem",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Zolpidem",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Zolpidem",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Zolpidem",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Imipramine",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Imipramine",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Imipramine",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Imipramine",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Haloperidol",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Haloperidol",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Haloperidol",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Haloperidol",NA,"K65","Peritonitis",4
"1","['K35', 'K37', 'K56', 'K65']","Clonidine",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Clonidine",NA,"K37","Appendicitis",2
"1","['K35', 'K37', 'K56', 'K65']","Clonidine",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Clonidine",NA,"K65","Peritonitis",3
"1","['K35', 'K37', 'K56', 'K65']","Ethanol",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Ethanol",NA,"K37","Appendicitis",7
"1","['K35', 'K37', 'K56', 'K65']","Ethanol",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Ethanol",NA,"K65","Peritonitis",88
"1","['K35', 'K37', 'K56', 'K65']","Asenapine",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Asenapine",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Asenapine",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Asenapine",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Dosulepin",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Dosulepin",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Dosulepin",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Dosulepin",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Cevimeline",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Cevimeline",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Cevimeline",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Cevimeline",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Trospium",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Trospium",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Trospium",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Trospium",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Dextromethorphan",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Dextromethorphan",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Dextromethorphan",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Dextromethorphan",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Amoxapine",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Amoxapine",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Amoxapine",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Amoxapine",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Trimipramine",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Trimipramine",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Trimipramine",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Trimipramine",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Minaprine",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Minaprine",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Minaprine",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Minaprine",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Quetiapine",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Quetiapine",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Quetiapine",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Quetiapine",NA,"K65","Peritonitis",1
"1","['K35', 'K37', 'K56', 'K65']","Paliperidone",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Paliperidone",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Paliperidone",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Paliperidone",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Tiotropium",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Tiotropium",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Tiotropium",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Tiotropium",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Solifenacin",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Solifenacin",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Solifenacin",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Solifenacin",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Dronedarone",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Dronedarone",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Dronedarone",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Dronedarone",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Fesoterodine",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Fesoterodine",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Fesoterodine",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Fesoterodine",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Umeclidinium",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Umeclidinium",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Umeclidinium",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Umeclidinium",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Zopiclone",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Zopiclone",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Zopiclone",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Zopiclone",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Lacosamide",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Lacosamide",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Lacosamide",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Lacosamide",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Ziprasidone",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Ziprasidone",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Ziprasidone",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Ziprasidone",NA,"K65","Peritonitis",0
"1","['K35', 'K37', 'K56', 'K65']","Cabergoline",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Cabergoline",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Cabergoline",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Cabergoline",NA,"K65","Peritonitis",1
"1","['K35', 'K37', 'K56', 'K65']","Prazosin",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Prazosin",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Prazosin",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Prazosin",NA,"K65","Peritonitis",3
"1","['K35', 'K37', 'K56', 'K65']","Ergotamine",NA,"K35","Acute appendicitis NOS (disorder)",0
"1","['K35', 'K37', 'K56', 'K65']","Ergotamine",NA,"K37","Appendicitis",0
"1","['K35', 'K37', 'K56', 'K65']","Ergotamine",NA,"K56","intestinal impaction",0
"1","['K35', 'K37', 'K56', 'K65']","Ergotamine",NA,"K65","Peritonitis",2
