Community_ID	Members of community
1	['K35-10-19', 'K37-10-19', 'K56-10-19', 'K65-10-19']
2	['A04-0-9', 'A08-0-9', 'F50-0-9']
3	['H73-0-9', 'K92-0-9']
4	['A41-0-9', 'C91-0-9', 'N10-0-9', 'A41-10-19', 'C91-10-19']
5	['A49-0-9', 'B27-0-9', 'J03-0-9', 'J11-0-9', 'J38-0-9', 'L50-0-9', 'J38-10-19']
6	['B00-0-9', 'B08-0-9', 'B34-0-9', 'B37-0-9', 'B99-0-9', 'D50-0-9', 'H10-0-9', 'J00-0-9', 'J02-0-9', 'J04-0-9', 'J12-0-9', 'J15-0-9', 'J31-0-9', 'J38-0-9', 'J40-0-9', 'K52-0-9']
7	['L20-30-39', 'L20-40-49', 'L20-50-59', 'L20-60-69']
8	['B27-0-9', 'J03-0-9']
9	['D50-10-19', 'K50-10-19', 'D50-20-29']
10	['J20-0-9', 'J30-0-9', 'J42-0-9', 'L30-0-9', 'D80-10-19']
11	['C71-0-9', 'C79-10-19', 'H53-10-19']
12	['D61-0-9', 'D69-0-9', 'D70-0-9']
13	['D80-0-9', 'E61-0-9', 'G00-0-9', 'H02-0-9', 'H04-0-9', 'J01-0-9', 'K00-0-9', 'K76-0-9', 'M43-0-9', 'J35-10-19', 'J36-10-19']
14	['E03-0-9', 'E03-10-19', 'E03-20-29']
15	['E10-0-9', 'E14-0-9', 'E16-0-9', 'E10-10-19', 'E14-10-19', 'E16-10-19']
16	['E23-0-9', 'E23-10-19', 'E23-20-29']
17	['E34-0-9', 'E34-10-19', 'E34-20-29']
18	['E66-0-9', 'E66-10-19', 'E78-10-19', 'F17-10-19', 'I10-10-19', 'K76-10-19']
19	['E84-0-9', 'E84-10-19', 'K86-10-19', 'E84-20-29', 'K86-20-29', 'E84-30-39']
20	['E88-0-9', 'J96-10-19', 'J96-20-29']
21	['F41-0-9', 'K02-0-9', 'K05-0-9', 'K10-0-9', 'L03-0-9']
22	['F43-0-9', 'F81-0-9', 'F43-10-19', 'F70-10-19', 'F81-10-19', 'F90-10-19']
23	['E88-0-9', 'F79-0-9', 'G25-0-9', 'G41-0-9', 'I47-0-9', 'J69-0-9', 'G40-10-19', 'G41-10-19', 'J96-10-19', 'J96-20-29']
24	['F80-0-9', 'F82-0-9', 'F80-10-19', 'F82-10-19']
25	['F90-0-9', 'F91-0-9']
26	['F91-0-9', 'F91-10-19', 'F91-20-29']
27	['G40-0-9', 'G41-0-9', 'G47-0-9', 'G81-0-9', 'G91-0-9', 'G41-10-19', 'G47-10-19', 'G81-10-19', 'G91-10-19']
28	['G71-0-9', 'G71-10-19', 'G71-20-29']
29	['M24-10-19', 'M25-10-19', 'M65-10-19', 'M67-10-19']
30	['G93-10-19', 'G93-20-29', 'G93-30-39']
31	['H50-0-9', 'H52-0-9', 'H53-0-9', 'H50-10-19', 'H52-10-19']
32	['H60-0-9', 'H66-0-9', 'J11-0-9', 'K04-0-9']
33	['H61-0-9', 'H74-0-9', 'J34-0-9', 'J39-0-9']
34	['H69-0-9', 'J32-0-9', 'J35-0-9', 'J36-0-9']
35	['K04-0-9', 'K08-0-9', 'K12-0-9']
36	['H90-0-9', 'H91-0-9', 'H90-10-19', 'H91-10-19']
37	['J30-0-9', 'J30-10-19', 'J30-20-29']
38	['J04-0-9', 'J31-0-9', 'J40-0-9', 'J31-10-19']
39	['K21-0-9', 'K21-10-19', 'K29-10-19', 'K44-10-19', 'K52-10-19']
40	['J45-0-9', 'J46-0-9', 'J46-10-19']
41	['K40-0-9', 'K42-0-9', 'N43-0-9', 'K40-10-19', 'N43-10-19']
42	['K59-0-9', 'K60-0-9']
43	['K90-0-9', 'K90-10-19', 'K90-20-29', 'K90-30-39']
44	['L20-0-9', 'L20-10-19', 'L20-20-29', 'L20-30-39', 'L20-40-49', 'L20-50-59', 'L20-60-69']
