,Trajectory,Disease list,Drug Indications
0,1,"{'K56', 'K59'}","{'Ceruletide': 1, 'Ivermectin': 1, 'Trimebutine': 1, 'Dexpanthenol': 1, 'Moxidectin': 1, 'Tramadol': 1, 'Lactulose': 1, 'Lubiprostone': 1, 'Tegaserod': 1, 'Magnesium oxide': 1, 'Prucalopride': 1, 'Methylnaltrexone': 1, 'Linaclotide': 1, 'Naloxegol': 1, 'Potassium alum': 1, 'Magnesium hydroxide': 1, 'Bisoxatin': 1, 'Polyethylene glycol': 1, 'Polycarbophil': 1, 'Magnesium acetate tetrahydrate': 1, 'Sodium phosphate': 1, 'Docusate': 1, 'Plantago seed': 1, 'Magnesium citrate': 1, 'Methyl cellulose': 1, 'Sennosides': 1, 'Naldemedine': 1, 'Galactose': 1}"
1,3,"{'A38', 'G47', 'J15'}","{'Phenoxymethylpenicillin': 2, 'Amitriptyline': 2, 'Melatonin': 2, 'Aceprometazine': 2, 'Pimavanserin': 2, 'Armodafinil': 2, 'Telavancin': 1}"
2,4,"{'C91', 'A41'}","{'Teniposide': 1, 'Imatinib': 1, 'Inotuzumab ozogamicin': 1, 'Netilmicin': 1, 'Latamoxef': 1}"
3,5,"{'J40', 'B99'}","{'Moxifloxacin': 1, 'Isoetarine': 1, 'Theophylline': 1, 'Ipratropium': 1, 'Trimethoprim': 1, 'Clomocycline': 1, 'Demeclocycline': 1, 'Dyphylline': 1, 'Sulfametopyrazine': 1, 'Cefixime': 1, 'Orciprenaline': 1, 'Pseudoephedrine': 1, 'Terbutaline': 1, 'Methacycline': 1, 'Dirithromycin': 1, 'Telithromycin': 1, 'Lomefloxacin': 1, 'Salbutamol': 1, 'Sulfamethoxazole': 1, 'Gatifloxacin': 1, 'Isoprenaline': 1, 'Cefditoren': 1, 'Cefuroxime': 1, 'Sparfloxacin': 1, 'Clarithromycin': 1, 'Aminophylline': 1, 'Arformoterol': 1, 'Oxtriphylline': 1, 'Bambuterol': 1, 'Ceftibuten': 1, 'Sulfamerazine': 1, 'Sulfamethazine': 1, 'Pivampicillin': 1, 'Roflumilast': 1, 'Indacaterol': 1, 'Aclidinium': 1, 'Fluticasone furoate': 1, 'Olodaterol': 1, 'Vilanterol': 1, 'Pentoxyverine': 1, 'Etafedrine': 1, 'Terpin hydrate': 1, 'Diphenidol': 1}"
4,7,"{'K21', 'B99', 'H10', 'B08', 'B37'}","{'Bismuth Subcitrate': 2, 'Diphenidol': 1, 'Moxifloxacin': 2, 'Idoxuridine': 2, 'Medrysone': 2, 'Sulfisoxazole': 2, 'Triprolidine': 2, 'Trifluridine': 2, 'Cyproheptadine': 2, 'Chloramphenicol': 2, 'Sulfacetamide': 2, 'Prednisone': 2, 'Astemizole': 2, 'Carbinoxamine': 2, 'Epinastine': 2, 'Olopatadine': 2, 'Natamycin': 2, 'Hydroxypropyl cellulose': 2, 'Loteprednol': 2, 'Pemirolast': 2, 'Ketotifen': 2, 'Azelastine': 2, 'Cromoglicic acid': 2, 'Emedastine': 2, 'Levocabastine': 2, 'Levofloxacin': 2, 'Bepotastine': 2, 'Alcaftadine': 2, 'Besifloxacin': 2, 'Lodoxamide': 2, 'Antazoline': 2, 'Chloropyramine': 2, 'Spaglumic Acid': 2, 'Dexchlorpheniramine maleate': 2, 'Dermatophagoides farinae': 2, 'Dermatophagoides pteronyssinus': 2, 'Rose bengal': 2, 'Lifitegrast': 2, 'Acetyl sulfisoxazole': 2, 'Cantharidin': 1, 'Terconazole': 2, 'Clotrimazole': 2, 'Anidulafungin': 2, 'Caspofungin': 2, 'Voriconazole': 2, 'Butoconazole': 2, 'Tioconazole': 2, 'Ketoconazole': 2, 'Miconazole': 2, 'Econazole': 2, 'Micafungin': 2, 'Posaconazole': 2, 'Dequalinium': 2}"
5,12,"{'D69', 'D70'}","{'Immune Globulin Human': 1, 'Prednisone': 1, 'Lenograstim': 2}"
6,14,"{'E10', 'E87'}","{'Miglitol': 2, 'Glipizide': 2, 'Tolbutamide': 2, 'Ergocalciferol': 1, 'Calcium Gluceptate': 1, 'Dihydrotachysterol': 1, 'Sodium bicarbonate': 1, 'Tromethamine': 1, 'Ammonium chloride': 2, 'Canagliflozin': 1, 'Potassium Citrate': 1, 'Helium': 1, 'Sodium acetate': 1}"
7,15,"{'G47', 'E66'}","{'Amitriptyline': 2, 'Melatonin': 2, 'Aceprometazine': 2, 'Pimavanserin': 2, 'Armodafinil': 2, 'Amphetamine': 2, 'Phentermine': 2, 'Topiramate': 2, 'Phenylpropanolamine': 2, 'Fenfluramine': 2, 'Mazindol': 2, 'Phenmetrazine': 2, 'Benzphetamine': 2, 'Diethylpropion': 2, 'Orlistat': 2, 'Sibutramine': 2, 'Dexfenfluramine': 2, 'Fenproporex': 2, 'Methamphetamine': 2, 'Phendimetrazine': 2, 'Pantothenic acid': 2, 'Lorcaserin': 2, 'Omega-3-carboxylic acids': 2, 'Pipradrol': 2, 'Ertugliflozin': 2, 'Semaglutide': 2}"
8,16,"{'K02', 'F41'}","{'Chlorhexidine': 2, 'Calcium glycerophosphate': 2, 'Silver': 2, 'Lorazepam': 1, 'Butabarbital': 1, 'Meprobamate': 1, 'Chlordiazepoxide': 1, 'Buspirone': 1, 'Clorazepate': 1, 'Halazepam': 1, 'Diazepam': 1, 'Trifluoperazine': 1, 'Oxazepam': 1, 'Desipramine': 1, 'Clotiazepam': 1, 'Fludiazepam': 1, 'Prazepam': 1, 'Cinolazepam': 1}"
9,18,"{'G41', 'G40'}","{'Lorazepam': 2, 'Adinazolam': 2, 'Propofol': 2, 'Fosphenytoin': 2, 'Clobazam': 2, 'Carbamazepine': 2, 'Ethosuximide': 2, 'Oxcarbazepine': 2, 'Primidone': 2, 'Phensuximide': 2, 'Progabide': 2, 'Methylphenobarbital': 2, 'Zonisamide': 2, 'Felbamate': 2, 'Gabapentin': 2, 'Vigabatrin': 2, 'Phenacemide': 2, 'Levetiracetam': 2, 'Flunarizine': 2, 'Lacosamide': 2, 'Stiripentol': 2}"
