,Trajectory,Disease list,Drug Indications
0,1,"{'K56', 'K37', 'K65'}","{'Ceruletide': 1, 'Ivermectin': 1, 'Trimebutine': 1, 'Dexpanthenol': 1, 'Moxidectin': 1, 'Meropenem': 3, 'Anidulafungin': 2, 'Ceftazidime': 2}"
1,4,"{'C91', 'A41'}","{'Teniposide': 1, 'Imatinib': 1, 'Inotuzumab ozogamicin': 1, 'Netilmicin': 1, 'Latamoxef': 1}"
2,6,"{'B99', 'J40', 'H10', 'B08', 'J15', 'B37'}","{'Diphenidol': 1, 'Moxifloxacin': 3, 'Isoetarine': 1, 'Theophylline': 1, 'Ipratropium': 1, 'Trimethoprim': 1, 'Clomocycline': 1, 'Demeclocycline': 1, 'Dyphylline': 1, 'Sulfametopyrazine': 1, 'Cefixime': 1, 'Orciprenaline': 1, 'Pseudoephedrine': 1, 'Terbutaline': 1, 'Methacycline': 1, 'Dirithromycin': 1, 'Telithromycin': 1, 'Lomefloxacin': 1, 'Salbutamol': 1, 'Sulfamethoxazole': 1, 'Gatifloxacin': 1, 'Isoprenaline': 1, 'Cefditoren': 1, 'Cefuroxime': 1, 'Sparfloxacin': 1, 'Clarithromycin': 1, 'Aminophylline': 1, 'Arformoterol': 1, 'Oxtriphylline': 1, 'Bambuterol': 1, 'Ceftibuten': 1, 'Sulfamerazine': 1, 'Sulfamethazine': 1, 'Pivampicillin': 1, 'Roflumilast': 1, 'Indacaterol': 1, 'Aclidinium': 1, 'Fluticasone furoate': 1, 'Olodaterol': 1, 'Vilanterol': 1, 'Pentoxyverine': 1, 'Etafedrine': 1, 'Terpin hydrate': 1, 'Idoxuridine': 2, 'Medrysone': 2, 'Sulfisoxazole': 2, 'Triprolidine': 2, 'Trifluridine': 2, 'Cyproheptadine': 2, 'Chloramphenicol': 2, 'Sulfacetamide': 2, 'Prednisone': 2, 'Astemizole': 2, 'Carbinoxamine': 2, 'Epinastine': 2, 'Olopatadine': 2, 'Natamycin': 2, 'Hydroxypropyl cellulose': 2, 'Loteprednol': 2, 'Pemirolast': 2, 'Ketotifen': 2, 'Azelastine': 2, 'Cromoglicic acid': 2, 'Emedastine': 2, 'Levocabastine': 2, 'Levofloxacin': 2, 'Bepotastine': 2, 'Alcaftadine': 2, 'Besifloxacin': 2, 'Lodoxamide': 2, 'Antazoline': 2, 'Chloropyramine': 2, 'Spaglumic Acid': 2, 'Dexchlorpheniramine maleate': 2, 'Dermatophagoides farinae': 2, 'Dermatophagoides pteronyssinus': 2, 'Rose bengal': 2, 'Lifitegrast': 2, 'Acetyl sulfisoxazole': 2, 'Cantharidin': 1, 'Telavancin': 1, 'Terconazole': 2, 'Clotrimazole': 2, 'Anidulafungin': 2, 'Caspofungin': 2, 'Voriconazole': 2, 'Butoconazole': 2, 'Tioconazole': 2, 'Ketoconazole': 2, 'Miconazole': 2, 'Econazole': 2, 'Micafungin': 2, 'Posaconazole': 2, 'Dequalinium': 2}"
3,10,"{'J30', 'J42', 'L30', 'J20'}","{'Cyproheptadine': 1, 'Carbinoxamine': 1, 'Pseudoephedrine': 1, 'Moxifloxacin': 1, 'Theophylline': 1, 'Ipratropium': 1, 'Clomocycline': 1, 'Dyphylline': 1, 'Sulfametopyrazine': 1, 'Cefixime': 3, 'Orciprenaline': 1, 'Methacycline': 1, 'Dirithromycin': 3, 'Lomefloxacin': 1, 'Salbutamol': 1, 'Isoprenaline': 1, 'Cefditoren': 1, 'Sparfloxacin': 1, 'Clarithromycin': 1, 'Aminophylline': 1, 'Arformoterol': 1, 'Ceftibuten': 1, 'Pivampicillin': 3, 'Roflumilast': 1, 'Indacaterol': 1, 'Aclidinium': 1, 'Fluticasone furoate': 1, 'Olodaterol': 1, 'Vilanterol': 1, 'Etafedrine': 3, 'Terpin hydrate': 1, 'Dapsone': 1, 'Pimecrolimus': 1, 'Bentoquatam': 1, 'Prednisone': 1, 'Flumethasone': 1, 'Tacrolimus': 1, 'Sulfapyridine': 1, 'Selenium Sulfide': 1, 'Doxepin': 1, 'Sulfoxone': 1, 'Chloroxine': 1, 'Crisaborole': 1, 'Pyrithione': 1, 'Tranilast': 1, 'Zinc oxide': 1, 'Sulfur': 1, 'Tannic acid': 1, 'Resorcinol': 1, 'Lanolin': 1, 'Peppermint oil': 1, 'Clobetasone': 1, 'Aloe Polysaccharide': 1, 'Telithromycin': 2}"
4,12,"{'D69', 'D70'}","{'Immune Globulin Human': 1, 'Prednisone': 1, 'Lenograstim': 2}"
5,13,"{'E61', 'G00', 'J01'}","{'Magnesium sulfate': 1, 'Iron Dextran': 1, 'Ferumoxytol': 1, 'Cupric sulfate': 1, 'Ferric Carboxymaltose': 1, 'Iron saccharate': 1, 'Magnesium acetate tetrahydrate': 1, 'Sodium ferric gluconate complex': 1, 'Ferrous sulfate': 1, 'Magnesium gluconate': 1, 'Ferric pyrophosphate citrate': 1, 'Meropenem': 1, 'Ciprofloxacin': 2, 'Telithromycin': 2, 'Clarithromycin': 1}"
6,15_73,"{'E14', 'E10'}","{'Insulin Human': 1, 'Insulin Lispro': 1, 'Insulin Glargine': 1, 'Insulin Pork': 1, 'Ramipril': 1, 'Glimepiride': 1, 'Rosiglitazone': 1, 'Acetohexamide': 1, 'Miglitol': 3, 'Fosinopril': 1, 'Trandolapril': 1, 'Inulin': 1, 'Lisinopril': 1, 'Nateglinide': 1, 'Mifepristone': 1, 'Tolazamide': 1, 'Quinapril': 1, 'Repaglinide': 1, 'Phenformin': 1, 'Telmisartan': 1, 'Glipizide': 3, 'Tolbutamide': 3, 'Pioglitazone': 1, 'Gliquidone': 1, 'Sitagliptin': 1, 'Exenatide': 1, 'Pramlintide': 1, 'Insulin Aspart': 1, 'Insulin Detemir': 1, 'Insulin Glulisine': 1, 'Glycodiazine': 1, 'Bezafibrate': 1, 'Vildagliptin': 1, 'Alogliptin': 1, 'Dapagliflozin': 1, 'Saxagliptin': 1, 'Liraglutide': 1, 'Acetylcarnitine': 1, 'Linagliptin': 1, 'Canagliflozin': 1, 'Albiglutide': 1, 'Dulaglutide': 1, 'Insulin Degludec': 1, 'Ertugliflozin': 1, 'Semaglutide': 1}"
7,18,"{'E66', 'F17'}","{'Amphetamine': 2, 'Phentermine': 2, 'Topiramate': 2, 'Phenylpropanolamine': 2, 'Fenfluramine': 2, 'Mazindol': 2, 'Phenmetrazine': 2, 'Benzphetamine': 2, 'Diethylpropion': 2, 'Orlistat': 2, 'Sibutramine': 2, 'Dexfenfluramine': 2, 'Fenproporex': 2, 'Methamphetamine': 2, 'Phendimetrazine': 2, 'Pantothenic acid': 2, 'Lorcaserin': 2, 'Omega-3-carboxylic acids': 2, 'Pipradrol': 2, 'Ertugliflozin': 2, 'Semaglutide': 2, 'Ziprasidone': 1, 'Olanzapine': 1, 'Loxapine': 1, 'Prochlorperazine': 1, 'Fluphenazine': 1, 'Perphenazine': 1, 'Quetiapine': 1, 'Aripiprazole': 1, 'Chlorprothixene': 1, 'Molindone': 1, 'Aripiprazole lauroxil': 1}"
8,20,"{'E88', 'J96'}","{'D-glucose': 1, 'Glucose': 1, 'Nitric Oxide': 1}"
9,21,"{'K02', 'F41'}","{'Chlorhexidine': 2, 'Calcium glycerophosphate': 2, 'Silver': 2, 'Lorazepam': 1, 'Butabarbital': 1, 'Meprobamate': 1, 'Chlordiazepoxide': 1, 'Buspirone': 1, 'Clorazepate': 1, 'Halazepam': 1, 'Diazepam': 1, 'Trifluoperazine': 1, 'Oxazepam': 1, 'Desipramine': 1, 'Clotiazepam': 1, 'Fludiazepam': 1, 'Prazepam': 1, 'Cinolazepam': 1}"
