,Disease A,Disease B,Epidemiological network,Genetic network,Shared drugs
0,F13,F15,False,False,"{'Molindone', 'Quetiapine', 'Prochlorperazine', 'Olanzapine', 'Perphenazine', 'Fluphenazine', 'Aripiprazole', 'Chlorprothixene', 'Aripiprazole lauroxil', 'Loxapine', 'Ziprasidone'}"
1,F14,F15,False,False,"{'Molindone', 'Quetiapine', 'Prochlorperazine', 'Olanzapine', 'Perphenazine', 'Fluphenazine', 'Aripiprazole', 'Chlorprothixene', 'Aripiprazole lauroxil', 'Loxapine', 'Ziprasidone'}"
2,F10,F12,False,False,"{'Molindone', 'Quetiapine', 'Prochlorperazine', 'Olanzapine', 'Perphenazine', 'Fluphenazine', 'Aripiprazole', 'Chlorprothixene', 'Aripiprazole lauroxil', 'Loxapine', 'Ziprasidone'}"
3,F17,F20,False,False,"{'Quetiapine', 'Olanzapine', 'Aripiprazole', 'Chlorprothixene', 'Aripiprazole lauroxil', 'Loxapine', 'Ziprasidone'}"
4,F10,F17,False,False,"{'Molindone', 'Quetiapine', 'Prochlorperazine', 'Olanzapine', 'Perphenazine', 'Fluphenazine', 'Aripiprazole', 'Chlorprothixene', 'Aripiprazole lauroxil', 'Loxapine', 'Ziprasidone'}"
5,K25,K26,False,False,"{'Sucralfate', 'Omeprazole', 'Homatropine Methylbromide', 'Nizatidine', 'Roxatidine acetate', 'Pirenzepine'}"
6,F15,F11,False,False,"{'Molindone', 'Quetiapine', 'Prochlorperazine', 'Olanzapine', 'Perphenazine', 'Fluphenazine', 'Aripiprazole', 'Chlorprothixene', 'Aripiprazole lauroxil', 'Loxapine', 'Ziprasidone'}"
7,F14,F11,False,False,"{'Molindone', 'Quetiapine', 'Prochlorperazine', 'Olanzapine', 'Perphenazine', 'Fluphenazine', 'Aripiprazole', 'Chlorprothixene', 'Aripiprazole lauroxil', 'Loxapine', 'Ziprasidone'}"
8,I63,I64,False,False,{'Dabigatran etexilate'}
9,J42,J20,False,False,"{'Dirithromycin', 'Etafedrine', 'Cefixime', 'Pivampicillin'}"
