,ICD,Drug,FDR (molecular overlap),Reported indication,Disease Name,PubMed_query_name
0,A01,Etanercept,0.008650389044295971,False,"typhoid and paratyphoid fevers;typhoid fever;paratyphoid fever a;paratyphoid fever b;paratyphoid fever c;paratyphoid fever, unspecified",typhoid and paratyphoid fevers
1,A02,Ustekinumab,0.019743686428985566,False,"other salmonella infections;salmonella gastro-enteritis;salmonella septicaemia;localised salmonella infections;other specified salmonella infections;salmonella infection, unspecified",salmonella infections
2,A02,Tildrakizumab,0.03368777239220022,False,"other salmonella infections;salmonella gastro-enteritis;salmonella septicaemia;localised salmonella infections;other specified salmonella infections;salmonella infection, unspecified",salmonella infections
3,A05,Botulinum Toxin Type B,3.3819264920098907e-07,False,"other bacterial foodborne intoxications;foodborne staphylococcal intoxication;botulism;foodborne clostridium perfringens [clostridium welchii] intoxication;foodborne vibrio parahaemolyticus intoxication;foodborne bacillus cereus intoxication;other specified bacterial foodborne intoxications;bacterial foodborne intoxication, unspecified",bacterial foodborne intoxications
4,A15,Cisplatin,0.03624991492224835,False,"respiratory tuberculosis, bacteriologically and histologically confirmed;tuberculosis of lung, confirmed by sputum microscopy with or without culture;tuberculosis of lung, confirmed by culture only;tuberculosis of lung, confirmed histologically;tuberculosis of lung, confirmed by unspecified means;tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically;tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically;tuberculous pleurisy, confirmed bacteriologically and histologically;primary respiratory tuberculosis, confirmed bacteriologically and histologically;other respiratory tuberculosis, confirmed bacteriologically and histologically;respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","respiratory tuberculosis, bacteriologically and histologically confirmed"
5,A15,Lapatinib,0.0012244932105268818,False,"respiratory tuberculosis, bacteriologically and histologically confirmed;tuberculosis of lung, confirmed by sputum microscopy with or without culture;tuberculosis of lung, confirmed by culture only;tuberculosis of lung, confirmed histologically;tuberculosis of lung, confirmed by unspecified means;tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically;tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically;tuberculous pleurisy, confirmed bacteriologically and histologically;primary respiratory tuberculosis, confirmed bacteriologically and histologically;other respiratory tuberculosis, confirmed bacteriologically and histologically;respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","respiratory tuberculosis, bacteriologically and histologically confirmed"
6,A15,Cholesterol,0.037750599332620045,False,"respiratory tuberculosis, bacteriologically and histologically confirmed;tuberculosis of lung, confirmed by sputum microscopy with or without culture;tuberculosis of lung, confirmed by culture only;tuberculosis of lung, confirmed histologically;tuberculosis of lung, confirmed by unspecified means;tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically;tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically;tuberculous pleurisy, confirmed bacteriologically and histologically;primary respiratory tuberculosis, confirmed bacteriologically and histologically;other respiratory tuberculosis, confirmed bacteriologically and histologically;respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","respiratory tuberculosis, bacteriologically and histologically confirmed"
7,A15,Rilonacept,0.010961686330586945,False,"respiratory tuberculosis, bacteriologically and histologically confirmed;tuberculosis of lung, confirmed by sputum microscopy with or without culture;tuberculosis of lung, confirmed by culture only;tuberculosis of lung, confirmed histologically;tuberculosis of lung, confirmed by unspecified means;tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically;tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically;tuberculous pleurisy, confirmed bacteriologically and histologically;primary respiratory tuberculosis, confirmed bacteriologically and histologically;other respiratory tuberculosis, confirmed bacteriologically and histologically;respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","respiratory tuberculosis, bacteriologically and histologically confirmed"
8,A15,Pomalidomide,0.037750599332620045,False,"respiratory tuberculosis, bacteriologically and histologically confirmed;tuberculosis of lung, confirmed by sputum microscopy with or without culture;tuberculosis of lung, confirmed by culture only;tuberculosis of lung, confirmed histologically;tuberculosis of lung, confirmed by unspecified means;tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically;tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically;tuberculous pleurisy, confirmed bacteriologically and histologically;primary respiratory tuberculosis, confirmed bacteriologically and histologically;other respiratory tuberculosis, confirmed bacteriologically and histologically;respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","respiratory tuberculosis, bacteriologically and histologically confirmed"
9,A15,Afatinib,0.027743569496896697,False,"respiratory tuberculosis, bacteriologically and histologically confirmed;tuberculosis of lung, confirmed by sputum microscopy with or without culture;tuberculosis of lung, confirmed by culture only;tuberculosis of lung, confirmed histologically;tuberculosis of lung, confirmed by unspecified means;tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically;tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically;tuberculous pleurisy, confirmed bacteriologically and histologically;primary respiratory tuberculosis, confirmed bacteriologically and histologically;other respiratory tuberculosis, confirmed bacteriologically and histologically;respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","respiratory tuberculosis, bacteriologically and histologically confirmed"
