,Unnamed: 0,ICD,Drug,FDR (molecular overlap),Reported indication,Disease Name,PubMed_query_name,PubMed count
0,0,A01,Etanercept,0.0086503890442959,False,"typhoid and paratyphoid fevers;typhoid fever;paratyphoid fever a;paratyphoid fever b;paratyphoid fever c;paratyphoid fever, unspecified",typhoid and paratyphoid fevers,3.0
1,1,A02,Ustekinumab,0.0197436864289855,False,"other salmonella infections;salmonella gastro-enteritis;salmonella septicaemia;localised salmonella infections;other specified salmonella infections;salmonella infection, unspecified",salmonella infections,0.0
2,2,A02,Tildrakizumab,0.0336877723922002,False,"other salmonella infections;salmonella gastro-enteritis;salmonella septicaemia;localised salmonella infections;other specified salmonella infections;salmonella infection, unspecified",salmonella infections,0.0
3,3,A05,Botulinum Toxin Type B,3.381926492009891e-07,False,"other bacterial foodborne intoxications;foodborne staphylococcal intoxication;botulism;foodborne clostridium perfringens [clostridium welchii] intoxication;foodborne vibrio parahaemolyticus intoxication;foodborne bacillus cereus intoxication;other specified bacterial foodborne intoxications;bacterial foodborne intoxication, unspecified",bacterial foodborne intoxications,0.0
4,4,A15,Cisplatin,0.0362499149222483,False,"respiratory tuberculosis, bacteriologically and histologically confirmed;tuberculosis of lung, confirmed by sputum microscopy with or without culture;tuberculosis of lung, confirmed by culture only;tuberculosis of lung, confirmed histologically;tuberculosis of lung, confirmed by unspecified means;tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically;tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically;tuberculous pleurisy, confirmed bacteriologically and histologically;primary respiratory tuberculosis, confirmed bacteriologically and histologically;other respiratory tuberculosis, confirmed bacteriologically and histologically;respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","respiratory tuberculosis, bacteriologically and histologically confirmed",1066.0
5,5,A15,Lapatinib,0.0012244932105268,False,"respiratory tuberculosis, bacteriologically and histologically confirmed;tuberculosis of lung, confirmed by sputum microscopy with or without culture;tuberculosis of lung, confirmed by culture only;tuberculosis of lung, confirmed histologically;tuberculosis of lung, confirmed by unspecified means;tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically;tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically;tuberculous pleurisy, confirmed bacteriologically and histologically;primary respiratory tuberculosis, confirmed bacteriologically and histologically;other respiratory tuberculosis, confirmed bacteriologically and histologically;respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","respiratory tuberculosis, bacteriologically and histologically confirmed",7.0
6,6,A15,Cholesterol,0.03775059933262,False,"respiratory tuberculosis, bacteriologically and histologically confirmed;tuberculosis of lung, confirmed by sputum microscopy with or without culture;tuberculosis of lung, confirmed by culture only;tuberculosis of lung, confirmed histologically;tuberculosis of lung, confirmed by unspecified means;tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically;tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically;tuberculous pleurisy, confirmed bacteriologically and histologically;primary respiratory tuberculosis, confirmed bacteriologically and histologically;other respiratory tuberculosis, confirmed bacteriologically and histologically;respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","respiratory tuberculosis, bacteriologically and histologically confirmed",704.0
7,7,A15,Rilonacept,0.0109616863305869,False,"respiratory tuberculosis, bacteriologically and histologically confirmed;tuberculosis of lung, confirmed by sputum microscopy with or without culture;tuberculosis of lung, confirmed by culture only;tuberculosis of lung, confirmed histologically;tuberculosis of lung, confirmed by unspecified means;tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically;tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically;tuberculous pleurisy, confirmed bacteriologically and histologically;primary respiratory tuberculosis, confirmed bacteriologically and histologically;other respiratory tuberculosis, confirmed bacteriologically and histologically;respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","respiratory tuberculosis, bacteriologically and histologically confirmed",0.0
8,8,A15,Pomalidomide,0.03775059933262,False,"respiratory tuberculosis, bacteriologically and histologically confirmed;tuberculosis of lung, confirmed by sputum microscopy with or without culture;tuberculosis of lung, confirmed by culture only;tuberculosis of lung, confirmed histologically;tuberculosis of lung, confirmed by unspecified means;tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically;tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically;tuberculous pleurisy, confirmed bacteriologically and histologically;primary respiratory tuberculosis, confirmed bacteriologically and histologically;other respiratory tuberculosis, confirmed bacteriologically and histologically;respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","respiratory tuberculosis, bacteriologically and histologically confirmed",2.0
9,9,A15,Afatinib,0.0277435694968966,False,"respiratory tuberculosis, bacteriologically and histologically confirmed;tuberculosis of lung, confirmed by sputum microscopy with or without culture;tuberculosis of lung, confirmed by culture only;tuberculosis of lung, confirmed histologically;tuberculosis of lung, confirmed by unspecified means;tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically;tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically;tuberculous pleurisy, confirmed bacteriologically and histologically;primary respiratory tuberculosis, confirmed bacteriologically and histologically;other respiratory tuberculosis, confirmed bacteriologically and histologically;respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","respiratory tuberculosis, bacteriologically and histologically confirmed",14.0
