Drug,ICD,PubMed_query_name,FDR (molecular overlap),Reported indication,PubMed count,% Male Trajectories,% Female Trajectories
Etanercept,A01,typhoid and paratyphoid fevers,0.0086503890442959,False,3.0,0.0,0.0
Ustekinumab,A02,salmonella infections,0.0197436864289855,False,0.0,0.0,0.0
Tildrakizumab,A02,salmonella infections,0.0336877723922002,False,0.0,0.0,0.0
Botulinum Toxin Type B,A05,bacterial foodborne intoxications,3.381926492009891e-07,False,0.0,0.0,0.0
Cisplatin,A15,"respiratory tuberculosis, bacteriologically and histologically confirmed",0.0362499149222483,False,1066.0,0.0,0.0
Lapatinib,A15,"respiratory tuberculosis, bacteriologically and histologically confirmed",0.0012244932105268,False,7.0,0.0,0.0
Cholesterol,A15,"respiratory tuberculosis, bacteriologically and histologically confirmed",0.03775059933262,False,704.0,0.0,0.0
Rilonacept,A15,"respiratory tuberculosis, bacteriologically and histologically confirmed",0.0109616863305869,False,0.0,0.0,0.0
Pomalidomide,A15,"respiratory tuberculosis, bacteriologically and histologically confirmed",0.03775059933262,False,2.0,0.0,0.0
Afatinib,A15,"respiratory tuberculosis, bacteriologically and histologically confirmed",0.0277435694968966,False,14.0,0.0,0.0
Osimertinib,A15,"respiratory tuberculosis, bacteriologically and histologically confirmed",0.0277435694968966,False,21.0,0.0,0.0
Foreskin keratinocyte (neonatal),A15,"respiratory tuberculosis, bacteriologically and histologically confirmed",0.0035746793275313,False,0.0,0.0,0.0
Curcumin,A15,"respiratory tuberculosis, bacteriologically and histologically confirmed",0.004393989953519,False,96.0,0.0,0.0
Mifamurtide,A15,"respiratory tuberculosis, bacteriologically and histologically confirmed",0.0046024920756659,False,3.0,0.0,0.0
Flunisolide,A17,tuberculosis of nervous system,0.0458502670625731,False,0.0,0.0,0.0
Diflorasone,A17,tuberculosis of nervous system,0.0197436864289855,False,0.0,0.0,0.0
Alclometasone,A17,tuberculosis of nervous system,0.0336877723922002,False,0.0,0.0,0.0
Medrysone,A17,tuberculosis of nervous system,0.0336877723922002,False,0.0,0.0,0.0
Amcinonide,A17,tuberculosis of nervous system,0.0336877723922002,False,0.0,0.0,0.0
Fluorometholone,A17,tuberculosis of nervous system,0.0458502670625731,False,0.0,0.0,0.0
Megestrol acetate,A17,tuberculosis of nervous system,0.0458502670625731,False,0.0,0.0,0.0
Beclomethasone dipropionate,A17,tuberculosis of nervous system,0.0458502670625731,False,0.0,0.0,0.0
Desoximetasone,A17,tuberculosis of nervous system,0.0197436864289855,False,0.0,0.0,0.0
Fluocinolone Acetonide,A17,tuberculosis of nervous system,0.0458502670625731,False,0.0,0.0,0.0
Ulobetasol,A17,tuberculosis of nervous system,0.0336877723922002,False,0.0,0.0,0.0
Flumethasone,A17,tuberculosis of nervous system,0.0336877723922002,False,0.0,0.0,0.0
Fludrocortisone,A17,tuberculosis of nervous system,0.0458502670625731,False,4.0,0.0,0.0
Mometasone,A17,tuberculosis of nervous system,0.0458502670625731,False,0.0,0.0,0.0
Hydrocortamate,A17,tuberculosis of nervous system,0.0336877723922002,False,0.0,0.0,0.0
Clocortolone,A17,tuberculosis of nervous system,0.0197436864289855,False,0.0,0.0,0.0
Flurandrenolide,A17,tuberculosis of nervous system,0.0336877723922002,False,0.0,0.0,0.0
Loteprednol,A17,tuberculosis of nervous system,0.0197436864289855,False,0.0,0.0,0.0
Rimexolone,A17,tuberculosis of nervous system,0.0336877723922002,False,0.0,0.0,0.0
Methylprednisolone,A17,tuberculosis of nervous system,0.0458502670625731,False,31.0,0.0,0.0
