	ICD	Disease Name	Source
0	B59	Pneumocystis jiroveci pneumonia	DisGeNET
1	C77	Secondary malignant neoplasm of lymph node	DisGeNET
2	B03	Smallpox	DisGeNET
3	I40	Acute myocarditis	DisGeNET
4	D57	Anemia, Sickle Cell	DisGeNET
5	G43	Migraine Disorders	DisGeNET
6	C81	Hodgkin Disease	DisGeNET
7	C65	Malignant tumor of renal pelvis	DisGeNET
8	N10	Acute interstitial nephritis	DisGeNET
9	J62	Silicosis	DisGeNET
10	F99	Mental disorders	DisGeNET
11	N19	Kidney Failure	DisGeNET
12	N80	Endometriosis	DisGeNET
13	J13	Streptococcal pneumonia	DisGeNET
14	A20	Plague	DisGeNET
15	L64	Androgenetic Alopecia	DisGeNET
16	I81	Portal Vein Thrombosis	DisGeNET
17	B16	Acute type B viral hepatitis	DisGeNET
18	K70	Alcoholic Liver Diseases	DisGeNET
19	B47	Mycetoma	DisGeNET
20	E60	Dietary zinc deficiency	DisGeNET
21	G30	Alzheimer's Disease	DisGeNET
22	C62	Malignant neoplasm of testis	DisGeNET
23	L80	Vitiligo	DisGeNET
24	A82	Rabies (disorder)	DisGeNET
25	F89	Disorder of psychological development	DisGeNET
26	C71	Malignant neoplasm of brain	DisGeNET
27	D05	Stage 0 Breast Carcinoma	DisGeNET
28	I95	Hypotension	DisGeNET
29	A80	Poliomyelitis	DisGeNET
30	L29	Pruritus	DisGeNET
31	L52	Erythema Nodosum	DisGeNET
32	B42	Sporotrichosis	DisGeNET
33	F33	Recurrent depressive disorder	DisGeNET
34	K50	Crohn Disease	DisGeNET
35	A55	Lymphogranuloma Venereum	DisGeNET
36	J02	Acute pharyngitis	DisGeNET
37	K37	Appendicitis	DisGeNET
38	E14	Diabetes Mellitus	DisGeNET
39	M10	Gout	DisGeNET
40	F20	Schizophrenia	DisGeNET
41	L10	Pemphigus	DisGeNET
42	E55	Vitamin D Deficiency	DisGeNET
43	L24	Dermatitis, Irritant	DisGeNET
44	J81	Pulmonary Edema	DisGeNET
45	H34	Retinal vascular occlusion	DisGeNET
46	K65	Peritonitis	DisGeNET
47	K85	Acute pancreatitis	DisGeNET
48	B57	Chagas Disease	DisGeNET
49	B58	Toxoplasmosis	DisGeNET
50	G24	Dystonia Disorders	DisGeNET
51	K43	Ventral Hernia	DisGeNET
52	M16	Osteoarthritis of hip	DisGeNET
53	M34	Systemic Scleroderma	DisGeNET
54	E52	Niacin deficiency	DisGeNET
55	F03	Dementia	DisGeNET
56	C93	Monocytic leukemia	DisGeNET
57	B38	Coccidioidomycosis	DisGeNET
58	B68	Teniasis	DisGeNET
59	H30	Chorioretinitis	DisGeNET
60	D06	Carcinoma in situ of uterine cervix	DisGeNET
61	D65	Disseminated Intravascular Coagulation	DisGeNET
62	J93	Pneumothorax	DisGeNET
63	K35	Acute appendicitis NOS (disorder)	DisGeNET
64	M47	Spondylosis	DisGeNET
65	J46	Status Asthmaticus	DisGeNET
66	L03	Cellulitis	DisGeNET
67	E50	Vitamin A Deficiency	DisGeNET
68	G90	Autonomic nervous system disorders	DisGeNET
69	L89	Pressure Ulcer	DisGeNET
70	B69	Cysticercosis	DisGeNET
71	B39	Histoplasmosis	DisGeNET
72	D34	Benign neoplasm of thyroid gland	DisGeNET
73	B26	Mumps	DisGeNET
74	A21	Tularemia	DisGeNET
75	M86	Osteomyelitis	DisGeNET
76	A64	Sexually Transmitted Diseases	DisGeNET
77	D59	Anemia, Hemolytic, Acquired	DisGeNET
78	B30	Viral Conjunctivitis	DisGeNET
79	F43	Reaction to severe stress, and adjustment disorders	DisGeNET
80	A43	Nocardia Infections	DisGeNET
81	C08	Malignant neoplasm of other major salivary glands	DisGeNET
82	F51	Non-organic sleep disorder	DisGeNET
83	J21	Acute bronchiolitis	DisGeNET
84	J36	Peritonsillar Abscess	DisGeNET
85	K20	Esophagitis	DisGeNET
86	C25	Malignant neoplasm of pancreas	DisGeNET
87	H55	Nystagmus and other irregular eye movements	DisGeNET
88	N35	Urethral stricture	DisGeNET
89	M88	Osteitis Deformans	DisGeNET
90	N45	Epididymo-orchitis	DisGeNET
91	L43	Lichen Planus	DisGeNET
92	E28	Disorder of endocrine ovary	DisGeNET
93	G50	Trigeminal Nerve Disorder	DisGeNET
94	K30	Dyspepsia	DisGeNET
95	C00	Cancer of Lip	DisGeNET
96	D86	Sarcoidosis	DisGeNET
97	M00	Arthritis, Infectious	DisGeNET
98	A65	Non-venereal endemic syphilis	DisGeNET
99	A32	Listeriosis	DisGeNET
100	M08	Juvenile arthritis	DisGeNET
101	K27	Peptic Ulcer	DisGeNET
102	F30	Manic episode	DisGeNET
103	D67	Hemophilia B	DisGeNET
104	L93	Lupus Erythematosus	DisGeNET
105	E40	Kwashiorkor	DisGeNET
106	E06	Thyroiditis	DisGeNET
107	I13	Hypertensive heart and renal disease	DisGeNET
108	N11	Chronic interstitial nephritis	DisGeNET
109	L40	Psoriasis	DisGeNET
110	L90	Atrophic condition of skin	DisGeNET
111	F32	Depressive episode, unspecified	DisGeNET
112	C67	Malignant neoplasm of urinary bladder	DisGeNET
113	F42	Obsessive-Compulsive Disorder	DisGeNET
114	A57	Chancroids	DisGeNET
115	G10	Huntington Disease	DisGeNET
116	B18	Chronic viral hepatitis	DisGeNET
117	A24	Glanders and melioidosis	DisGeNET
118	J03	Acute tonsillitis	DisGeNET
119	L91	Hypertrophic disorder of skin, unspecified	DisGeNET
120	N18	Kidney Failure, Chronic	DisGeNET
121	N41	prostatitis	DisGeNET
122	E11	Diabetes Mellitus, Non-Insulin-Dependent	DisGeNET
123	G81	Hemiplegia	DisGeNET
124	E84	Cystic Fibrosis	DisGeNET
125	A90	Dengue Fever	DisGeNET
126	M17	Arthritis of knee	DisGeNET
127	G51	Facial Nerve Diseases	DisGeNET
128	F71	Moderate intellectual disability	DisGeNET
129	A70	Chlamydia psittaci infection	DisGeNET
130	D73	Splenic Diseases	DisGeNET
131	K58	Irritable Bowel Syndrome	DisGeNET
132	H81	Vestibular Diseases	DisGeNET
133	A84	Tick-Borne Encephalitis	DisGeNET
134	B49	Mycoses	DisGeNET
135	C17	Malignant tumor of small intestine	DisGeNET
136	E59	Dietary selenium deficiency	DisGeNET
137	F73	Profound Mental Retardation	DisGeNET
138	I15	Secondary hypertension	DisGeNET
139	B40	Blastomycosis	DisGeNET
140	A89	Central Nervous System Viral Diseases	DisGeNET
141	I11	Hypertensive heart disease	DisGeNET
142	L88	Pyoderma Gangrenosum	DisGeNET
143	I25	Chronic myocardial ischemia	DisGeNET
144	A37	Whooping cough due to unspecified organism	DisGeNET
145	D70	Agranulocytosis	DisGeNET
146	L82	Seborrheic keratosis	DisGeNET
147	K41	Hernia, Femoral	DisGeNET
148	C43	Cutaneous Melanoma	DisGeNET
149	K40	Hernia, Inguinal	DisGeNET
150	F70	Mild Mental Retardation	DisGeNET
151	N25	Renal tubular disorder	DisGeNET
152	L00	Staphylococcal Scalded Skin Syndrome	DisGeNET
153	M32	Lupus Erythematosus, Systemic	DisGeNET
154	E51	Thiamine Deficiency	DisGeNET
155	F00	Dementia due to Alzheimer's disease (disorder)	DisGeNET
156	I80	Phlebitis and thrombophlebitis	DisGeNET
157	K81	Cholecystitis	DisGeNET
158	D45	Polycythemia Vera	DisGeNET
159	K26	Duodenal Ulcer	DisGeNET
160	E46	Protein-Energy Malnutrition	DisGeNET
161	J64	Pneumoconiosis	DisGeNET
162	D22	Melanocytic nevus	DisGeNET
163	C09	Malignant neoplasm tonsil	DisGeNET
164	A78	Q Fever	DisGeNET
165	G91	Hydrocephalus	DisGeNET
166	F79	Mental Retardation	DisGeNET
167	H72	Tympanic Membrane Perforation	DisGeNET
168	A06	Amebiasis	DisGeNET
169	B80	Enterobiasis	DisGeNET
170	L51	Erythema Multiforme	DisGeNET
171	D50	Iron deficiency anemia	DisGeNET
172	D62	Acute posthaemorrhagic anaemia	DisGeNET
173	A46	Erysipelas	DisGeNET
174	H33	Rhegmatogenous retinal detachment	DisGeNET
175	A36	Diphtheria	DisGeNET
176	E26	Hyperaldosteronism	DisGeNET
177	M80	Osteoporotic Fractures	DisGeNET
178	I60	Subarachnoid Hemorrhage	DisGeNET
179	C60	Malignant neoplasm of penis	DisGeNET
180	B45	Infection by Cryptococcus neoformans	DisGeNET
181	C55	Uterine Cancer	DisGeNET
182	D52	Megaloblastic anemia due to folate deficiency	DisGeNET
183	K44	Diaphragmatic Hernia	DisGeNET
184	N03	Chronic nephritic syndrome	DisGeNET
185	C45	Mesothelioma	DisGeNET
186	H80	Otosclerosis	DisGeNET
187	I61	Cerebral Hemorrhage	DisGeNET
188	N05	Nephritic syndrome	DisGeNET
189	I42	Cardiomyopathies	DisGeNET
190	D24	Benign neoplasm of breast	DisGeNET
191	E41	Marasmus	DisGeNET
192	L21	Seborrheic dermatitis	DisGeNET
193	A39	Meningococcal Infections	DisGeNET
194	B06	Rubella	DisGeNET
195	C32	Malignant neoplasm of larynx	DisGeNET
196	C50	Malignant neoplasm of breast	DisGeNET
197	D56	Thalassemia	DisGeNET
198	A00	Cholera	DisGeNET
199	B24	HIV Infections	DisGeNET
200	H44	Disorder of eye	DisGeNET
201	C61	Malignant neoplasm of prostate	DisGeNET
202	H60	Otitis Externa	DisGeNET
203	K74	Hepatic fibrosis and cirrhosis	DisGeNET
204	L26	Exfoliative dermatitis	DisGeNET
205	K25	Gastric ulcer	DisGeNET
206	B75	Trichinellosis	DisGeNET
207	D66	Hemophilia A	DisGeNET
208	B76	Hookworm Infections	DisGeNET
209	C07	Malignant tumour of parotid gland	DisGeNET
210	C10	Malignant neoplasm of oropharynx	DisGeNET
211	M83	Adult osteomalacia, unspecified	DisGeNET
212	G44	Other headache syndrome	DisGeNET
213	J00	Common Cold	DisGeNET
214	J43	Pulmonary Emphysema	DisGeNET
215	C13	Hypopharyngeal Cancer	DisGeNET
216	E66	Obesity	DisGeNET
217	M45	Ankylosing spondylitis	DisGeNET
218	A87	Viral meningitis	DisGeNET
219	F39	Mood Disorders	DisGeNET
220	N44	Spermatic Cord Torsion	DisGeNET
221	N61	Inflammatory disorder of breast	DisGeNET
222	B37	Candidiasis	DisGeNET
223	F64	Psychosexual identity disorder	DisGeNET
224	B78	Strongyloidiasis	DisGeNET
225	A91	Severe Dengue	DisGeNET
226	B64	Protozoan Infections	DisGeNET
227	J86	Empyema, Pleural	DisGeNET
228	H05	orbit (eye disorders)	DisGeNET
229	G20	Parkinson Disease	DisGeNET
230	K80	Cholelithiasis	DisGeNET
231	F59	Behavioral syndrome associated with physiological disturbance and physical factors	DisGeNET
232	B77	Ascariasis	DisGeNET
233	G41	Status Epilepticus	DisGeNET
