ICD	Disease Name	Consensus Name	PubMed_query_name
A00	"cholera;cholera due to vibrio cholerae 01, biovar cholerae;cholera due to vibrio cholerae 01, biovar el tor;cholera, unspecified"	cholera	cholera
A01	"typhoid and paratyphoid fevers;typhoid fever;paratyphoid fever a;paratyphoid fever b;paratyphoid fever c;paratyphoid fever, unspecified"	typhoid and paratyphoid fevers	typhoid and paratyphoid fevers
A02	"other salmonella infections;salmonella gastro-enteritis;salmonella septicaemia;localised salmonella infections;other specified salmonella infections;salmonella infection, unspecified"	salmonella infections	salmonella infections
A03	"shigellosis;shigellosis due to shigella dysenteriae;shigellosis due to shigella flexneri;shigellosis due to shigella boydii;shigellosis due to shigella sonnei;other shigellosis;shigellosis, unspecified"	shigellosis	shigellosis
A04	"other bacterial intestinal infections;enteropathogenic escherichia coli infection;enterotoxigenic escherichia coli infection;enteroinvasive escherichia coli infection;enterohaemorrhagic escherichia coli infection;other intestinal escherichia coli infections;campylobacter enteritis;enteritis due to yersinia enterocolitica;enterocolitis due to clostridium difficile;other specified bacterial intestinal infections;bacterial intestinal infection, unspecified"	bacterial intestinal infections	bacterial intestinal infections
A05	"other bacterial foodborne intoxications;foodborne staphylococcal intoxication;botulism;foodborne clostridium perfringens [clostridium welchii] intoxication;foodborne vibrio parahaemolyticus intoxication;foodborne bacillus cereus intoxication;other specified bacterial foodborne intoxications;bacterial foodborne intoxication, unspecified"	bacterial foodborne intoxications	bacterial foodborne intoxications
A06	"amoebiasis;acute amoebic dysentery;chronic intestinal amoebiasis;amoebic nondysenteric colitis;amoeboma of intestine;amoebic liver abscess;amoebic lung abscess;amoebic brain abscess;cutaneous amoebiasis;amoebic infection of other sites;amoebiasis, unspecified"	amoebiasis	amoebiasis
A07	"other protozoal intestinal diseases;balantidiasis;giardiasis [lambliasis];cryptosporidiosis;isosporiasis;other specified protozoal intestinal diseases;protozoal intestinal disease, unspecified"	protozoal intestinal diseases	protozoal intestinal diseases
A08	"viral and other specified intestinal infections;rotaviral enteritis;acute gastro-enteropathy due to norwalk agent;adenoviral enteritis;other viral enteritis;viral intestinal infection, unspecified;other specified intestinal infections"	viral and specified intestinal infections	viral and specified intestinal infections
A09	diarrhoea and gastro-enteritis of presumed infectious origin;other and unspecified gastroenteritis and colitis of infectious origin;gastroenteritis and colitis of unspecified origin	diarrhoea and gastro-enteritis of presumed infectious origin	diarrhoea and gastro-enteritis of presumed infectious origin
A15	"respiratory tuberculosis, bacteriologically and histologically confirmed;tuberculosis of lung, confirmed by sputum microscopy with or without culture;tuberculosis of lung, confirmed by culture only;tuberculosis of lung, confirmed histologically;tuberculosis of lung, confirmed by unspecified means;tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically;tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically;tuberculous pleurisy, confirmed bacteriologically and histologically;primary respiratory tuberculosis, confirmed bacteriologically and histologically;other respiratory tuberculosis, confirmed bacteriologically and histologically;respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"	"respiratory tuberculosis, bacteriologically and histologically confirmed"	"respiratory tuberculosis, bacteriologically and histologically confirmed"
A16	"respiratory tuberculosis, not confirmed bacteriologically or histologically;tuberculosis of lung, bacteriologically and histologically negative;tuberculosis of lung, bacteriological and histological examination not done;tuberculosis of lung, without mention of bacteriological or histological confirmation;tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation;tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation;tuberculous pleurisy, without mention of bacteriological or histological confirmation;primary respiratory tuberculosis without mention of bacteriological or histological confirmation;other respiratory tuberculosis, without mention of bacteriological or histological confirmation;respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"respiratory tuberculosis, not confirmed bacteriologically or histologically"	respiratory tuberculosis
A17	"tuberculosis of nervous system;tuberculous meningitis;meningeal tuberculoma;other tuberculosis of nervous system;tuberculosis of nervous system, unspecified"	tuberculosis of nervous system	tuberculosis of nervous system
A18	"tuberculosis of other organs;tuberculosis of bones and joints;tuberculosis of genito-urinary system;tuberculous peripheral lymphadenopathy;tuberculosis of intestines, peritoneum and mesenteric glands;tuberculosis of skin and subcutaneous tissue;tuberculosis of eye;tuberculosis of ear;tuberculosis of adrenal glands;tuberculosis of other specified organs"	tuberculosis of organs	tuberculosis of organs
A19	"miliary tuberculosis;acute miliary tuberculosis of a single specified site;acute miliary tuberculosis of multiple sites;acute miliary tuberculosis, unspecified;other miliary tuberculosis;miliary tuberculosis, unspecified"	miliary tuberculosis	miliary tuberculosis
A20	"plague;bubonic plague;cellulocutaneous plague;pneumonic plague;plague meningitis;septicaemic plague;other forms of plague;plague, unspecified"	plague	plague
A21	"tularaemia;ulceroglandular tularaemia;oculoglandular tularaemia;pulmonary tularaemia;gastro-intestinal tularaemia;generalised tularaemia;other forms of tularaemia;tularaemia, unspecified"	tularaemia	tularaemia
A22	"anthrax;cutaneous anthrax;pulmonary anthrax;gastro-intestinal anthrax;anthrax septicaemia;other forms of anthrax;anthrax, unspecified"	anthrax	anthrax
A23	"brucellosis;brucellosis due to brucella melitensis;brucellosis due to brucella abortus;brucellosis due to brucella suis;brucellosis due to brucella canis;other brucellosis;brucellosis, unspecified"	brucellosis	brucellosis
A24	"glanders and melioidosis;glanders;acute and fulminating melioidosis;subacute and chronic melioidosis;other melioidosis;melioidosis, unspecified"	glanders and melioidosis	glanders and melioidosis
A25	"rat-bite fevers;spirillosis;streptobacillosis;rat-bite fever, unspecified"	rat-bite fevers	rat-bite fevers
A26	"erysipeloid;cutaneous erysipeloid;erysipelothrix septicaemia;other forms of erysipeloid;erysipeloid, unspecified"	erysipeloid	erysipeloid
A27	"leptospirosis;leptospirosis icterohaemorrhagica;other forms of leptospirosis;leptospirosis, unspecified"	leptospirosis	leptospirosis
A28	"other zoonotic bacterial diseases, not elsewhere classified;pasteurellosis;cat-scratch disease;extraintestinal yersiniosis;other specified zoonotic bacterial diseases, not elsewhere classified;zoonotic bacterial disease, unspecified"	"zoonotic bacterial diseases, not elsewhere classified"	zoonotic bacterial diseases
A30	"leprosy [hansen's disease];indeterminate leprosy;tuberculoid leprosy;borderline tuberculoid leprosy;borderline leprosy;borderline lepromatous leprosy;lepromatous leprosy;other forms of leprosy;leprosy, unspecified"	leprosy [hansen's disease]	leprosy [hansen's disease]
A31	"infection due to other mycobacteria;pulmonary mycobacterial infection;cutaneous mycobacterial infection;other mycobacterial infections;mycobacterial infection, unspecified"	mycobacterial infections	mycobacterial infections
A32	"listeriosis;cutaneous listeriosis;listerial meningitis and meningoencephalitis;listerial septicaemia;other forms of listeriosis;listeriosis, unspecified"	listeriosis	listeriosis
A33	tetanus neonatorum	tetanus neonatorum	tetanus neonatorum
A34	obstetrical tetanus	obstetrical tetanus	obstetrical tetanus
A35	other tetanus	tetanus	tetanus
A36	"diphtheria;pharyngeal diphtheria;nasopharyngeal diphtheria;laryngeal diphtheria;cutaneous diphtheria;other diphtheria;diphtheria, unspecified"	diphtheria	diphtheria
A37	"whooping cough;whooping cough due to bordetella pertussis;whooping cough due to bordetella parapertussis;whooping cough due to other bordetella species;whooping cough, unspecified"	whooping cough	whooping cough
A38	scarlet fever	scarlet fever	scarlet fever
A39	"meningococcal infection;meningococcal meningitis;waterhouse-friderichsen syndrome;acute meningococcaemia;chronic meningococcaemia;meningococcaemia, unspecified;meningococcal heart disease;other meningococcal infections;meningococcal infection, unspecified"	meningococcal infection	meningococcal infection
A40	"streptococcal septicaemia;septicaemia due to streptococcus, group a;septicaemia due to streptococcus, group b;septicaemia due to streptococcus, group d;septicaemia due to streptococcus pneumoniae;other streptococcal septicaemia;streptococcal septicaemia, unspecified"	streptococcal septicaemia	streptococcal septicaemia
A41	"other septicaemia;septicaemia due to staphylococcus aureus;septicaemia due to other specified staphylococcus;septicaemia due to unspecified staphylococcus;septicaemia due to haemophilus influenzae;septicaemia due to anaerobes;septicaemia due to other gram-negative organisms;other specified septicaemia;septicaemia, unspecified"	septicaemia	septicaemia
