icd_1,icd_2,ji
K56,K65,0.045454545454545456
K56,K50,0.002188183807439825
K56,K63,0.0
K56,K59,0.03333333333333333
K56,K66,0.017857142857142856
K65,A41,0.0
D50,K50,0.004434589800443459
D50,D62,0.0
K50,K63,0.012072434607645875
K63,D13,0.0
K59,K60,0.0
K43,K42,0.19047619047619047
K43,K66,0.0
K66,K42,0.0
K76,E66,0.035483870967741936
K76,E78,0.011834319526627219
K76,F17,0.010101010101010102
K76,I10,0.06521739130434782
A41,C91,0.0
I25,I50,0.13561643835616438
I25,I20,0.2907488986784141
I25,I21,0.011627906976744186
D61,D69,0.053763440860215055
D61,D70,0.07142857142857142
N25,N18,0.042105263157894736
N18,N19,0.34444444444444444
N39,N10,0.0
N39,N12,0.041666666666666664
N39,N30,0.0
N30,N10,0.0
K02,F41,0.00398406374501992
K02,K10,0.0
K02,L03,0.0
K02,K04,0.0
K02,K08,0.0
K02,K12,0.007352941176470588
N10,N13,0.0
C82,C83,0.07228915662650602
C82,C85,0.35555555555555557
C83,C85,0.05714285714285714
N13,N28,0.0
N13,N20,0.014285714285714285
K51,A49,0.011235955056179775
K51,E61,0.0
K51,K29,0.005420054200542005
J04,L50,0.0
J04,J31,0.0
K29,A49,0.025
K29,K21,0.0
K29,K44,0.0
K29,K25,0.016129032258064516
K29,K26,0.0
K29,K58,0.0
K29,K31,0.0
L50,J11,0.0
L50,J38,0.0
B27,J03,0.0
B27,J36,0.0
J03,J36,0.0
J03,J35,0.0
J11,J38,0.0
J38,F17,0.0
J38,J43,0.0
D64,E03,0.010968921389396709
J36,J35,0.13043478260869565
J35,J34,0.0
J35,M95,0.0
H66,E66,0.00392156862745098
H66,G47,0.0
K04,K08,0.0
K04,K12,0.0
J37,J93,0.0
F17,J20,0.0
F17,E66,0.011194029850746268
F17,E78,0.008333333333333333
F17,I10,0.006896551724137931
F17,G45,0.0
F17,J43,0.0
J01,J32,0.05555555555555555
J01,J33,0.0
M54,M51,0.07352941176470588
M54,M76,0.0
M54,G83,0.0
G54,M51,0.0
G54,M96,0.0
M71,M24,0.0
M71,M65,0.058823529411764705
M71,M67,0.0
M71,M17,0.0
M71,M93,0.0
M71,M94,0.0
M71,M21,0.0
M76,G83,0.0
K25,K21,0.021897810218978103
K25,K44,0.016129032258064516
K25,K26,0.19047619047619047
K25,K58,0.0
K25,K31,0.0
K26,K21,0.029197080291970802
K26,K58,0.0
K26,K31,0.0
K26,K22,0.017094017094017096
K26,D52,0.0
G45,H81,0.0
J15,J96,0.0
G47,E66,0.04745762711864407
G47,G25,0.01904761904761905
G47,E11,0.024390243902439025
H18,H25,0.0
H18,H27,0.0
H18,H44,0.004739336492890996
H18,H11,0.0
H61,H74,0.0
H61,J34,0.0
H61,J39,0.0
J39,H74,0.0
J39,J34,0.0
K08,K12,0.0
H02,H53,0.02127659574468085
H02,H52,0.004398826979472141
H02,H26,0.00398406374501992
M43,M48,0.0
M43,M51,0.0
M43,M96,0.0
M43,M42,0.0
C71,D43,0.2
C79,C78,0.0
C79,M84,0.0
C79,D70,0.0
H53,H50,0.0
H53,H52,0.004531722054380665
C34,J82,0.011235955056179775
C38,D70,0.0
C38,C80,0.0
J18,J96,0.04504504504504504
M84,D70,0.0
G82,G80,0.03571428571428571
C80,D70,0.02040816326530612
D48,D17,0.0
D63,D70,0.0
D70,D69,0.011494252873563218
H50,H52,0.010189228529839884
H52,H33,0.00911854103343465
H26,H40,0.030495552731893267
H26,H25,0.008928571428571428
H26,H33,0.008733624454148471
H26,H35,0.013289036544850499
H33,H35,0.02040816326530612
H47,H40,0.006514657980456026
E66,E78,0.01483679525222552
E66,I10,0.05459770114942529
E66,E11,0.08
H25,H40,0.008389261744966443
H25,H27,0.0
H25,H34,0.0
H25,H44,0.0
H25,H11,0.0
H27,H34,0.0
H27,H44,0.0
H27,H11,0.0
H34,H44,0.031578947368421054
C44,L57,0.2826086956521739
D22,C43,0.03260869565217391
H44,H11,0.0
G91,G41,0.0
G91,G40,0.0045662100456621
G91,G81,0.0
G91,I60,0.0
G91,I61,0.012658227848101266
I60,I61,0.04
E11,L03,0.01818181818181818
E11,E13,0.1157556270096463
E11,G63,0.08256880733944955
E11,M86,0.017241379310344827
E11,N08,0.07453416149068323
J32,J34,0.0
J32,J33,0.07317073170731707
J32,M95,0.0
J33,J34,0.0
I50,I42,0.08689839572192513
I50,I44,0.015841584158415842
I50,I51,0.16496018202502843
I50,J81,0.01195219123505976
E78,I10,0.03827751196172249
E78,E79,0.0
I10,I11,0.061068702290076333
M48,M42,0.0
M48,M51,0.08108108108108109
M48,M47,0.08333333333333333
M48,M96,0.0
M51,M96,0.0
M51,M41,0.0
M16,M87,0.027777777777777776
J34,H74,0.0
J34,M95,0.0
E10,E14,0.14676616915422885
E10,E16,0.11403508771929824
E10,E13,0.045180722891566265
E14,E16,0.03278688524590164
E16,E13,0.027237354085603113
E16,I79,0.0
E13,L03,0.008097165991902834
E13,G63,0.045081967213114756
E13,M86,0.007905138339920948
I79,L03,0.0
I79,M86,0.0
J31,J40,0.0
M93,M17,0.0
M93,M94,0.0
M93,M21,0.0
G35,F32,0.0
G35,F48,0.015736766809728183
E87,F10,0.01
E87,F12,0.0
H81,H90,0.049689440993788817
H81,H91,0.03164556962025317
H81,H93,0.0
I77,I70,0.013888888888888888
H90,H91,0.15841584158415842
H90,H93,0.028846153846153848
H91,H83,0.0
H91,H93,0.03482587064676617
H93,H83,0.0
F10,F12,0.1206896551724138
F10,K70,0.03636363636363636
F10,D53,0.0
F10,F13,0.06521739130434782
F10,F31,0.1773049645390071
F12,F11,0.26666666666666666
F12,F13,0.15789473684210525
F12,F19,0.15789473684210525
F12,B18,0.0
F12,F14,0.2391304347826087
F20,F25,0.008637236084452975
F60,F43,0.0
F60,F33,0.0
I34,I07,0.0
I34,I36,0.0
I70,I73,0.1388888888888889
I70,I74,0.013888888888888888
I71,I35,0.08771929824561403
L97,L98,0.07692307692307693
E84,K86,0.02197802197802198
K86,K80,0.037037037037037035
K86,K81,0.0
K86,K82,0.008620689655172414
K86,K85,0.09803921568627451
K83,K80,0.04580152671755725
K83,K81,0.06060606060606061
K83,K85,0.038461538461538464
K83,K82,0.06766917293233082
K83,C25,0.0
B18,F11,0.0
B18,F13,0.0
B18,F19,0.0
B18,F14,0.0
B18,B16,0.0
B18,K73,0.0
K80,K81,0.12903225806451613
K80,K85,0.06422018348623854
K80,K82,0.03508771929824561
K81,K85,0.0425531914893617
K81,K82,0.03773584905660377
K82,K85,0.025423728813559324
J96,G41,0.0
J96,G40,0.0
G41,G40,0.03938730853391685
G41,G81,0.0
G40,G81,0.0024691358024691358
F41,K10,0.0
F41,L03,0.0
