Trajectory,Disease list,Drug,FDR,PubMed count avg,AI
1,"['K56', 'K59', 'K60']",Tramadol,0.000752578,12.333333333333334,1
1,"['K56', 'K59', 'K60']",Morphine,1.0858742242254536e-05,149.33333333333334,1
1,"['K56', 'K59', 'K60']",Codeine,0.000395848,20.666666666666668,1
1,"['K56', 'K59', 'K60']",Amitriptyline,0.000713087,31.333333333333332,1
1,"['K56', 'K59', 'K60']",Hydromorphone,0.000165612,3.0,1
1,"['K56', 'K59', 'K60']",Methadone,0.001623982,9.0,0
1,"['K56', 'K59', 'K60']",Pethidine,0.036939322,23.333333333333332,1
1,"['K56', 'K59', 'K60']",Oxycodone,0.000165612,8.666666666666666,0
1,"['K56', 'K59', 'K60']",Dextromethorphan,0.002843947,2.6666666666666665,0
1,"['K56', 'K59', 'K60']",Lamotrigine,0.043129027,3.6666666666666665,0
1,"['K56', 'K59', 'K60']",Butorphanol,5.548286851467272e-06,4.666666666666667,1
1,"['K56', 'K59', 'K60']",Dextropropoxyphene,0.000232315,2.3333333333333335,0
1,"['K56', 'K59', 'K60']",Pentazocine,0.002071792,6.333333333333333,1
1,"['K56', 'K59', 'K60']",Naltrexone,6.895780978528495e-05,25.666666666666668,1
1,"['K56', 'K59', 'K60']",Sufentanil,1.825655526188927e-05,8.333333333333334,1
1,"['K56', 'K59', 'K60']",Alfentanil,0.009050185,1.3333333333333333,1
1,"['K56', 'K59', 'K60']",Fentanyl,6.085371196331964e-07,48.0,0
1,"['K56', 'K59', 'K60']",Loperamide,5.9148315924963485e-06,112.33333333333331,1
1,"['K56', 'K59', 'K60']",Nalbuphine,5.548286851467272e-06,1.6666666666666667,1
1,"['K56', 'K59', 'K60']",Levorphanol,5.548286851467272e-06,0.3333333333333333,1
1,"['K56', 'K59', 'K60']",Remifentanil,5.548286851467272e-06,7.0,0
1,"['K56', 'K59', 'K60']",Ondansetron,0.020412498,33.0,1
1,"['K56', 'K59', 'K60']",Buprenorphine,2.713297875772996e-05,7.333333333333333,1
1,"['K56', 'K59', 'K60']",Hydrocodone,0.003574764,2.6666666666666665,0
1,"['K56', 'K59', 'K60']",Diphenoxylate,0.00087418,16.0,1
1,"['K56', 'K59', 'K60']",Naloxone,8.143518521120131e-06,81.33333333333333,0
1,"['K56', 'K59', 'K60']",Oxymorphone,0.003574764,0.3333333333333333,1
1,"['K56', 'K59', 'K60']",Dezocine,0.00087418,1.0,1
1,"['K56', 'K59', 'K60']",Ketamine,0.001623982,28.5,1
1,"['K56', 'K59', 'K60']",Heroin,1.825655526188927e-05,6.666666666666667,0
1,"['K56', 'K59', 'K60']",Tapentadol,0.000395848,1.0,1
1,"['K56', 'K59', 'K60']",Nalmefene,6.895780978528495e-05,1.3333333333333333,1
1,"['K56', 'K59', 'K60']",Alvimopan,5.548286851467272e-06,28.0,1
1,"['K56', 'K59', 'K60']",Ketobemidone,0.000395848,0.6666666666666666,1
1,"['K56', 'K59', 'K60']",Methylnaltrexone,0.002071792,9.666666666666666,1
1,"['K56', 'K59', 'K60']",Ponatinib,0.046324045,2.0,0
1,"['K56', 'K59', 'K60']",Pholcodine,5.548286851467272e-06,0.0,1
1,"['K56', 'K59', 'K60']",Eluxadoline,6.895780978528495e-05,17.333333333333332,1
1,"['K56', 'K59', 'K60']",Opium,0.000110645,8.333333333333334,0
1,"['K56', 'K59', 'K60']",Pentoxyverine,0.003574764,0.3333333333333333,1
1,"['K56', 'K59', 'K60']",Naldemedine,6.895780978528495e-05,1.0,1
3,"['A38', 'G47', 'H04', 'J35', 'J36', 'B07', 'B34', 'G51', 'H53', 'H72', 'H74', 'J15']",Gefitinib,0.042404317,1.4166666666666667,0
3,"['A38', 'G47', 'H04', 'J35', 'J36', 'B07', 'B34', 'G51', 'H53', 'H72', 'H74', 'J15']",Modafinil,0.020174151,69.41666666666667,1
3,"['A38', 'G47', 'H04', 'J35', 'J36', 'B07', 'B34', 'G51', 'H53', 'H72', 'H74', 'J15']",Thalidomide,0.006930693,8.083333333333334,0
3,"['A38', 'G47', 'H04', 'J35', 'J36', 'B07', 'B34', 'G51', 'H53', 'H72', 'H74', 'J15']",Paclitaxel,0.02554622,9.166666666666666,0
3,"['A38', 'G47', 'H04', 'J35', 'J36', 'B07', 'B34', 'G51', 'H53', 'H72', 'H74', 'J15']",Pranlukast,0.026859825,0.1818181818181818,1
3,"['A38', 'G47', 'H04', 'J35', 'J36', 'B07', 'B34', 'G51', 'H53', 'H72', 'H74', 'J15']",Armodafinil,0.014664829,69.83333333333333,1
4,"['A41', 'C91']",Caffeine,0.000762651,60.5,0
4,"['A41', 'C91']",Sorafenib,0.001316908,30.0,1
4,"['A41', 'C91']",Trimethoprim,0.021466132,690.0,1
4,"['A41', 'C91']",Methotrexate,0.027557483,2334.0,1
4,"['A41', 'C91']",Imatinib,0.015833255,538.0,1
4,"['A41', 'C91']",Dasatinib,4.884308488704227e-06,278.0,1
4,"['A41', 'C91']",Sunitinib,0.005467804,11.5,1
4,"['A41', 'C91']",Nilotinib,0.001996202,77.0,1
4,"['A41', 'C91']",Bosutinib,0.003187016,15.5,1
4,"['A41', 'C91']",Regorafenib,0.001499718,5.5,0
4,"['A41', 'C91']",Ponatinib,5.347189596638089e-07,113.5,1
4,"['A41', 'C91']",Nintedanib,0.002557,4.0,0
4,"['A41', 'C91']",Isosorbide,0.006823597,4.0,0
4,"['A41', 'C91']",Venetoclax,0.011258716,560.0,1
4,"['A41', 'C91']",Fostamatinib,0.042243998,14.5,1
4,"['A41', 'C91']",Copanlisib,0.046920296,7.0,1
5,"['B00', 'B99', 'J31', 'J40', 'K52', 'K08']",Clobetasol propionate,0.012154544,12.333333333333334,1
5,"['B00', 'B99', 'J31', 'J40', 'K52', 'K08']",Melatonin,0.019241145,298.0,1
5,"['B00', 'B99', 'J31', 'J40', 'K52', 'K08']",Dexamethasone,0.046132068,742.5,1
5,"['B00', 'B99', 'J31', 'J40', 'K52', 'K08']",Glucosamine,0.047717961,702.5,0
5,"['B00', 'B99', 'J31', 'J40', 'K52', 'K08']",Clenbuterol,0.047717961,21.166666666666668,0
5,"['B00', 'B99', 'J31', 'J40', 'K52', 'K08']",Rilonacept,0.012154544,3.6666666666666665,1
5,"['B00', 'B99', 'J31', 'J40', 'K52', 'K08']",Polaprezinc,0.012845008,3.0,1
5,"['B00', 'B99', 'J31', 'J40', 'K52', 'K08']",Foreskin fibroblast (neonatal),0.006226755,6.166666666666667,0
5,"['B00', 'B99', 'J31', 'J40', 'K52', 'K08']",Foreskin keratinocyte (neonatal),0.000320325,2.6666666666666665,0
5,"['B00', 'B99', 'J31', 'J40', 'K52', 'K08']",Binimetinib,0.002780214,2.5,1
6,"['B27', 'J03']",Cisplatin,0.043129027,1.5,0
6,"['B27', 'J03']",Oxaliplatin,0.022885609,0.0,0
6,"['B27', 'J03']",Carboplatin,0.015062302,1.0,0
7,"['B00', 'B08', 'B37', 'B99', 'H10', 'H66', 'J02', 'K21']",Ginseng,0.031363092,21.25,0
7,"['B00', 'B08', 'B37', 'B99', 'H10', 'H66', 'J02', 'K21']",Nimesulide,0.031363092,4.125,1
8,"['N10', 'N12']",Nelfinavir,0.013130202,0.0,1
8,"['N10', 'N12']",Nevirapine,0.005446573,0.0,0
8,"['N10', 'N12']",Amsacrine,0.002805632,0.0,1
8,"['N10', 'N12']",Gefitinib,0.007451362,1.0,0
8,"['N10', 'N12']",Rosiglitazone,0.013130202,3.5,0
8,"['N10', 'N12']",Pethidine,0.015499458,0.0,0
8,"['N10', 'N12']",Imipramine,0.047220441,2.0,0
8,"['N10', 'N12']",Fluoxetine,0.015499458,0.0,0
8,"['N10', 'N12']",Chlorpromazine,0.031190521,1.5,1
8,"['N10', 'N12']",Ritonavir,0.019487366,5.5,1
8,"['N10', 'N12']",Erlotinib,0.010757256,1.0,0
8,"['N10', 'N12']",Nortriptyline,0.032775658,0.0,0
8,"['N10', 'N12']",Cephalexin,0.010757256,41.0,1
8,"['N10', 'N12']",Imatinib,0.023423262,1.5,1
8,"['N10', 'N12']",Efavirenz,0.00850572,4.0,0
8,"['N10', 'N12']",Nateglinide,0.013130202,0.0,0
8,"['N10', 'N12']",Isoflurane,0.009655058,0.5,0
8,"['N10', 'N12']",Propofol,0.022048263,0.0,0
8,"['N10', 'N12']",Zalcitabine,0.009655058,2.5,0
8,"['N10', 'N12']",Isoniazid,0.010757256,14.0,0
8,"['N10', 'N12']",Doxorubicin,0.03410367,18.5,0
8,"['N10', 'N12']",Ketoprofen,0.009655058,3.0,0
8,"['N10', 'N12']",Methoxyflurane,0.010757256,0.0,1
8,"['N10', 'N12']",Sertraline,0.010757256,0.0,0
8,"['N10', 'N12']",Halothane,0.000653697,3.0,0
8,"['N10', 'N12']",Desflurane,0.004517094,0.0,0
8,"['N10', 'N12']",Captopril,0.006432302,16.0,1
8,"['N10', 'N12']",Saquinavir,0.015499458,0.5,0
8,"['N10', 'N12']",Sevoflurane,0.00850572,0.5,0
8,"['N10', 'N12']",Clomipramine,0.00850572,0.5,0
8,"['N10', 'N12']",Pipotiazine,0.006432302,0.0,0
