trj,status,max_stage_idx,max_stage_val,disease_with_max_hub_percentage
2,Descending,1,33.33333333333333,A08
3,Ascending,3,16.19718309859155,G51
5,Descending,1,18.27956989247312,B00
9,Descending,1,50.0,J20
13,Descending,1,15.254237288135593,J34
15,Ascending,3,17.42738589211618,F81
27,Descending,1,19.047619047619047,K52
29,Ascending,2,16.129032258064516,B99
35,Descending,1,37.5,B00
39,Ascending,2,15.36697247706422,E16
42,Descending,1,26.229508196721312,E84
49,Descending,1,27.27272727272727,J96
51,Descending,1,15.887850467289718,I10
52,Descending,1,50.0,J20
71,Ascending,2,17.494089834515368,D64
73,Descending,1,17.350157728706623,E03
75,Descending,1,13.675213675213676,E11
81,Ascending,2,15.384615384615385,F44
83,Descending,1,20.37037037037037,F50
89,Descending,1,20.233463035019454,H46
92,Ascending,2,16.86046511627907,K31
95,Ascending,2,10.0,K59
100,Ascending,2,15.384615384615385,M48
107,Descending,1,25.0,C71
115,Descending,1,17.2876304023845,D64
117,Ascending,2,16.8,E11
120,Descending,1,16.901408450704224,F31
121,Ascending,2,15.789473684210526,F11
122,Ascending,2,13.636363636363635,J96
125,Ascending,2,16.666666666666664,F50
126,Ascending,2,20.0,G93
127,Descending,1,9.15032679738562,G43
128,Descending,1,10.526315789473683,K42
133,Descending,1,24.390243902439025,I47
134,Ascending,2,11.76470588235294,I70
139,Ascending,2,13.788659793814434,J96
140,Ascending,2,13.636363636363635,J96
146,Ascending,2,21.666666666666668,K65
147,Ascending,2,12.5,N28
151,Descending,1,17.46031746031746,L93
152,Descending,1,16.463414634146343,M06
154,Ascending,2,27.77777777777778,M65
156,Ascending,3,19.736842105263158,N17
159,Descending,1,25.0,B16
160,Descending,1,14.285714285714285,H10
161,Descending,1,60.0,C18
167,Ascending,2,37.142857142857146,D06
168,Descending,1,32.5,D12
175,Descending,1,16.93548387096774,K51
176,Ascending,2,17.647058823529413,F12
177,Descending,1,18.84057971014493,D69
179,Ascending,3,17.97752808988764,M86
181,Descending,1,11.214953271028037,K42
191,Ascending,3,22.22222222222222,G57
193,Ascending,2,15.384615384615385,M48
194,Ascending,2,14.705882352941178,D36
200,Descending,1,11.76470588235294,H91
201,Descending,1,15.068493150684931,M35
202,Descending,1,13.325867861142218,I42
203,Ascending,2,13.863337713534824,I44
204,Ascending,2,14.491362763915546,I44
206,Ascending,2,16.862745098039216,I44
209,Ascending,2,13.580246913580247,I64
223,Ascending,2,30.88235294117647,C25
225,Descending,1,17.46031746031746,D25
227,Descending,1,20.0,M16
229,Ascending,3,28.57142857142857,G57
232,Descending,1,33.33333333333333,M65
235,Descending,1,18.96551724137931,M41
236,Descending,1,26.08695652173913,N04
237,Ascending,2,7.142857142857142,N30
