,Trajectory,Disease list,Drug,FDR,Disease Consensus Name List
0,1,"['K56', 'K59', 'K60']",Tramadol,0.000752578,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']"
1,1,"['K56', 'K59', 'K60']",Morphine,1.0858742242254536e-05,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']"
2,1,"['K56', 'K59', 'K60']",Codeine,0.000395848,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']"
3,1,"['K56', 'K59', 'K60']",Amitriptyline,0.000713087,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']"
4,1,"['K56', 'K59', 'K60']",Hydromorphone,0.000165612,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']"
5,1,"['K56', 'K59', 'K60']",Methadone,0.001623982,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']"
6,1,"['K56', 'K59', 'K60']",Pethidine,0.036939322,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']"
7,1,"['K56', 'K59', 'K60']",Oxycodone,0.000165612,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']"
8,1,"['K56', 'K59', 'K60']",Dextromethorphan,0.002843947,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']"
9,1,"['K56', 'K59', 'K60']",Lamotrigine,0.043129027,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']"
10,1,"['K56', 'K59', 'K60']",Butorphanol,5.548286851467272e-06,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']"
11,1,"['K56', 'K59', 'K60']",Dextropropoxyphene,0.000232315,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']"
12,1,"['K56', 'K59', 'K60']",Pentazocine,0.002071792,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']"
13,1,"['K56', 'K59', 'K60']",Naltrexone,6.895780978528495e-05,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']"
14,1,"['K56', 'K59', 'K60']",Sufentanil,1.825655526188927e-05,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']"
15,1,"['K56', 'K59', 'K60']",Alfentanil,0.009050185,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']"
16,1,"['K56', 'K59', 'K60']",Fentanyl,6.085371196331964e-07,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']"
17,1,"['K56', 'K59', 'K60']",Loperamide,5.9148315924963485e-06,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']"
18,1,"['K56', 'K59', 'K60']",Nalbuphine,5.548286851467272e-06,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']"
19,1,"['K56', 'K59', 'K60']",Levorphanol,5.548286851467272e-06,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']"
20,1,"['K56', 'K59', 'K60']",Remifentanil,5.548286851467272e-06,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']"
21,1,"['K56', 'K59', 'K60']",Ondansetron,0.020412498,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']"
22,1,"['K56', 'K59', 'K60']",Buprenorphine,2.713297875772996e-05,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']"
23,1,"['K56', 'K59', 'K60']",Hydrocodone,0.003574764,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']"
24,1,"['K56', 'K59', 'K60']",Diphenoxylate,0.00087418,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']"
25,1,"['K56', 'K59', 'K60']",Naloxone,8.143518521120131e-06,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']"
