,Trajectory,Disease list,Drug,FDR,Disease Consensus Name List,PubMed count,PubMed count avg
0,1,"['K56', 'K59', 'K60']",Tramadol,0.000752578,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']","[1, 21, 15]",12.333333333333334
1,1,"['K56', 'K59', 'K60']",Morphine,1.0858742242254536e-05,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']","[31, 341, 76]",149.33333333333334
2,1,"['K56', 'K59', 'K60']",Codeine,0.000395848,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']","[5, 48, 9]",20.666666666666668
3,1,"['K56', 'K59', 'K60']",Amitriptyline,0.000713087,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']","[4, 83, 7]",31.333333333333332
4,1,"['K56', 'K59', 'K60']",Hydromorphone,0.000165612,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']","[2, 4]",3.0
5,1,"['K56', 'K59', 'K60']",Methadone,0.001623982,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']","[2, 17, 8]",9.0
6,1,"['K56', 'K59', 'K60']",Pethidine,0.036939322,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']","[4, 34, 32]",23.333333333333332
7,1,"['K56', 'K59', 'K60']",Oxycodone,0.000165612,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']","[3, 16, 7]",8.666666666666666
8,1,"['K56', 'K59', 'K60']",Dextromethorphan,0.002843947,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']","[0, 7, 1]",2.6666666666666665
9,1,"['K56', 'K59', 'K60']",Lamotrigine,0.043129027,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']","[1, 3, 7]",3.6666666666666665
10,1,"['K56', 'K59', 'K60']",Butorphanol,5.548286851467272e-06,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']","[1, 7, 6]",4.666666666666667
11,1,"['K56', 'K59', 'K60']",Dextropropoxyphene,0.000232315,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']","[0, 6, 1]",2.3333333333333335
12,1,"['K56', 'K59', 'K60']",Pentazocine,0.002071792,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']","[0, 14, 5]",6.333333333333333
13,1,"['K56', 'K59', 'K60']",Naltrexone,6.895780978528495e-05,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']","[9, 59, 9]",25.666666666666668
