trj,status,max_stage_idx,max_stage_val,disease_with_max_hub_percentage
10,Ascending,2,21.052631578947366,D80
11,Ascending,2,27.77777777777778,C79
13,Descending,1,15.277777777777779,J01
18,Ascending,2,11.563169164882227,I10
19,Descending,1,26.229508196721312,E84
20,Ascending,2,27.27272727272727,J96
22,Descending,1,27.835051546391753,F81
23,Descending,1,17.669172932330827,I47
39,Ascending,2,12.068965517241379,K52
51,Descending,1,25.0,C71
53,Descending,1,26.229508196721312,E84
57,Descending,1,10.684273709483794,F12
59,Ascending,2,20.967741935483872,F90
61,Descending,1,15.887850467289718,I10
64,Ascending,2,50.0,K65
72,Ascending,2,19.130434782608695,D64
77,Ascending,2,32.154340836012864,B24
78,Ascending,2,11.533742331288344,F12
82,Ascending,2,10.285714285714285,F25
87,Ascending,2,10.285714285714285,F25
92,Descending,1,16.182572614107883,I42
98,Descending,1,16.93548387096774,K51
100,Ascending,2,15.66579634464752,K56
102,Descending,1,21.052631578947366,K74
108,Ascending,3,40.0,L97
110,Ascending,2,20.43010752688172,D64
111,Descending,1,31.914893617021278,K73
112,Ascending,2,29.577464788732392,C22
117,Ascending,2,30.434782608695656,D12
118,Descending,1,19.047619047619047,F70
119,Ascending,2,24.299065420560748,D75
123,Ascending,2,14.204545454545455,E11
126,Descending,1,19.801980198019802,G35
129,Descending,1,12.195121951219512,J20
133,Ascending,2,18.633540372670808,F70
134,Ascending,2,6.0,M62
136,Descending,1,13.40782122905028,H36
139,Descending,1,12.857142857142856,H91
141,Descending,1,19.51219512195122,I34
144,Descending,1,4.651162790697675,I73
147,Descending,1,14.285714285714285,J96
149,Descending,1,12.0,J44
151,Descending,1,15.555555555555555,K20
156,Ascending,3,23.809523809523807,D12
158,Descending,1,13.88888888888889,K92
162,Ascending,2,50.0,M77
163,Ascending,2,6.451612903225806,M87
165,Ascending,3,22.22222222222222,H61
167,Ascending,2,11.76470588235294,M77
168,Ascending,3,19.047619047619047,N05
170,Descending,1,0.0,B35
176,Ascending,3,28.666666666666668,C22
179,Ascending,2,35.64356435643564,C61
184,Descending,1,40.909090909090914,C92
185,Descending,1,30.434782608695656,D12
186,Ascending,3,43.333333333333336,D12
189,Descending,1,19.230769230769234,M45
190,Ascending,2,7.4074074074074066,M71
197,Ascending,3,10.138248847926267,E66
198,Ascending,2,11.538461538461538,G25
200,Ascending,2,17.71428571428571,G31
203,Descending,1,16.842105263157894,F48
205,Ascending,3,25.0,J13
210,Descending,1,18.181818181818183,M48
212,Descending,1,16.867469879518072,J01
215,Descending,1,12.435233160621761,H40
216,Descending,1,12.857142857142856,H91
217,Ascending,2,37.5,B00
218,Ascending,2,16.61631419939577,L73
219,Descending,1,12.631578947368421,I25
220,Descending,1,20.0,I71
221,Descending,1,16.182572614107883,I42
222,Descending,1,27.77777777777778,G93
224,Ascending,2,14.285714285714285,G46
225,Descending,1,32.5,D12
226,Descending,1,21.052631578947366,K74
228,Descending,1,25.0,J41
229,Descending,1,19.35483870967742,J43
232,Descending,1,12.643678160919542,K20
235,Descending,1,18.75,K42
238,Descending,1,16.417910447761194,K70
239,Ascending,2,12.62135922330097,K55
243,Ascending,2,28.947368421052634,L30
244,Ascending,2,18.421052631578945,K70
251,Ascending,2,19.565217391304348,M41
255,Descending,1,50.0,M77
257,Descending,1,20.0,N03
