,Trajectory,Disease list,Drug,FDR,Disease Consensus Name List
0,2,"['A04', 'A08', 'F50']",Amphetamine,0.002535043,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
1,2,"['A04', 'A08', 'F50']",Phentermine,0.018618583,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
2,2,"['A04', 'A08', 'F50']",Citalopram,0.043118065,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
3,2,"['A04', 'A08', 'F50']",Venlafaxine,0.026088928,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
4,2,"['A04', 'A08', 'F50']",Atomoxetine,0.015126528,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
5,2,"['A04', 'A08', 'F50']",Mirtazapine,0.000276563,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
6,2,"['A04', 'A08', 'F50']",Loxapine,0.000712832,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
7,2,"['A04', 'A08', 'F50']",Methylphenidate,0.008927828,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
8,2,"['A04', 'A08', 'F50']",Imipramine,0.018924483,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
9,2,"['A04', 'A08', 'F50']",Duloxetine,0.008927828,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
10,2,"['A04', 'A08', 'F50']",Amoxapine,0.00023824,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
11,2,"['A04', 'A08', 'F50']",Mazindol,4.8059413617012e-05,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
12,2,"['A04', 'A08', 'F50']",Cisapride,0.043118065,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
13,2,"['A04', 'A08', 'F50']",Paroxetine,0.043118065,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
14,2,"['A04', 'A08', 'F50']",Procaine,0.018618583,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
15,2,"['A04', 'A08', 'F50']",Trimipramine,0.00023824,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
16,2,"['A04', 'A08', 'F50']",Phenmetrazine,0.001582125,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
17,2,"['A04', 'A08', 'F50']",Pseudoephedrine,0.038607114,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
18,2,"['A04', 'A08', 'F50']",Benzphetamine,0.015126528,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
19,2,"['A04', 'A08', 'F50']",Diethylpropion,0.001582125,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
20,2,"['A04', 'A08', 'F50']",Dopamine,0.000408021,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
21,2,"['A04', 'A08', 'F50']",Sibutramine,0.006164835,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
22,2,"['A04', 'A08', 'F50']",Chlorphenamine,0.026088928,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
23,2,"['A04', 'A08', 'F50']",Nefazodone,0.002535043,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
24,2,"['A04', 'A08', 'F50']",Bupropion,0.034162713,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
25,2,"['A04', 'A08', 'F50']",Chloroprocaine,0.011850793,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
26,2,"['A04', 'A08', 'F50']",Escitalopram,0.022267413,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
27,2,"['A04', 'A08', 'F50']",Ketamine,0.003831298,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
28,2,"['A04', 'A08', 'F50']",Clomipramine,0.034162713,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
29,2,"['A04', 'A08', 'F50']",Ephedra,0.001498297,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
30,2,"['A04', 'A08', 'F50']",Ephedrine,0.008927828,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
31,2,"['A04', 'A08', 'F50']",Dextroamphetamine,0.000286486,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
32,2,"['A04', 'A08', 'F50']",Methamphetamine,0.001820817,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
33,2,"['A04', 'A08', 'F50']",Mianserin,0.006494458,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
34,2,"['A04', 'A08', 'F50']",Tapentadol,0.030140071,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
35,2,"['A04', 'A08', 'F50']",Dexmethylphenidate,0.006164835,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
36,2,"['A04', 'A08', 'F50']",Zotepine,0.022267413,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
37,3,"['H73', 'K92']",Cyclosporine,0.0062462,"['disorders of tympanic membrane', 'diseases of digestive system']"
