,Trajectory,Disease list,Drug,FDR,Disease Consensus Name List,PubMed count,PubMed count avg
0,2,"['A04', 'A08', 'F50']",Amphetamine,0.002535043,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']","[4, 490, 317]",270.3333333333333
1,2,"['A04', 'A08', 'F50']",Phentermine,0.018618583,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']","[0, 1, 26]",9.0
2,2,"['A04', 'A08', 'F50']",Citalopram,0.043118065,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']","[0, 36, 48]",28.0
3,2,"['A04', 'A08', 'F50']",Venlafaxine,0.026088928,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']","[0, 16, 17]",11.0
4,2,"['A04', 'A08', 'F50']",Atomoxetine,0.015126528,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']","[0, 2, 17]",6.333333333333333
5,2,"['A04', 'A08', 'F50']",Mirtazapine,0.000276563,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']","[0, 58, 39]",32.333333333333336
6,2,"['A04', 'A08', 'F50']",Loxapine,0.000712832,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']","[1, 1, 1]",1.0
7,2,"['A04', 'A08', 'F50']",Methylphenidate,0.008927828,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']","[0, 21, 76]",32.333333333333336
8,2,"['A04', 'A08', 'F50']",Imipramine,0.018924483,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']","[0, 40, 55]",31.666666666666668
9,2,"['A04', 'A08', 'F50']",Duloxetine,0.008927828,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']","[0, 13, 12]",8.333333333333334
10,2,"['A04', 'A08', 'F50']",Amoxapine,0.00023824,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']","[0, 1, 1]",0.6666666666666666
