icd_1,icd_2,ji
A01,A15,0.08333333333333333
A01,A30,0.05454545454545454
A01,A49,0.1
A01,B07,0.14285714285714285
A01,B41,0.14285714285714285
A01,B55,0.18181818181818182
A01,B67,0.16666666666666666
A01,C51,0.2222222222222222
A01,C53,0.07142857142857142
A01,D70,0.13333333333333333
A01,E10,0.037037037037037035
A01,E16,0.07407407407407407
A01,E31,0.2222222222222222
A01,E84,0.04225352112676056
A01,G36,0.125
A01,G61,0.125
A01,H15,0.14285714285714285
A01,H20,0.08108108108108109
A01,H36,0.029850746268656716
A01,H46,0.14285714285714285
A01,I00,0.2222222222222222
A01,I09,0.11764705882352941
A01,J01,0.2
A01,J32,0.10526315789473684
A01,J47,0.06451612903225806
A01,J62,0.09523809523809523
A01,J67,0.14285714285714285
A01,K75,0.14285714285714285
A01,L10,0.1111111111111111
A01,L12,0.15384615384615385
A01,L13,0.2222222222222222
A01,L52,0.2222222222222222
A01,L63,0.045454545454545456
A01,M08,0.09375
A01,M35,0.043010752688172046
A15,A30,0.06666666666666667
A15,A39,0.04081632653061224
A15,A48,0.07317073170731707
A15,A49,0.1111111111111111
A15,A91,0.043478260869565216
A15,B20,0.0353356890459364
A15,B22,0.041666666666666664
A15,B24,0.035211267605633804
A15,B27,0.06521739130434782
A15,B55,0.0625
A15,B65,0.043478260869565216
A15,B67,0.061224489795918366
A15,C16,0.05263157894736842
A15,C22,0.06611570247933884
A15,C34,0.046875
A15,C50,0.037037037037037035
A15,C51,0.0425531914893617
A15,C53,0.13333333333333333
A15,D06,0.04
A15,D70,0.057692307692307696
A15,E06,0.057971014492753624
A15,E10,0.11940298507462686
A15,E11,0.04895104895104895
A15,E16,0.046875
A15,E84,0.09803921568627451
A15,G41,0.05128205128205128
A15,G95,0.06
A15,H16,0.03896103896103896
A15,H20,0.0684931506849315
A15,H36,0.047619047619047616
A15,H44,0.02962962962962963
A15,I22,0.07079646017699115
A15,I60,0.04878048780487805
A15,J18,0.08759124087591241
A15,J44,0.05442176870748299
A15,J45,0.02557200538358008
A15,J60,0.061224489795918366
A15,J61,0.08771929824561403
A15,J62,0.10909090909090909
A15,J63,0.0425531914893617
A15,J64,0.04285714285714286
A15,J66,0.08771929824561403
A15,J80,0.06349206349206349
A15,K50,0.032119914346895075
A15,K51,0.034482758620689655
A15,K52,0.05555555555555555
A15,K70,0.05982905982905983
A15,K75,0.058823529411764705
A15,K76,0.061946902654867256
A15,K82,0.046153846153846156
A15,L13,0.0425531914893617
A15,L23,0.07142857142857142
A15,L30,0.04054054054054054
A15,L51,0.05102040816326531
A15,L52,0.06521739130434782
A15,L63,0.0743801652892562
A15,L71,0.07575757575757576
A15,L80,0.05
A15,M02,0.043478260869565216
A15,M06,0.038135593220338986
A15,M08,0.10606060606060606
A15,M31,0.06578947368421052
A15,M32,0.022222222222222223
A15,M33,0.08823529411764706
A15,M35,0.125
A15,M81,0.03571428571428571
A15,N08,0.056074766355140186
A15,N80,0.03286384976525822
A30,B55,0.07547169811320754
A30,D86,0.055944055944055944
A30,E10,0.04697986577181208
A30,J30,0.03684210526315789
A30,J45,0.022636484687083888
A30,K50,0.04946236559139785
A30,K51,0.042105263157894736
A30,L13,0.03773584905660377
A30,L52,0.03773584905660377
A30,L63,0.0625
A30,M08,0.06756756756756757
A30,M35,0.11023622047244094
A30,N87,0.03508771929824561
A49,A39,0.10526315789473684
A49,A48,0.11538461538461539
A49,B35,0.11538461538461539
A49,B49,0.1
A49,B67,0.15789473684210525
A49,C51,0.11764705882352941
A49,D06,0.1
A49,D50,0.06896551724137931
A49,D70,0.13636363636363635
A49,D72,0.05714285714285714
A49,E31,0.11764705882352941
A49,G36,0.08333333333333333
A49,G47,0.04
A49,H36,0.03546099290780142
A49,H46,0.09090909090909091
A49,I00,0.11764705882352941
A49,I09,0.08
A49,J62,0.10714285714285714
A49,J69,0.1
A49,K75,0.09090909090909091
A49,L12,0.09523809523809523
A49,L51,0.057971014492753624
A49,M31,0.0851063829787234
A49,M35,0.05
B07,A16,0.5
B07,A38,0.3333333333333333
B07,A92,0.3333333333333333
B07,C11,0.2
B07,G04,0.25
B41,A71,0.3333333333333333
B41,B50,0.25
B41,G61,0.5
B41,G98,0.14285714285714285
B41,H06,0.3333333333333333
B41,H15,1.0
B41,J67,1.0
B41,L13,0.25
B41,L52,0.25
B41,L94,0.3333333333333333
B41,M00,0.125
B41,M89,0.16666666666666666
B55,A48,0.06521739130434782
B55,A71,0.2857142857142857
B55,A98,0.16666666666666666
B55,B19,0.09523809523809523
B55,B20,0.020080321285140562
B55,B24,0.02
B55,B73,0.16666666666666666
B55,C49,0.08
B55,D50,0.1
B55,D61,0.08333333333333333
B55,D70,0.14285714285714285
B55,E06,0.0625
B55,E10,0.05714285714285714
B55,E16,0.07692307692307693
B55,E31,0.25
B55,G30,0.009900990099009901
B55,G35,0.00975609756097561
B55,G36,0.13333333333333333
B55,G61,0.14285714285714285
B55,H15,0.16666666666666666
B55,H20,0.11428571428571428
B55,H31,0.25
B55,H90,0.024390243902439025
B55,I00,0.25
B55,I09,0.125
B55,J32,0.1111111111111111
B55,J67,0.16666666666666666
B55,J98,0.13333333333333333
B55,K13,0.08695652173913043
B55,K37,0.14285714285714285
B55,K50,0.013729977116704805
B55,K51,0.014450867052023121
B55,K52,0.2
B55,L10,0.11764705882352941
B55,L12,0.16666666666666666
B55,L20,0.01272264631043257
B55,L23,0.16666666666666666
B55,L30,0.05555555555555555
B55,L63,0.04597701149425287
B55,L80,0.032
B55,M00,0.16666666666666666
B55,M06,0.01348314606741573
B55,M08,0.13333333333333333
B55,M31,0.07692307692307693
B55,M35,0.054945054945054944
B55,M80,0.07142857142857142
B55,M81,0.02912621359223301
B55,N03,0.14285714285714285
B55,N08,0.04225352112676056
B55,N17,0.05357142857142857
B55,N80,0.016853932584269662
B67,C51,0.2222222222222222
B67,D50,0.09523809523809523
B67,D64,0.0297029702970297
B67,D70,0.13333333333333333
B67,E10,0.037037037037037035
B67,E31,0.2222222222222222
B67,G36,0.125
B67,G47,0.04477611940298507
B67,H20,0.08108108108108109
B67,H46,0.14285714285714285
B67,I00,0.2222222222222222
B67,I09,0.11764705882352941
B67,J62,0.09523809523809523
B67,K73,0.06818181818181818
B67,K75,0.14285714285714285
B67,L10,0.1111111111111111
