icd_1,icd_2,ji
K56,K59,0.03333333333333333
K56,K60,0.0
K56,K50,0.002188183807439825
K56,K63,0.0
K56,K65,0.045454545454545456
K56,C48,0.0
K56,K66,0.017857142857142856
K59,K60,0.0
K59,B37,0.0
K59,E65,0.0
K59,L90,0.0
K59,N62,0.0
K59,H10,0.0
K59,F13,0.0
K59,F33,0.0
K59,F41,0.0
K59,F43,0.058823529411764705
K59,F45,0.0
K60,I84,0.0
K60,K62,0.0
K60,K64,0.0
K50,K52,0.01126126126126126
K50,D50,0.004434589800443459
K50,N92,0.0
K50,K63,0.012072434607645875
K50,K65,0.0
K63,K21,0.0
K63,K29,0.0
K63,K44,0.006493506493506494
K63,K25,0.019801980198019802
K63,K31,0.0
K63,K58,0.0
K63,K65,0.0
K63,D13,0.0
K65,A41,0.0
K65,K66,0.02702702702702703
K65,A04,0.0
K65,B35,0.0
K65,C48,0.0
K65,D13,0.0
C48,K66,0.0
C48,C18,0.02702702702702703
C48,C19,0.0
C48,C56,0.0136986301369863
C48,C57,0.0
C48,C20,0.0
C48,D12,0.0
K66,N83,0.014492753623188406
K66,N76,0.0
K66,N73,0.0
K66,N80,0.004761904761904762
K66,N94,0.0
K66,K42,0.0
K66,K43,0.0
B37,N28,0.0
B37,K76,0.01282051282051282
B37,F43,0.0
B37,F33,0.0
B37,F60,0.0
B37,F50,0.0
B37,F40,0.0
B37,L30,0.0
E65,E66,0.0
E65,G47,0.0
E65,M51,0.0
E65,E11,0.0
E65,K42,0.02127659574468085
E65,K43,0.0
E65,L90,0.0
E65,N62,0.0
E65,I89,0.0
E65,M16,0.0
L90,D24,0.0
L90,C50,0.0
L90,D05,0.0
L90,N62,0.0
L90,N64,0.0
N62,D24,0.0
N62,N60,0.0
N62,C50,0.022900763358778626
N62,D05,0.06666666666666667
N62,N64,0.0
H10,J31,0.0
H10,F41,0.0
H10,J04,0.0
H10,F13,0.0
H10,F43,0.0
H10,F33,0.0
H10,F45,0.0
H10,M54,0.0
H10,G83,0.0
H10,M76,0.0
H10,H11,0.25
H10,H18,0.0
H10,H25,0.0
H10,H27,0.0
H10,H34,0.0
H10,H44,0.0
F13,F41,0.016666666666666666
F13,F10,0.06521739130434782
F13,F12,0.15789473684210525
F13,F11,0.3157894736842105
F13,F19,1.0
F13,B18,0.0
F13,F14,0.3157894736842105
F13,F33,0.0
F13,F43,0.0
F13,F45,0.0
F13,F03,0.013888888888888888
F13,F20,0.004878048780487805
F13,F22,0.043478260869565216
F13,G31,0.0
F33,F41,0.0
F33,F43,0.0
F33,F32,0.0
F33,F44,0.0
F33,F45,0.0
F33,L98,0.0
F33,F40,0.0
F33,F42,0.0
F33,F50,0.0
F33,F60,0.0
F33,L30,0.0
F41,K08,0.0
F41,K02,0.00398406374501992
F41,K04,0.0
F41,K10,0.0
F41,K12,0.0
F41,L03,0.0
F41,F32,0.0
F41,F44,0.0
F41,F45,0.0
F41,L98,0.0
F41,F43,0.01639344262295082
F43,F81,0.0
F43,F70,0.01098901098901099
F43,F90,0.0
F43,F45,0.0
F43,F50,0.0
F43,F60,0.0
F43,F40,0.0
F43,L30,0.0
F45,F32,0.0
F45,F44,0.0
F45,L98,0.0
I84,K62,0.0
I84,D12,0.0
I84,K64,0.8421052631578947
K64,D12,0.0
A08,A38,0.0
A08,H61,0.0
A08,J38,0.0
A38,H61,0.0
A38,J38,0.0
H61,J38,0.0
H61,D68,0.0
H61,H74,0.0
H61,J34,0.0
H61,J35,0.0
H61,J39,0.0
H61,H72,0.0
J38,F98,0.0
J38,J11,0.0
J38,L50,0.0
J38,H73,0.0
J38,J00,0.0
J38,J04,0.0
J38,J12,0.0
J38,D34,0.0
J38,E04,0.0
J38,E55,0.0
J38,E83,0.0
J38,F17,0.0
J38,G45,0.0
J38,J40,0.0
J38,J43,0.0
J38,J98,0.0
J38,E01,0.0
J38,L72,0.0
J38,N35,0.0
D68,H74,0.0
D68,J34,0.0
D68,J35,0.021739130434782608
D68,J39,0.0
D68,H72,0.0
H74,J34,0.0
H74,J35,0.0
H74,J39,0.0
H74,H72,0.0
J34,J35,0.0
J34,J39,0.0
J34,H72,0.0
J34,J32,0.0
J34,M95,0.0
J34,J01,0.0
J34,J33,0.0
J35,B00,0.0
J35,J31,0.0
J35,J03,0.0
J35,J39,0.04
J35,H72,0.0
J35,K07,0.0
J35,J36,0.13043478260869565
J35,M95,0.0
J39,H72,0.0
F98,J11,0.0
F98,L50,0.0
J11,L50,0.0
L50,J00,0.0
L50,H73,0.0
L50,J04,0.0
L50,J12,0.0
H73,J00,0.0
H73,J04,0.0
H73,J12,0.0
J00,J20,0.0
J00,E66,0.0
J00,G47,0.0
J00,H90,0.0
J00,F81,0.0
J00,H66,0.08333333333333333
J00,N83,0.0
J00,J04,0.0
J00,J12,0.0
J04,J31,0.0
J04,J12,0.0
J04,G83,0.0
J04,M54,0.0
J04,M76,0.0
D34,N35,0.0
D34,E04,0.0
D34,E55,0.0
D34,E83,0.0
D34,E01,0.0
D34,L72,0.0
E04,N35,0.0
E04,C73,0.07692307692307693
E04,E05,0.125
E04,E55,0.0
E04,E83,0.0
E04,E01,0.19047619047619047
E04,L72,0.0
E55,N35,0.0
E55,E83,0.0
E55,E01,0.0
E55,L72,0.0
F17,J40,0.0
F17,J20,0.0
F17,J98,0.0
F17,E66,0.011194029850746268
F17,E78,0.008333333333333333
F17,I10,0.006896551724137931
F17,K76,0.010101010101010102
F17,K80,0.0
F17,J44,0.03202846975088968
F17,J43,0.0
F17,J96,0.05714285714285714
F17,G45,0.0
G45,J40,0.0
G45,J98,0.0
G45,G43,0.008583690987124463
G45,G44,0.06666666666666667
G45,J43,0.0
G45,H81,0.0
J40,B00,0.0
J40,B99,0.0
J40,J31,0.0
J40,K52,0.0
J40,K08,0.0
J40,J43,0.0
J40,J98,0.0
J43,J20,0.030303030303030304
J43,J98,0.0
J43,J15,0.05
J43,J45,0.016282225237449117
J43,J96,0.0
J43,J44,0.05319148936170213
J98,J20,0.0
J98,J45,0.004137931034482759
J98,J96,0.0
E01,N35,0.0
E01,L72,0.0
L72,N35,0.0
N35,N10,0.0
N35,N11,0.0
N35,N30,0.0
N35,N39,0.0
N35,N76,0.0
N35,N81,0.0
N35,G83,0.0
N35,D72,0.0
N35,N32,0.0
A41,C91,0.0
A41,J18,0.0
A41,J96,0.0
A41,N17,0.0
A41,A04,0.0
A41,B35,0.0
J18,J96,0.04504504504504504
J18,N17,0.07534246575342465
J96,J20,0.0
J96,J15,0.0
J96,G40,0.0
J96,G41,0.0
J96,J45,0.002751031636863824
J96,J44,0.014652014652014652
J96,N17,0.0
N17,N18,0.20512820512820512
N17,E21,0.0136986301369863
N17,N19,0.08860759493670886
N17,I15,0.018867924528301886
A04,K80,0.0
A04,K81,0.0
A04,K82,0.0
A04,D72,0.0
A04,B35,0.0
B00,B99,0.014084507042253521
B00,J31,0.0
B00,K52,0.05263157894736842
B00,K08,0.0
B00,K07,0.0
B00,G35,0.004838709677419355
B99,J31,0.0
B99,K52,0.0
B99,K08,0.0
J31,K52,0.043478260869565216
J31,K08,0.0
J31,K07,0.0
J31,G83,0.0
J31,M54,0.0
J31,M76,0.0
K52,K08,0.0
K52,D50,0.0
K52,N92,0.0
K08,K02,0.0
K08,K04,0.0
K08,K10,0.0
K08,K12,0.0
K08,L03,0.0
G35,F32,0.0
G35,H46,0.0064516129032258064
G35,F34,0.0016129032258064516
G35,F48,0.015736766809728183
G83,N30,0.0
G83,N39,0.0
G83,N76,0.0
G83,M54,0.0
G83,M76,0.0
M54,M41,0.0
M54,M51,0.07352941176470588
M54,M76,0.0
D50,J15,0.0
D50,N92,0.034482758620689655
