icd_1,icd_2,ji
K35,K37,0.16666666666666666
K35,K56,0.0
K35,K65,0.0
K37,K56,0.0
K37,K65,0.0
K56,K65,0.045454545454545456
K56,D50,0.0
K56,K50,0.002188183807439825
K56,K63,0.0
K56,K59,0.03333333333333333
K56,K43,0.034482758620689655
K56,K66,0.017857142857142856
K56,A08,0.0
K65,K76,0.013157894736842105
K65,A41,0.0
K65,J80,0.0
K65,K59,0.0
D50,K50,0.004434589800443459
D50,K63,0.0
D50,D62,0.0
D50,K25,0.0
D50,K26,0.0
K50,A49,0.008928571428571428
K50,L50,0.002173913043478261
K50,K63,0.012072434607645875
K50,K29,0.0021645021645021645
K50,K51,0.21806853582554517
K50,K75,0.013636363636363636
K50,D73,0.002242152466367713
K50,E61,0.0
K50,N62,0.0022371364653243847
K63,C71,0.0
K63,K60,0.0
K63,D43,0.0
K63,D12,0.056179775280898875
K63,I84,0.0
K63,K62,0.0
K63,K64,0.011904761904761904
K63,D21,0.0
K63,D13,0.0
K63,N30,0.0
K63,D36,0.01282051282051282
K59,K29,0.0
K59,K60,0.0
K59,K51,0.002824858757062147
K59,K25,0.0
K59,K26,0.0
K59,K58,0.0449438202247191
K59,K31,0.0
K43,A08,0.0
K43,K40,0.024193548387096774
K43,K42,0.19047619047619047
K43,L72,0.0
K43,D17,0.0
K43,K66,0.0
K66,A08,0.0
K66,K40,0.007168458781362007
K66,K42,0.0
K66,N43,0.0
K66,L72,0.0
K66,D17,0.0
A08,A04,0.0
A08,F50,0.0
A08,I25,0.0029154518950437317
A08,I99,0.0
A08,B34,0.0
A08,C75,0.0
A08,F51,0.0
A08,F52,0.0
A08,G12,0.0
A08,G98,0.0
A08,K02,0.0
A08,K57,0.0
K76,A04,0.0
K76,D80,0.0
K76,D61,0.04395604395604396
K76,E61,0.0
K76,G00,0.046875
K76,H02,0.0
K76,H04,0.0
K76,J01,0.0
K76,K00,0.0
K76,M43,0.0125
K76,J35,0.010416666666666666
K76,J36,0.0
K76,E66,0.035483870967741936
K76,E78,0.011834319526627219
K76,F17,0.010101010101010102
K76,I10,0.06521739130434782
K76,E55,0.0
K76,K46,0.0
K76,K55,0.037383177570093455
K76,K75,0.012048192771084338
K76,L28,0.0
K76,D73,0.036585365853658534
K76,E51,0.0
K76,M89,0.0125
A41,C91,0.0
A41,N10,0.0
A41,J80,0.0
A41,B37,0.0
J80,B37,0.04
A04,F50,0.0
A04,I25,0.0029239766081871343
A04,I27,0.0
A04,I31,0.0
A04,D61,0.0
A04,E55,0.0
A04,K46,0.0
A04,K55,0.0
A04,K75,0.0
A04,N25,0.0
A04,N18,0.0
A04,B02,0.07142857142857142
A04,N03,0.0
A04,N39,0.0
A04,N30,0.0
I25,J01,0.002932551319648094
I25,K02,0.008528784648187633
I25,K04,0.0
I25,I50,0.13561643835616438
I25,I20,0.2907488986784141
I25,I21,0.011627906976744186
I25,B00,0.0029069767441860465
I25,I27,0.008264462809917356
I25,I31,0.002967359050445104
I25,I13,0.011627906976744186
I25,I30,0.002717391304347826
I25,I33,0.0
I25,I99,0.0058997050147492625
I25,B34,0.0
I25,C75,0.0029154518950437317
I25,F51,0.0029411764705882353
I25,F52,0.0
I25,G12,0.01078167115902965
I25,G98,0.005847953216374269
I25,G60,0.0
I25,H57,0.0
I25,F09,0.01282051282051282
I25,J41,0.0
I25,M46,0.005865102639296188
I25,D52,0.002840909090909091
I27,I34,0.012658227848101266
I27,I07,0.0
I27,I36,0.0
I27,I31,0.0
I27,J84,0.0
I31,J01,0.0
I31,I50,0.0020325203252032522
I31,I20,0.0
I31,I21,0.09090909090909091
I31,I13,0.0
I31,D52,0.0
I31,J41,0.0
I31,G60,0.0
I31,H57,0.0
I31,F09,0.0
I31,I99,0.0
I31,M46,0.0
D61,D69,0.053763440860215055
D61,D70,0.07142857142857142
D61,E55,0.0
D61,K46,0.0
D61,K55,0.0
D61,K75,0.0
E55,H04,0.0
E55,G91,0.0
E55,G82,0.0
E55,E11,0.0
E55,I13,0.0
E55,K75,0.0
E55,K46,0.0
E55,I60,0.0
E55,G61,0.0
E55,K55,0.0
E55,L89,0.0
E55,N08,0.010101010101010102
E55,I33,0.0
E55,L28,0.0
E55,H21,0.0
E55,E53,0.6842105263157895
K46,E66,0.003703703703703704
K46,G25,0.0
K46,G47,0.023255813953488372
K46,H66,0.0
K46,K40,0.06299212598425197
K46,D17,0.0
K46,K75,0.0
K46,K55,0.0
K55,K75,0.0
K75,A49,0.09090909090909091
K75,L50,0.03125
K75,E61,0.0
K75,E78,0.019417475728155338
K75,K29,0.029411764705882353
K75,K51,0.014326647564469915
K75,G45,0.0
K75,H81,0.017543859649122806
K75,I72,0.0
K75,I77,0.0
K75,G51,0.0
K75,D73,0.0
K75,N62,0.0
N25,N18,0.042105263157894736
N25,B99,0.0
N25,N03,0.0
N25,N05,0.0
N25,B02,0.0
N25,L84,0.0
N18,N10,0.0
N18,D64,0.08187134502923976
N18,N19,0.34444444444444444
N18,B99,0.0
N18,N03,0.010309278350515464
N18,N05,0.0
N18,B02,0.0
N18,B25,0.0
N18,H10,0.0
N18,I13,0.11235955056179775
N18,L84,0.010638297872340425
B02,N10,0.0
B02,C79,0.0
B02,J40,0.0
B02,J93,0.0
B02,J18,0.018018018018018018
B02,L72,0.0
B02,H10,0.0
B02,N03,0.0
B02,N05,0.03125
B02,B37,0.0
B02,J86,0.0
B02,I13,0.0
B02,B00,0.0625
B02,D72,0.0
B02,D73,0.0
B02,M84,0.0
B02,B25,0.09090909090909091
N03,B99,0.0
N03,N05,0.0625
N39,N10,0.0
N39,N43,0.0
N39,N12,0.041666666666666664
N39,N41,0.0
N39,N30,0.0
N39,I95,0.03571428571428571
N39,D29,0.0
N39,N02,0.0
N39,N40,0.05
N39,H10,0.0
N39,N42,0.0
N39,I65,0.0
N30,N10,0.0
N30,C71,0.0
N30,N43,0.0
