icd_1,icd_2,ji
K35,K37,0.16666666666666666
K50,K51,0.21806853582554517
K50,K75,0.013636363636363636
K63,D12,0.056179775280898875
K59,K58,0.0449438202247191
K43,K40,0.024193548387096774
K43,K42,0.19047619047619047
K76,D61,0.04395604395604396
K76,G00,0.046875
K76,E66,0.035483870967741936
K76,I10,0.06521739130434782
K76,K55,0.037383177570093455
K76,D73,0.036585365853658534
I25,I50,0.13561643835616438
I25,I20,0.2907488986784141
I25,I21,0.011627906976744186
D61,D69,0.053763440860215055
D61,D70,0.07142857142857142
E55,E53,0.6842105263157895
K46,K40,0.06299212598425197
K75,A49,0.09090909090909091
K75,K51,0.014326647564469915
N25,N18,0.042105263157894736
N18,D64,0.08187134502923976
N18,N19,0.34444444444444444
N18,I13,0.11235955056179775
F51,G47,0.046875
G12,G98,0.046511627906976744
C91,C83,0.16
C91,C85,0.1
C91,D80,0.036585365853658534
C82,C85,0.35555555555555557
C83,D80,0.07575757575757576
D80,J30,0.024691358024691357
N13,N21,0.1
K51,K25,0.0213903743315508
I13,I12,0.6875
E83,D75,0.08163265306122448
D64,N19,0.04838709677419355
D64,D75,0.09090909090909091
J36,J35,0.13043478260869565
F17,F10,0.08333333333333333
F17,F12,0.10526315789473684
F17,F20,0.012548262548262547
J42,J20,0.09523809523809523
J42,J30,0.037267080745341616
J42,L30,0.06
J42,J41,0.6666666666666666
J42,J43,0.06
M54,M79,0.24615384615384617
K25,K26,0.19047619047619047
K25,K20,0.04395604395604396
J30,L30,0.04093567251461988
J15,J18,0.03636363636363636
G47,E66,0.04745762711864407
I48,I42,0.05405405405405406
J41,J44,0.03717472118959108
L71,F05,0.08108108108108109
C71,D43,0.2
C71,D36,0.07692307692307693
J18,J96,0.04504504504504504
C80,D48,0.06521739130434782
H52,H33,0.00911854103343465
E66,I10,0.05459770114942529
E66,E11,0.08
H25,H40,0.008389261744966443
H34,H44,0.031578947368421054
C44,D23,0.05504587155963303
C44,L57,0.2826086956521739
C44,L82,0.09774436090225563
D22,C43,0.03260869565217391
D23,L57,0.04878048780487805
D23,L82,0.1
L57,L82,0.14705882352941177
L82,L21,0.06578947368421052
I60,E11,0.057971014492753624
I60,N08,0.07920792079207921
E11,E78,0.05789473684210526
E11,E13,0.1157556270096463
E11,G63,0.08256880733944955
E11,N08,0.07453416149068323
I50,I42,0.08689839572192513
I50,I44,0.015841584158415842
I50,I51,0.16496018202502843
I50,J81,0.01195219123505976
I50,I46,0.019417475728155338
E78,I72,0.038461538461538464
I10,I11,0.061068702290076333
I10,I61,0.039473684210526314
I10,I70,0.12048192771084337
I10,I72,0.03896103896103896
M48,M51,0.08108108108108109
M48,M47,0.08333333333333333
M51,M47,0.07692307692307693
E10,E14,0.14676616915422885
E10,E16,0.11403508771929824
E10,H36,0.14563106796116504
E14,E16,0.03278688524590164
H36,H35,0.06862745098039216
H36,E13,0.19935691318327975
E13,G63,0.045081967213114756
H16,G57,0.047619047619047616
H81,H90,0.049689440993788817
H81,H91,0.03164556962025317
I72,I71,0.08333333333333333
I72,I35,0.11392405063291139
H90,H91,0.15841584158415842
H91,H93,0.03482587064676617
F34,F10,0.053763440860215055
F10,F43,0.030927835051546393
F10,F12,0.1206896551724138
F10,F20,0.02857142857142857
F10,F60,0.03225806451612903
F10,F05,0.08163265306122448
F10,F13,0.06521739130434782
F10,F31,0.1773049645390071
F12,F11,0.26666666666666666
F12,F13,0.15789473684210525
F12,F19,0.15789473684210525
F12,F20,0.013358778625954198
F12,F15,0.15789473684210525
F12,F25,0.08333333333333333
F12,F31,0.12
F12,F14,0.2391304347826087
F20,F31,0.034872761545711596
N19,I11,0.0851063829787234
I11,I70,0.0641025641025641
I34,I42,0.024793388429752067
I34,I44,0.058823529411764705
I67,I70,0.059602649006622516
I70,I73,0.1388888888888889
I71,I35,0.08771929824561403
L97,L98,0.07692307692307693
L97,M86,0.15384615384615385
K20,K21,0.045454545454545456
K20,K22,0.06923076923076923
L98,M86,0.08333333333333333
K86,K80,0.037037037037037035
K86,K85,0.09803921568627451
K83,K80,0.04580152671755725
K83,K81,0.06060606060606061
K83,C22,0.08
K83,K82,0.06766917293233082
C22,K73,0.08771929824561403
C22,K74,0.06
C22,K82,0.0736196319018405
C24,C25,0.08333333333333333
K80,K81,0.12903225806451613
K80,K85,0.06422018348623854
F79,G40,0.034782608695652174
G41,G40,0.03938730853391685
G40,F70,0.036637931034482756
G40,F71,0.06896551724137931
L03,G63,0.1111111111111111
L03,M86,0.1111111111111111
F13,F11,0.3157894736842105
F13,F19,1.0
F13,F14,0.3157894736842105
F13,F15,1.0
F13,F31,0.08108108108108109
G20,G21,0.020905923344947737
I73,I74,0.047619047619047616
F81,F70,0.1337579617834395
F11,F19,0.3157894736842105
F11,F14,0.4074074074074074
F11,F15,0.3157894736842105
F19,F14,0.3157894736842105
F19,F15,1.0
M25,M77,0.14285714285714285
I20,I21,0.015625
J44,J62,0.018115942028985508
F31,F15,0.08108108108108109
F31,F25,0.07446808510638298
K21,K44,0.04918032786885246
K21,K22,0.06358381502890173
K44,K22,0.04938271604938271
K40,K42,0.03162055335968379
I84,K64,0.8421052631578947
N20,N21,0.1038961038961039
K70,K74,0.08602150537634409
B24,B20,0.9959839357429718
F14,F15,0.3157894736842105
F15,F25,0.17857142857142858
D68,I26,0.15384615384615385
D68,I80,0.24324324324324326
D68,I82,0.16129032258064516
I26,I80,0.14285714285714285
I26,I82,0.10810810810810811
I80,I82,0.15254237288135594
E04,E05,0.125
C15,C16,0.04878048780487805
C18,C20,0.140625
C92,D46,0.20588235294117646
I63,I64,0.1568627450980392
G30,F00,0.6305418719211823
M07,L40,0.040697674418604654
M81,M80,0.19230769230769232
