,Trajectory,Drug,Disease list,Disease Consensus Name List
0,424,Cilazapril,"['M41', 'M42', 'M43', 'M62', 'G54', 'M47', 'M48', 'M51']","['scoliosis', 'spinal osteochondrosis', 'deforming dorsopathies', 'disorders of muscle', 'nerve root and plexus disorders', 'spondylosis', 'spondylopathies', 'intervertebral disk disorders']"
1,10,Hydroflumethiazide,"['J20', 'J30', 'J42', 'L30', 'D80']","['acute bronchitis', 'vasomotor and allergic rhinitis', 'chronic bronchitis', 'dermatitis', 'immunodeficiency with antibody defects']"
2,72,Deoxycholic Acid,"['N18', 'D64', 'N19']","['chronic renal failure', 'anaemias', 'renal failure']"
3,373,Phenoxybenzamine,"['E10', 'E13', 'E16', 'I79']","['insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'disorders of pancreatic internal secretion', 'disorders of arteries, arterioles and capillaries in diseases classified elsewhere']"
4,270,Desonide,"['A49', 'K29', 'K50', 'K51', 'K75', 'D73', 'E61', 'L50', 'N62']","['bacterial infection of site', 'gastritis and duodenitis', ""crohn's disease [regional enteritis]"", 'ulcerative colitis', 'inflammatory liver diseases', 'diseases of spleen', 'deficiency of nutrient elements', 'urticaria', 'hypertrophy of breast']"
5,158,Insulin Glargine,"['K92', 'D62']","['diseases of digestive system', 'acute posthaemorrhagic anaemia']"
6,408,Diphenidol,"['K83', 'K85', 'K86', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82']","['diseases of biliary tract', 'acute pancreatitis', 'diseases of pancreas', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']"
7,215,Meclofenamic acid,"['H40', 'H25', 'H26']","['glaucoma', 'senile cataract', 'cataract']"
8,299,Bazedoxifene,"['G47', 'J30', 'F51']","['sleep disorders', 'vasomotor and allergic rhinitis', 'sleep disorders']"
9,447,Vernakalant,"['G47', 'G25']","['sleep disorders', 'extrapyramidal and movement disorders']"
10,301_353,Midazolam,"['G20', 'F02', 'G21']","[""parkinson's disease"", 'dementia in diseases classified elsewhere', 'secondary parkinsonism']"
11,118,Coagulation factor VII human,"['F70', 'D53', 'F10', 'F34', 'F05', 'G31', 'H10', 'K72', 'L21']","['mild mental retardation', 'nutritional anaemias', 'mental and behavioural disorders due to use of alcohol', 'persistent mood [affective] disorders', 'delirium', 'degenerative diseases of nervous system', 'conjunctivitis', 'hepatic failure', 'seborrhoeic dermatitis']"
12,443,Tripelennamine,"['D75', 'D64', 'D68', 'E21', 'E83']","['diseases of blood and blood-forming organs', 'anaemias', 'coagulation defects', 'hyperparathyroidism and disorders of parathyroid gland', 'disorders of mineral metabolism']"
13,291,Methacholine,"['L89', 'N08', 'E11', 'E55', 'G61', 'I13', 'I33', 'L28']","['decubitus ulcer', 'glomerular disorders in diseases classified elsewhere', 'non-insulin-dependent diabetes mellitus', 'vitamin d deficiency', 'inflammatory polyneuropathy', 'hypertensive heart and renal disease', 'acute and subacute endocarditis', 'lichen simplex chronicus and prurigo']"
14,131,Alclofenac,"['F11', 'F13', 'F33', 'F43', 'F60']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'recurrent depressive disorder', 'reaction to severe stress, and adjustment disorders', 'specific personality disorders']"
15,378,Denileukin diftitox,"['F10', 'F13', 'F31', 'F60', 'G31', 'D53', 'E51', 'K08']","['mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'bipolar affective disorder', 'specific personality disorders', 'degenerative diseases of nervous system', 'nutritional anaemias', 'thiamine deficiency', 'disorders of teeth and supporting structures']"
16,238,L-Arginine,"['K25', 'K26', 'K70', 'D52', 'D62', 'F05']","['gastric ulcer', 'duodenal ulcer', 'alcoholic liver disease', 'folate deficiency anaemia', 'acute posthaemorrhagic anaemia', 'delirium']"
17,79,Ketoprofen,"['B16', 'B18', 'F11', 'F12', 'F13', 'F14', 'F19', 'K73']","['acute hepatitis b', 'chronic viral hepatitis', 'mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'chronic hepatitis']"
18,67,Loperamide,"['B20', 'B24']","['human immunodeficiency virus [hiv] disease resulting in infectious and parasitic diseases', 'human immunodeficiency virus [hiv] disease']"
19,55,Venetoclax,"['F11', 'F13', 'F19']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances']"
20,106,Hexobarbital,"['M42', 'M51', 'M54']","['spinal osteochondrosis', 'intervertebral disk disorders', 'dorsalgia']"
21,110,Prednisolone,"['N18', 'D64']","['chronic renal failure', 'anaemias']"
22,79,Pitavastatin,"['B16', 'B18', 'F11', 'F12', 'F13', 'F14', 'F19', 'K73']","['acute hepatitis b', 'chronic viral hepatitis', 'mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'chronic hepatitis']"
23,370,Mersalyl,"['D72', 'C83', 'C85', 'C91']","['disorders of white blood cells', ""diffuse non-hodgkin's lymphoma"", ""specified types of non-hodgkin's lymphoma"", 'lymphoid leukaemia']"
24,82_87,Acetaminophen,"['F20', 'F25']","['schizophrenia', 'schizoaffective disorders']"
25,122_194,Nitrazepam,"['E10', 'E16', 'H36']","['insulin-dependent diabetes mellitus', 'disorders of pancreatic internal secretion', 'retinal disorders in diseases classified elsewhere']"
26,323,DL-Methylephedrine,"['K60', 'I84', 'D21']","['fissure and fistula of anal and rectal regions', 'haemorrhoids', 'benign neoplasms of connective and soft tissue']"
27,348,Hyaluronidase,"['N32', 'N40', 'N41', 'N21', 'N42']","['disorders of bladder', 'hyperplasia of prostate', 'inflammatory diseases of prostate', 'calculus of lower urinary tract', 'disorders of prostate']"
28,333_412,Opicapone,"['K80', 'K81', 'K82']","['cholelithiasis', 'cholecystitis', 'diseases of gallbladder']"
29,266,Cephalexin,"['N39', 'I95']","['disorders of urinary system', 'hypotension']"
30,55,Desvenlafaxine,"['F11', 'F13', 'F19']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances']"
31,408,Moroctocog alfa,"['K83', 'K85', 'K86', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82']","['diseases of biliary tract', 'acute pancreatitis', 'diseases of pancreas', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']"
32,200,Fludeoxyglucose F-18,"['F09', 'F63', 'F03', 'F10', 'G31', 'L21', 'D52', 'E51', 'E53', 'I62', 'J39', 'K02', 'K12', 'M46']","['organic or symptomatic mental disorder', 'habit and impulse disorders', 'dementia', 'mental and behavioural disorders due to use of alcohol', 'degenerative diseases of nervous system', 'seborrhoeic dermatitis', 'folate deficiency anaemia', 'thiamine deficiency', 'deficiency of b group vitamins', 'nontraumatic intracranial haemorrhage', 'diseases of upper respiratory tract', 'dental caries', 'stomatitis and related lesions', 'inflammatory spondylopathies']"
33,262,Carbamazepine,"['I25', 'I13', 'I30', 'I33', 'K04']","['chronic ischaemic heart disease', 'hypertensive heart and renal disease', 'acute pericarditis', 'acute and subacute endocarditis', 'diseases of pulp and periapical tissues']"
34,85,Dexfenfluramine,"['F41', 'F45']","['anxiety disorders', 'somatoform disorders']"
35,292,Desonide,"['E10', 'E13', 'E16']","['insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'disorders of pancreatic internal secretion']"
36,238,Methoxsalen,"['K25', 'K26', 'K70', 'D52', 'D62', 'F05']","['gastric ulcer', 'duodenal ulcer', 'alcoholic liver disease', 'folate deficiency anaemia', 'acute posthaemorrhagic anaemia', 'delirium']"
37,383,Triflusal,"['G60', 'H57', 'F09', 'I25', 'I99', 'J01', 'J41', 'M46']","['hereditary and idiopathic neuropathy', 'disorders of eye and adnexa', 'organic or symptomatic mental disorder', 'chronic ischaemic heart disease', 'disorders of circulatory system', 'acute sinusitis', 'simple and mucopurulent chronic bronchitis', 'inflammatory spondylopathies']"
38,131,Bromfenac,"['F11', 'F13', 'F33', 'F43', 'F60']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'recurrent depressive disorder', 'reaction to severe stress, and adjustment disorders', 'specific personality disorders']"
39,274,Linezolid,"['J47', 'J44', 'A16', 'B44', 'D52', 'J04', 'J39', 'L28', 'M00']","['bronchiectasis', 'chronic obstructive pulmonary disease', 'respiratory tuberculosis', 'aspergillosis', 'folate deficiency anaemia', 'acute laryngitis and tracheitis', 'diseases of upper respiratory tract', 'lichen simplex chronicus and prurigo', 'pyogenic arthritis']"
40,134,Fostamatinib,"['M42', 'M51', 'M54', 'G54', 'M62']","['spinal osteochondrosis', 'intervertebral disk disorders', 'dorsalgia', 'nerve root and plexus disorders', 'disorders of muscle']"
41,273,Levetiracetam,"['B37', 'C34', 'C38', 'C71', 'D43', 'J82', 'J93']","['candidiasis', 'malignant neoplasm of bronchus and lung', 'malignant neoplasm of heart, mediastinum and pleura', 'malignant neoplasm of brain', 'neoplasm of uncertain or unknown behaviour of brain and central nervous system', 'pulmonary eosinophilia', 'pneumothorax']"
42,2,Safinamide,"['A04', 'A08', 'F50']","['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']"
43,79,Pargyline,"['B16', 'B18', 'F11', 'F12', 'F13', 'F14', 'F19', 'K73']","['acute hepatitis b', 'chronic viral hepatitis', 'mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'chronic hepatitis']"
