,Trajectory,Drug,Disease list,Disease Consensus Name List,PubMed count,PubMed count avg
0,424,Cilazapril,"['M41', 'M42', 'M43', 'M62', 'G54', 'M47', 'M48', 'M51']","['scoliosis', 'spinal osteochondrosis', 'deforming dorsopathies', 'disorders of muscle', 'nerve root and plexus disorders', 'spondylosis', 'spondylopathies', 'intervertebral disk disorders']","[0, 0, 0, 23, 0, 0, 0, 0]",2.875
1,10,Hydroflumethiazide,"['J20', 'J30', 'J42', 'L30', 'D80']","['acute bronchitis', 'vasomotor and allergic rhinitis', 'chronic bronchitis', 'dermatitis', 'immunodeficiency with antibody defects']","[0, 0, 0, 4, 0]",0.8
2,72,Deoxycholic Acid,"['N18', 'D64', 'N19']","['chronic renal failure', 'anaemias', 'renal failure']","[17, 54, 85]",52.0
3,373,Phenoxybenzamine,"['E10', 'E13', 'E16', 'I79']","['insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'disorders of pancreatic internal secretion', 'disorders of arteries, arterioles and capillaries in diseases classified elsewhere']","[4, 0, 0, 0]",1.0
4,270,Desonide,"['A49', 'K29', 'K50', 'K51', 'K75', 'D73', 'E61', 'L50', 'N62']","['bacterial infection of site', 'gastritis and duodenitis', ""crohn's disease [regional enteritis]"", 'ulcerative colitis', 'inflammatory liver diseases', 'diseases of spleen', 'deficiency of nutrient elements', 'urticaria', 'hypertrophy of breast']","[0, 0, 0, 0, 0, 0, 0, 2, 0]",0.2222222222222222
5,158,Insulin Glargine,"['K92', 'D62']","['diseases of digestive system', 'acute posthaemorrhagic anaemia']","[30, 0]",15.0
6,408,Diphenidol,"['K83', 'K85', 'K86', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82']","['diseases of biliary tract', 'acute pancreatitis', 'diseases of pancreas', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
7,215,Meclofenamic acid,"['H40', 'H25', 'H26']","['glaucoma', 'senile cataract', 'cataract']","[4, 0, 1]",1.6666666666666667
8,299,Bazedoxifene,"['G47', 'J30', 'F51']","['sleep disorders', 'vasomotor and allergic rhinitis', 'sleep disorders']","[5, 98, 5]",36.0
9,447,Vernakalant,"['G47', 'G25']","['sleep disorders', 'extrapyramidal and movement disorders']","[0, 0]",0.0
10,301_353,Midazolam,"['G20', 'F02', 'G21']","[""parkinson's disease"", 'dementia in diseases classified elsewhere', 'secondary parkinsonism']","[14, 0, 1]",5.0
11,118,Coagulation factor VII human,"['F70', 'D53', 'F10', 'F34', 'F05', 'G31', 'H10', 'K72', 'L21']","['mild mental retardation', 'nutritional anaemias', 'mental and behavioural disorders due to use of alcohol', 'persistent mood [affective] disorders', 'delirium', 'degenerative diseases of nervous system', 'conjunctivitis', 'hepatic failure', 'seborrhoeic dermatitis']","[2, 7, 1, 2, 2, 163, 0]",25.285714285714285
12,443,Tripelennamine,"['D75', 'D64', 'D68', 'E21', 'E83']","['diseases of blood and blood-forming organs', 'anaemias', 'coagulation defects', 'hyperparathyroidism and disorders of parathyroid gland', 'disorders of mineral metabolism']","[12, 1, 1, 0, 0]",2.8
13,291,Methacholine,"['L89', 'N08', 'E11', 'E55', 'G61', 'I13', 'I33', 'L28']","['decubitus ulcer', 'glomerular disorders in diseases classified elsewhere', 'non-insulin-dependent diabetes mellitus', 'vitamin d deficiency', 'inflammatory polyneuropathy', 'hypertensive heart and renal disease', 'acute and subacute endocarditis', 'lichen simplex chronicus and prurigo']","[1, 0, 19, 11, 1, 59, 0, 1]",11.5
14,131,Alclofenac,"['F11', 'F13', 'F33', 'F43', 'F60']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'recurrent depressive disorder', 'reaction to severe stress, and adjustment disorders', 'specific personality disorders']","[0, 0, 0, 0, 0]",0.0
15,378,Denileukin diftitox,"['F10', 'F13', 'F31', 'F60', 'G31', 'D53', 'E51', 'K08']","['mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'bipolar affective disorder', 'specific personality disorders', 'degenerative diseases of nervous system', 'nutritional anaemias', 'thiamine deficiency', 'disorders of teeth and supporting structures']","[0, 0, 0, 0, 0, 0, 0, 5]",0.625
16,238,L-Arginine,"['K25', 'K26', 'K70', 'D52', 'D62', 'F05']","['gastric ulcer', 'duodenal ulcer', 'alcoholic liver disease', 'folate deficiency anaemia', 'acute posthaemorrhagic anaemia', 'delirium']","[329, 28, 223, 4, 0]",116.8
17,79,Ketoprofen,"['B16', 'B18', 'F11', 'F12', 'F13', 'F14', 'F19', 'K73']","['acute hepatitis b', 'chronic viral hepatitis', 'mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'chronic hepatitis']","[0, 6, 8, 0, 62, 0, 3, 9]",11.0
18,67,Loperamide,"['B20', 'B24']","['human immunodeficiency virus [hiv] disease resulting in infectious and parasitic diseases', 'human immunodeficiency virus [hiv] disease']","[37, 17]",27.0
