,Unnamed: 0.1,Unnamed: 0,ICD,Drug,Consensus Name,Disease Name,PubMed_query_name,PubMed count
0,0,0,G20,Rabeprazole,parkinson's disease,parkinson's disease,parkinson's disease,2.0
1,1,1,E79,Moclobemide,disorders of purine and pyrimidine metabolism,"disorders of purine and pyrimidine metabolism;hyperuricaemia without signs of inflammatory arthritis and tophaceous disease;lesch-nyhan syndrome;other disorders of purine and pyrimidine metabolism;disorder of purine and pyrimidine metabolism, unspecified",disorders of purine and pyrimidine metabolism,7.0
2,2,2,N05,Remifentanil,minor glomerular abnormality,unspecified nephritic syndrome;minor glomerular abnormality;focal and segmental glomerular lesions;diffuse membranous glomerulonephritis;diffuse mesangial proliferative glomerulonephritis;diffuse endocapillary proliferative glomerulonephritis;diffuse mesangiocapillary glomerulonephritis;dense deposit disease;diffuse crescentic glomerulonephritis;other;unspecified,minor glomerular abnormality,0.0
3,3,3,I48,Technetium Tc-99m tetrofosmin,atrial fibrillation and flutter,"atrial fibrillation and flutter;paroxysmal atrial fibrillation;persistent atrial fibrillation;chronic atrial fibrillation;typical atrial flutter;atypical atrial flutter;atrial fibrillation and atrial flutter,  unspecified",atrial fibrillation and flutter,3.0
4,4,4,E46,Acetylcysteine,unspecified protein-energy malnutrition,unspecified protein-energy malnutrition,protein-energy malnutrition,4.0
5,5,5,D05,Fospropofol,carcinoma in situ of breast,"carcinoma in situ of breast;lobular carcinoma in situ;intraductal carcinoma in situ;other carcinoma in situ of breast;carcinoma in situ of breast, unspecified",carcinoma in situ of breast,0.0
6,6,6,B27,Bioallethrin,infectious mononucleosis,"infectious mononucleosis;gammaherpesviral mononucleosis;cytomegaloviral mononucleosis;other infectious mononucleosis;infectious mononucleosis, unspecified",infectious mononucleosis,0.0
7,7,7,E73,Halothane,lactose intolerance,"lactose intolerance;congenital lactase deficiency;secondary lactase deficiency;other lactose intolerance;lactose intolerance, unspecified",lactose intolerance,0.0
8,8,8,M35,Clozapine,systemic involvement of connective tissue,"other systemic involvement of connective tissue;sicca syndrome [sjogren];other overlap syndromes;behcet's disease;polymyalgia rheumatica;diffuse (eosinophilic) fasciitis;multifocal fibrosclerosis;relapsing panniculitis [weber-christian];hypermobility syndrome;other specified systemic involvement of connective tissue;systemic involvement of connective tissue, unspecified",systemic involvement of connective tissue,0.0
9,9,9,M00,Thiothixene,pyogenic arthritis,"pyogenic arthritis;staphylococcal arthritis and polyarthritis;pneumococcal arthritis and polyarthritis;other streptococcal arthritis and polyarthritis;arthritis and polyarthritis due to other specified bacterial agents;pyogenic arthritis, unspecified",pyogenic arthritis,0.0
10,10,10,G25,Risedronate,extrapyramidal and movement disorders,"other extrapyramidal and movement disorders;essential tremor;drug-induced tremor;other specified forms of tremor;myoclonus;drug-induced chorea;other chorea;drug-induced tics and other tics of organic origin;other specified extrapyramidal and movement disorders;extrapyramidal and movement disorder, unspecified",extrapyramidal and movement disorders,6.0
11,11,11,J61,Tezacaftor,pneumoconiosis due to asbestos and mineral fibres,pneumoconiosis due to asbestos and other mineral fibres,pneumoconiosis due to asbestos and mineral fibres,0.0
12,12,12,E78,Carteolol,disorders of lipoprotein metabolism and lipidaemias,"disorders of lipoprotein metabolism and other lipidaemias;pure hypercholesterolaemia;pure hyperglyceridaemia;mixed hyperlipidaemia;hyperchylomicronaemia;other hyperlipidaemia;hyperlipidaemia, unspecified;lipoprotein deficiency;other disorders of lipoprotein metabolism;disorder of lipoprotein metabolism, unspecified",disorders of lipoprotein metabolism and lipidaemias,2.0
13,13,13,N12,Panitumumab,"tubulo-interstitial nephritis, not specified as acute or chronic","tubulo-interstitial nephritis, not specified as acute or chronic",tubulo-interstitial nephritis,0.0
14,14,14,F99,Amifampridine,"mental disorder, not otherwise specified","mental disorder, not otherwise specified",mental disorder,4.0
15,15,15,H40,Flurazepam,glaucoma,"glaucoma;glaucoma suspect;primary open-angle glaucoma;primary angle-closure glaucoma;glaucoma secondary to eye trauma;glaucoma secondary to eye inflammation;glaucoma secondary to other eye disorders;glaucoma secondary to drugs;other glaucoma;glaucoma, unspecified",glaucoma,0.0
16,16,16,K20,Acetylcholine,oesophagitis,oesophagitis,oesophagitis,326.0
17,17,17,G73,Gabapentin,disorders of myoneural junction and muscle in diseases classified elsewhere,disorders of myoneural junction and muscle in diseases classified elsewhere;myasthenic syndromes in endocrine diseases;eaton-lambert syndrome;other myasthenic syndromes in neoplastic disease;myasthenic syndromes in other diseases classified elsewhere;myopathy in infectious and parasitic diseases classified elsewhere;myopathy in endocrine diseases;myopathy in metabolic diseases;myopathy other diseases classified elsewhere,disorders of myoneural junction and muscle in diseases classified elsewhere,2.0
18,18,18,C32,Oxandrolone,malignant neoplasm of larynx,"malignant neoplasm of larynx;glottis;supraglottis;subglottis;laryngeal cartilage;overlapping lesion of larynx;larynx, unspecified",malignant neoplasm of larynx,0.0
19,19,19,J46,Dextromethorphan,status asthmaticus,status asthmaticus,status asthmaticus,0.0
20,20,20,L63,Interferon alfa-n1,alopecia areata,"alopecia areata;alopecia (capitis) totalis;alopecia universalis;ophiasis;other alopecia areata;alopecia areata, unspecified",alopecia areata,0.0
21,21,21,J62,"Antihemophilic Factor (Recombinant), PEGylated",pneumoconiosis due to dust containing silica,pneumoconiosis due to dust containing silica;pneumoconiosis due to talc dust;pneumoconiosis due to other dust containing silica,pneumoconiosis due to dust containing silica,0.0
22,22,22,E85,Raloxifene,amyloidosis,"amyloidosis;nonneuropathic heredofamilial amyloidosis;neuropathic heredofamilial amyloidosis;heredofamilial amyloidosis, unspecified;secondary systemic amyloidosis;organ-limited amyloidosis;other amyloidosis;amyloidosis, unspecified",amyloidosis,0.0
23,23,23,K80,Raloxifene,cholelithiasis,cholelithiasis;calculus of gallbladder with acute cholecystitis;calculus of gallbladder with other cholecystitis;calculus of gallbladder without cholecystitis;calculus of bile duct with cholangitis;calculus of bile duct with cholecystitis;calculus of bile duct without cholangitis or cholecystitis;other cholelithiasis,cholelithiasis,0.0
24,24,24,D46,Risperidone,myelodysplastic syndromes,"myelodysplastic syndromes;refractory anaemia without sideroblasts, so stated;refractory anaemia with sideroblasts;refractory anaemia with excess of blasts;refractory anaemia with excess of blasts with transformation;refractory anaemia, unspecified;refractory anaemia with multi-lineage dysplasia;myelodysplastic syndrome with isolated del(5q) chromosomal abnormality;other myelodysplastic syndromes;myelodysplastic syndrome, unspecified",myelodysplastic syndromes,0.0
25,25,25,M87,Tolvaptan,osteonecrosis,"osteonecrosis;idiopathic aseptic necrosis of bone;osteonecrosis due to drugs;osteonecrosis due to previous trauma;other secondary osteonecrosis;other osteonecrosis;osteonecrosis, unspecified",osteonecrosis,0.0
26,26,26,L91,Diflorasone,hypertrophic disorders of skin,"hypertrophic disorders of skin;keloid scar;other hypertrophic disorders of skin;hypertrophic disorder of skin, unspecified",hypertrophic disorders of skin,0.0
27,27,27,K52,Nefazodone,non-infective gastro-enteritis and colitis,"other non-infective gastro-enteritis and colitis;gastro-enteritis and colitis due to radiation;toxic gastro-enteritis and colitis;allergic and dietetic gastro-enteritis and colitis;indeterminate colitis;other specified non-infective gastro-enteritis and colitis;non-infective gastro-enteritis and colitis, unspecified",non-infective gastro-enteritis and colitis,0.0
28,28,28,B02,Crisaborole,zoster [herpes zoster],zoster [herpes zoster];zoster encephalitis;zoster meningitis;zoster with other nervous system involvement;zoster ocular disease;disseminated zoster;zoster with other complications;zoster without complication,zoster [herpes zoster],0.0
29,29,29,E50,Pentoxifylline,vitamin a deficiency,"vitamin a deficiency;vitamin a deficiency with conjunctival xerosis;vitamin a deficiency with bitot's spot and conjunctival xerosis;vitamin a deficiency with corneal xerosis;vitamin a deficiency with corneal ulceration and xerosis;vitamin a deficiency with keratomalacia;vitamin a deficiency with night blindness;vitamin a deficiency with xerophthalmic scars of cornea;other ocular manifestations of vitamin a deficiency;other manifestations of vitamin a deficiency;vitamin a deficiency, unspecified",vitamin a deficiency,0.0
30,30,30,B18,Chlorphenamine,chronic viral hepatitis,"chronic viral hepatitis;chronic viral hepatitis b with delta-agent;chronic viral hepatitis b without delta-agent;chronic viral hepatitis c;other chronic viral hepatitis;chronic viral hepatitis, unspecified",chronic viral hepatitis,1.0
31,31,31,J41,Dimetacrine,simple and mucopurulent chronic bronchitis,simple and mucopurulent chronic bronchitis;simple chronic bronchitis;mucopurulent chronic bronchitis;mixed simple and mucopurulent chronic bronchitis,simple and mucopurulent chronic bronchitis,0.0
32,32,32,A02,Dextroamphetamine,salmonella infections,"other salmonella infections;salmonella gastro-enteritis;salmonella septicaemia;localised salmonella infections;other specified salmonella infections;salmonella infection, unspecified",salmonella infections,0.0
33,33,33,I61,Delamanid,intracerebral haemorrhage,"intracerebral haemorrhage;intracerebral haemorrhage in hemisphere, subcortical;intracerebral haemorrhage in hemisphere, cortical;intracerebral haemorrhage in hemisphere, unspecified;intracerebral haemorrhage in brain stem;intracerebral haemorrhage in cerebellum;intracerebral haemorrhage, intraventricular;intracerebral haemorrhage, multiple localised;other intracerebral haemorrhage;intracerebral haemorrhage, unspecified",intracerebral haemorrhage,0.0
