Unnamed: 0,Trajectory,Disease list,Drug,FDR,Disease Consensus Name List,Result,reasoning_short,Extracted_Symptom,Harmonized_Symptom
0,1,"['K56', 'K59', 'K60']",Tramadol,0.000752578,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']",1,"Tramadol is used for pain management in conditions like paralytic ileus and intestinal obstruction, and for analgesia in fissure and fistula; indirect clinical support (observational/accepted practice).",pain management in conditions like paralytic ileus and intestinal obstruction,analgesia in conditions like paralytic ileus and intestinal obstruction
1,1,"['K56', 'K59', 'K60']",Morphine,1.085874224225454e-05,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']",1,"Morphine is commonly used for pain management in conditions like paralytic ileus and intestinal obstruction, and for managing symptoms in anal and rectal regions; indirect clinical support (observational/accepted practice).",pain management in conditions like paralytic ileus and intestinal obstruction,analgesia in conditions like paralytic ileus and intestinal obstruction
2,1,"['K56', 'K59', 'K60']",Codeine,0.000395848,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']",1,"Codeine is used for pain management in conditions like paralytic ileus and intestinal obstruction, and for analgesia in fissure and fistula; indirect clinical support (observational/accepted practice). Not specific to the full combo.",pain management in conditions like paralytic ileus and intestinal obstruction,analgesia in conditions like paralytic ileus and intestinal obstruction
3,1,"['K56', 'K59', 'K60']",Amitriptyline,0.000713087,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']",1,"Amitriptyline is used for managing chronic pain and neuropathic pain, which can be relevant for conditions like fissure and fistula of anal and rectal regions; indirect clinical support (observational/accepted practice).",chronic pain and neuropathic pain,neuropathic pain
6,1,"['K56', 'K59', 'K60']",Pethidine,0.036939322,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']",1,"Pethidine is used for pain management in conditions like paralytic ileus and intestinal obstruction, and for analgesia in fissure and fistula; indirect clinical support (observational/accepted practice).",pain management in conditions like paralytic ileus and intestinal obstruction,analgesia in conditions like paralytic ileus and intestinal obstruction
13,1,"['K56', 'K59', 'K60']",Naltrexone,6.895780978528495e-05,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']",1,"Used for managing opioid-related disorders, which can be relevant to paralytic ileus and intestinal obstruction without hernia; indirect support for use in related conditions.",opioid-related disorders,opioid-related disorders
15,1,"['K56', 'K59', 'K60']",Alfentanil,0.009050185,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']",1,Used for pain management in surgical settings; indirect support for managing related symptoms like discomfort or anxiety.,related symptoms like discomfort or anxiety,related symptoms like discomfort or anxiety
17,1,"['K56', 'K59', 'K60']",Loperamide,5.914831592496349e-06,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']",1,"Loperamide is commonly used for managing diarrhea in paralytic ileus and intestinal obstruction, and for treating functional intestinal disorders; indirect clinical support (observational/accepted practice). Not specific to fissure and fistula.",diarrhea in paralytic ileus and intestinal obstruction,diarrhea in paralytic ileus and intestinal obstruction
19,1,"['K56', 'K59', 'K60']",Levorphanol,5.548286851467272e-06,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']",1,"Levorphanol is used for pain management in conditions like paralytic ileus and intestinal obstruction, which aligns with the trajectory's focus on pain and discomfort. Evidence is based on accepted practice and clinical experience.",pain management in conditions like paralytic ileus and intestinal obstruction,analgesia in conditions like paralytic ileus and intestinal obstruction
21,1,"['K56', 'K59', 'K60']",Ondansetron,0.020412498,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']",1,"Ondansetron is commonly used for nausea and vomiting, which can be symptoms in paralytic ileus and intestinal obstruction; indirect clinical support (observational/accepted practice). Not specific to the full combo.",nausea and vomiting,nausea
22,1,"['K56', 'K59', 'K60']",Buprenorphine,2.713297875772996e-05,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']",1,"Used for managing opioid-related disorders, which can be relevant to paralytic ileus and intestinal obstruction without hernia; indirect support from observational studies and accepted practice.",opioid-related disorders,opioid-related disorders
24,1,"['K56', 'K59', 'K60']",Diphenoxylate,0.00087418,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']",1,Used for managing diarrhea in conditions like paralytic ileus and intestinal obstruction; indirect support for symptom management in the trajectory.,diarrhea in conditions like paralytic ileus and intestinal obstruction,diarrhea in paralytic ileus and intestinal obstruction
28,1,"['K56', 'K59', 'K60']",Ketamine,0.001623982,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']",1,"Ketamine is used for analgesia in conditions like paralytic ileus and intestinal obstruction, and for managing pain in fissure and fistula; indirect clinical support (observational/accepted practice).",analgesia in conditions like paralytic ileus and intestinal obstruction,analgesia in conditions like paralytic ileus and intestinal obstruction
30,1,"['K56', 'K59', 'K60']",Tapentadol,0.000395848,"['paralytic ileus and intestinal obstruction without hernia', 'functional intestinal disorders', 'fissure and fistula of anal and rectal regions']",1,"Tapentadol is used for pain management in conditions like paralytic ileus and intestinal obstruction, with evidence from RCTs and observational studies supporting its use for these symptoms.",pain management in conditions like paralytic ileus and intestinal obstruction,analgesia in conditions like paralytic ileus and intestinal obstruction
