	Dis A	Dis B
0	K56	K59
1	K56	K60
2	K56	K50
3	K56	K63
4	K56	K65
5	K56	C48
6	K56	K66
7	K59	K60
8	K59	B37
9	K59	E65
10	K59	L90
11	K59	N62
12	K59	H10
13	K59	F13
14	K59	F33
15	K59	F41
16	K59	F43
17	K59	F45
18	K60	I84
19	K60	K62
20	K60	K64
21	A08	A38
22	A08	H61
23	A08	J38
24	A38	H61
25	A38	J38
26	H61	J38
27	H61	D68
28	H61	H74
29	H61	J34
30	H61	J35
31	H61	J39
32	H61	H72
33	J38	F98
34	J38	J11
35	J38	L50
36	J38	H73
37	J38	J00
38	J38	J04
39	J38	J12
40	J38	D34
41	J38	E04
42	J38	E55
43	J38	E83
44	J38	F17
45	J38	G45
46	J38	J40
47	J38	J43
48	J38	J98
49	J38	E01
50	J38	L72
51	J38	N35
52	A41	C91
53	A41	J18
54	A41	J96
55	A41	N17
56	A41	A04
57	A41	B35
58	A41	K65
59	B00	B99
60	B00	J31
61	B00	J40
62	B00	K52
63	B00	K08
64	B00	J35
65	B00	K07
66	B00	G35
67	B99	J31
68	B99	J40
69	B99	K52
70	B99	K08
71	J31	J40
72	J31	K52
73	J31	K08
74	J31	J35
75	J31	K07
76	J31	G83
77	J31	H10
78	J31	M54
79	J31	M76
80	J31	J04
81	J40	K52
82	J40	K08
83	J40	F17
84	J40	G45
85	J40	J43
86	J40	J98
87	K52	K08
88	K52	D50
89	K52	K50
90	K52	N92
91	K08	F41
92	K08	K02
93	K08	K04
94	K08	K10
95	K08	K12
96	K08	L03
97	B27	J03
98	B27	J36
99	J03	J36
100	J03	J35
101	N10	N12
102	N10	N13
103	N10	N20
104	N10	N35
105	N10	N39
106	N10	N76
107	N10	N81
108	N10	N30
109	N12	N30
110	N12	N39
111	N12	N73
112	N12	N76
113	J20	J98
114	J20	J00
115	J20	F17
116	J20	J44
117	J20	J43
118	J20	J96
119	J98	F17
120	J98	G45
121	J98	J43
122	J98	J45
123	J98	J96
124	D50	J15
125	D50	K50
126	D50	N92
127	D50	E03
128	D50	D64
129	D50	E06
130	D50	K51
131	D50	E61
132	D50	D62
133	J15	F44
134	J15	G40
135	J15	J43
136	J15	J96
137	D64	D69
138	D64	D70
139	D64	E03
140	D64	E06
141	D64	K51
142	D69	D70
143	D69	D63
144	D69	D61
145	D69	D46
146	D70	C79
147	D70	D61
148	D70	M84
149	D70	C38
150	D70	C78
151	D70	C80
152	D70	D63
