	Dis A	Dis B
0	K35	K37
1	K35	K56
2	K35	K65
3	K37	K56
4	K37	K65
5	K56	K65
6	K56	D50
7	K56	K50
8	K56	K63
9	K56	K59
10	K56	K43
11	K56	K66
12	K56	A08
13	K65	K76
14	K65	A41
15	K65	J80
16	K65	K59
17	A04	A08
18	A04	F50
19	A04	I25
20	A04	I27
21	A04	I31
22	A04	K76
23	A04	D61
24	A04	E55
25	A04	K46
26	A04	K55
27	A04	K75
28	A04	N25
29	A04	N18
30	A04	B02
31	A04	N03
32	A04	N39
33	A04	N30
34	A08	F50
35	A08	I25
36	A08	I99
37	A08	B34
38	A08	C75
39	A08	F51
40	A08	F52
41	A08	G12
42	A08	G98
43	A08	K02
44	A08	K57
45	A08	K43
46	A08	K66
47	H73	K92
48	K92	D62
49	A41	C91
50	A41	N10
51	A41	J80
52	A41	B37
53	C91	N10
54	C91	C82
55	C91	C83
56	C91	C85
57	C91	D72
58	C91	D80
59	N10	N13
60	N10	N28
61	N10	K51
62	N10	D73
63	N10	J04
64	N10	K29
65	N10	A69
66	N10	D16
67	N10	D21
68	N10	L50
69	N10	N62
70	N10	N18
71	N10	B02
72	N10	B25
73	N10	H10
74	N10	I13
75	N10	N05
76	N10	N30
77	N10	N43
78	N10	D29
79	N10	N39
80	N10	N02
81	N10	N40
82	N10	N41
83	N10	N42
84	A49	B27
85	A49	J03
86	A49	J11
87	A49	J38
88	A49	L50
89	A49	K29
90	A49	K50
91	A49	K51
92	A49	K75
93	A49	D73
94	A49	E61
95	A49	N62
96	A49	E83
97	A49	D64
98	A49	E03
99	A49	E21
100	B27	J03
101	B27	J11
102	B27	J38
103	B27	L50
104	B27	J36
105	B27	J35
106	J03	J11
107	J03	J38
108	J03	L50
109	J03	J36
110	J03	J35
111	J11	J38
112	J11	L50
113	J11	H60
114	J11	H66
115	J11	K04
116	J38	L50
117	J38	C32
118	J38	J37
119	J38	F17
120	J38	J01
121	J38	J42
122	J38	J43
123	J38	J93
124	J38	J02
125	J38	C13
126	L50	M54
127	L50	G54
128	L50	M71
129	L50	M76
130	L50	K29
131	L50	K50
132	L50	K51
133	L50	K75
134	L50	D73
135	L50	E61
136	L50	N62
137	L50	J04
138	L50	A69
139	L50	D16
140	L50	D21
141	D50	K50
142	D50	K63
143	D50	D62
144	D50	K25
145	D50	K26
146	K50	K63
147	K50	K29
148	K50	K51
149	K50	K75
150	K50	D73
151	K50	E61
152	K50	N62
153	J20	J30
154	J20	J42
155	J20	L30
156	J20	D80
157	J20	F17
158	J20	G45
159	J20	J15
160	J20	J93
161	J20	L05
162	J30	J42
163	J30	L30
164	J30	D80
165	J30	G47
166	J30	F51
167	J30	I48
168	J30	A48
169	J30	C76
170	J30	H18
171	J30	H61
172	J30	I33
173	J30	K04
174	J42	L30
175	J42	D80
176	J42	D52
177	J42	J41
178	J42	L71
179	J42	F17
180	J42	J13
181	J42	J39
182	J42	K04
183	J42	K08
184	J42	K12
185	J42	L08
186	J42	N62
187	J42	J01
188	J42	J37
189	J42	J43
190	J42	J93
191	J42	J02
192	L30	D80
193	L30	B35
194	L30	I89
195	D80	E61
196	D80	G00
197	D80	H02
198	D80	H04
199	D80	J01
200	D80	K00
201	D80	K76
202	D80	M43
203	D80	J35
204	D80	J36
205	D80	C82
206	D80	C83
207	D80	C85
208	D80	D72
209	C71	C79
210	C71	H53
211	C71	D43
212	C71	B37
213	C71	C34
214	C71	C38
215	C71	J82
216	C71	J93
217	C71	N30
218	C71	K63
219	C71	D36
220	C79	H53
221	C79	C62
222	C79	C78
223	C79	D40
224	C79	B02
225	C79	J18
226	C79	J86
227	C79	B00
228	C79	D72
229	C79	D73
230	C79	M84
231	C79	G82
232	C79	G83
233	C79	B37
234	C79	C34
235	C79	C38
236	C79	C80
237	C79	D48
238	C79	D63
239	C79	D70
240	C79	J82
241	H53	H50
242	H53	H52
243	H53	H02
244	H53	H26
245	H53	H33
246	D61	D69
247	D61	D70
248	D61	K76
249	D61	E55
250	D61	K46
251	D61	K55
252	D61	K75
253	D69	D70
